state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7285342195078139,0.4537309913945538,0.3999544730252675,0.39325842696629215,0.0,0.5833333333333334,0.47058823529411764,0.6666666666666666,0.3140096618357488,0.3951890034364261,0.7807848443843031,0.7323420074349443,0.6129032258064516,0.0,0.0,0.7040816326530612,0.5,0.47619047619047616,0.8653846153846154
AK,2018,0.7732394366197183,0.48291571753986334,0.3333333333333333,0.5,0.2857142857142857,0.5,0.44,1.0,0.46153846153846156,0.3617021276595745,0.7824074074074074,0.25,0.5,0.7,0.5,0.8,1.0,0.5,0.7
AZ,2018,0.7464915707545753,0.4279932803909591,0.4336996336996337,0.37290322580645163,0.6,0.3592233009708738,0.5028712059064807,0.47692307692307695,0.33466819221967964,0.3504854368932039,0.7588497871898682,0.7710843373493976,0.56640625,1.0,0.5,0.7108910891089109,0.5555555555555556,0.5234657039711191,0.7677902621722846
AR,2018,0.7147677507358748,0.43013156763264254,0.44016794961511546,0.4430379746835443,,0.4,0.4416243654822335,0.5909090909090909,0.32974910394265233,0.40860215053763443,0.7700806210809197,0.7782805429864253,0.6111111111111112,,0.5,0.6727272727272727,0.5,0.5555555555555556,0.8529411764705882
CA,2018,0.7393401988091892,0.41268201576781316,0.4484048147715321,0.3941267387944359,0.46153846153846156,0.43555555555555553,0.4992509706808524,0.4097331240188383,0.33488351686921425,0.3881306361199123,0.719049394221808,0.7163673331074212,0.6321525885558583,0.8,0.5833333333333334,0.645479417191576,0.45263157894736844,0.4959349593495935,0.7519617877857386
CO,2018,0.7520922506867693,0.47747290586828084,0.445,0.4293193717277487,0.4,0.3230769230769231,0.5015416238437821,0.5,0.36387434554973824,0.4110985277463194,0.7771099635994244,0.7560975609756098,0.6829268292682927,1.0,0.4166666666666667,0.6825396825396826,0.6363636363636364,0.5060975609756098,0.8309859154929577
CT,2018,0.7652261814505938,0.49408998081564454,0.39384220654265556,0.3783783783783784,,0.26666666666666666,0.5206243032329989,0.0,0.3218390804597701,0.35731414868105515,0.7637243047158404,0.6651982378854625,0.5555555555555556,,0.0,0.7357293868921776,0.0,0.5223880597014925,0.8
DE,2018,0.7551453426692128,0.45026323081185926,0.44312169312169314,0.3,,0.8,0.5357142857142857,0.6666666666666666,0.3287671232876712,0.27848101265822783,0.7618729096989967,0.7654867256637168,0.6666666666666666,,1.0,0.7341772151898734,0.5,0.5294117647058824,0.8666666666666667
FL,2018,0.7311498610058125,0.4405731237770624,0.4052202566770725,0.4292929292929293,0.4,0.4107142857142857,0.5059747354045749,0.44594594594594594,0.35405998536942207,0.40879926672777267,0.7581763773983453,0.7306459001374256,0.6491228070175439,0.0,0.6666666666666666,0.6872727272727273,0.5,0.5135746606334841,0.8053097345132744
GA,2018,0.7341647844446627,0.4785865683342528,0.45033330590074894,0.4326923076923077,,0.3939393939393939,0.5205667276051188,0.43902439024390244,0.37755102040816324,0.4155578300921187,0.800675427648484,0.7658438959306204,0.6521739130434783,,0.5,0.7136842105263158,0.7142857142857143,0.5384615384615384,0.8535714285714285
ID,2018,0.7409558378705384,0.4191215149921094,0.4375,0.35344827586206895,0.0,0.6666666666666666,0.32,0.5,0.3711340206185567,0.3058823529411765,0.7770952172005265,1.0,0.65,0.0,1.0,0.5185185185185185,0.75,0.34782608695652173,0.6923076923076923
IL,2018,0.7443446341172257,0.45682399955801917,0.414200140944327,0.3116883116883117,0.0,0.42857142857142855,0.5190771960958296,0.5757575757575758,0.32916307161345987,0.37268128161888703,0.7576281710129501,0.713903743315508,0.5217391304347826,0.0,0.6,0.6948176583493282,0.6666666666666666,0.452970297029703,0.8246153846153846
IN,2018,0.7420764091142711,0.4215790319987136,0.41125541125541126,0.41818181818181815,1.0,0.5,0.48710166919575115,0.3125,0.3382899628252788,0.3836589698046181,0.7685045696494928,0.7169811320754716,0.8888888888888888,0.0,0.6666666666666666,0.7399103139013453,1.0,0.4842105263157895,0.7559055118110236
IA,2018,0.738348830656523,0.42931157694140065,0.3108108108108108,0.48936170212765956,,0.6153846153846154,0.3786764705882353,0.4,0.2913907284768212,0.2865853658536585,0.7657929473882708,0.6666666666666666,1.0,,1.0,0.6461538461538462,0.5,0.7058823529411765,0.8928571428571429
KS,2018,0.735813247295502,0.44986430509927156,0.3782467532467532,0.39849624060150374,0.0,0.4444444444444444,0.5333333333333333,0.5,0.40808823529411764,0.3463414634146341,0.7936823503423901,0.72,0.7,0.0,0.3333333333333333,0.736,0.8,0.6129032258064516,0.8478260869565217
KY,2018,0.7389348359538308,0.4334608415542581,0.3951863354037267,0.45454545454545453,1.0,0.3333333333333333,0.5094339622641509,0.4666666666666667,0.2947976878612717,0.3141025641025641,0.7711124961047056,0.7796610169491526,0.75,0.0,0.0,0.7476635514018691,0.3333333333333333,0.4166666666666667,0.8548387096774194
ME,2018,0.7389317337903456,0.4155024785939612,0.29333333333333333,0.4,,0.3333333333333333,0.27631578947368424,0.0,0.4,0.2727272727272727,0.7491525423728813,0.625,0.6666666666666666,,1.0,0.43478260869565216,0.0,1.0,0.6842105263157895
MD,2018,0.7545548090309303,0.5174055907424163,0.48853388301984024,0.4716981132075472,0.5,0.30434782608695654,0.5506787330316743,0.56,0.3055303717135086,0.4554913294797688,0.7794209913059066,0.7509603072983355,0.6666666666666666,1.0,0.3333333333333333,0.7168831168831169,0.625,0.5270935960591133,0.8107344632768362
MI,2018,0.7544992801151815,0.4249173964278287,0.3900245298446443,0.4128113879003559,,0.3508771929824561,0.5359477124183006,0.45454545454545453,0.375886524822695,0.33260153677277715,0.7681332536996482,0.7271540469973891,0.65,,0.5,0.7383900928792569,0.3333333333333333,0.4659090909090909,0.815668202764977
MN,2018,0.7392411592147256,0.4830931558262224,0.3504566210045662,0.3754646840148699,0.0,0.28205128205128205,0.4290697674418605,0.42857142857142855,0.2857142857142857,0.34782608695652173,0.7885510818953712,0.7786259541984732,0.7083333333333334,0.0,0.5,0.6856060606060606,0.3333333333333333,0.4864864864864865,0.8214285714285714
MS,2018,0.6876184699370688,0.4895426338772696,0.4517982017982018,0.39622641509433965,,0.2,0.42934782608695654,0.5,0.36792452830188677,0.4573643410852713,0.808141592920354,0.7859424920127795,0.5714285714285714,,0.0,0.75,0.0,0.625,0.8484848484848485
