state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7288036644512305,0.39720617706000233,0.31481903027543817,0.34831460674157305,0.0,0.3333333333333333,0.43790849673202614,1.0,0.41545893719806765,0.3470790378006873,0.678788903924222,0.6381660470879802,0.5806451612903226,0.0,0.0,0.8673469387755102,1.0,0.6190476190476191,0.7115384615384616
AK,2018,0.7661971830985915,0.40774487471526194,0.25,0.5,0.22727272727272727,0.14285714285714285,0.32,0.0,0.46153846153846156,0.3191489361702128,0.6620370370370371,0.25,1.0,0.6,0.0,0.8,0.0,0.8333333333333334,0.6
AZ,2018,0.7385882140817982,0.37862706169822846,0.3362637362637363,0.21935483870967742,0.4,0.34951456310679613,0.538966365873667,0.3230769230769231,0.3684210526315789,0.3058252427184466,0.660957126544171,0.641566265060241,0.41796875,0.5,0.5,0.8811881188118812,0.6111111111111112,0.6389891696750902,0.6367041198501873
AR,2018,0.7218034316892814,0.37741852265887005,0.3372988103568929,0.31645569620253167,,0.3333333333333333,0.4416243654822335,0.36363636363636365,0.3655913978494624,0.33691756272401435,0.6745297103613018,0.665158371040724,0.5,,1.0,0.8545454545454545,1.0,0.7222222222222222,0.6764705882352942
CA,2018,0.7426673140316357,0.3721964200122308,0.3553815589575786,0.26197836166924265,0.38461538461538464,0.3622222222222222,0.5522639029013421,0.3563579277864992,0.3688413109287939,0.3453570558128199,0.6309040074557316,0.614029142663504,0.5286103542234333,0.8,0.7083333333333334,0.8409365655023223,0.5947368421052631,0.6592140921409214,0.6400545888775162
CO,2018,0.728422666581486,0.42864909927869804,0.35875,0.3193717277486911,0.6,0.35384615384615387,0.5447070914696814,0.3333333333333333,0.3887434554973822,0.36806342015855037,0.6828070769491238,0.6487804878048781,0.6829268292682927,1.0,0.75,0.8684807256235828,0.6363636363636364,0.5853658536585366,0.6830985915492958
CT,2018,0.7412686378569624,0.4403119004888916,0.28800513149454776,0.24324324324324326,,0.4,0.5886287625418061,0.2,0.33045977011494254,0.2829736211031175,0.6732769044740025,0.5462555066079295,0.4444444444444444,,1.0,0.8921775898520085,0.5,0.6343283582089553,0.5916666666666667
DE,2018,0.7368979418629323,0.4059296203934608,0.33201058201058203,0.3,,0.4,0.6309523809523809,0.6666666666666666,0.3287671232876712,0.22784810126582278,0.6735785953177258,0.6017699115044248,0.6666666666666666,,1.0,0.9493670886075949,1.0,0.35294117647058826,0.4666666666666667
FL,2018,0.7215061915592621,0.39660417850154644,0.3066250433576136,0.35858585858585856,0.6,0.2857142857142857,0.5332878115397747,0.25675675675675674,0.422457937088515,0.36526122823098073,0.6654814293258229,0.6005497022446175,0.5263157894736842,0.0,0.3333333333333333,0.8754545454545455,0.6111111111111112,0.6832579185520362,0.6707964601769911
GA,2018,0.7291171560443878,0.4247553787636828,0.3642498559789318,0.25,,0.45454545454545453,0.5950639853747715,0.43902439024390244,0.40714285714285714,0.3623336745138178,0.700462521107114,0.6577718478985991,0.5217391304347826,,0.8,0.9189473684210526,0.8571428571428571,0.6282051282051282,0.7178571428571429
HI,2018,0.7288837149139826,0.3961352657004831,0.29936305732484075,0.1111111111111111,0.0,0.0,0.4807758919293384,0.31069182389937106,0.3177570093457944,0.335693215339233,0.62148070907195,0.5098039215686274,0.4,0.0,0.0,0.7779767233661593,0.56,0.6428571428571429,0.6075085324232082
ID,2018,0.7335753176043557,0.37440820620725934,0.3333333333333333,0.2413793103448276,0.0,0.2777777777777778,0.37,0.0,0.4381443298969072,0.27058823529411763,0.6814392277314612,1.0,0.65,0.0,0.0,0.8148148148148148,0.0,0.6956521739130435,0.5384615384615384
IL,2018,0.733899367315268,0.4115025505975949,0.3127202255109232,0.2597402597402597,0.5,0.5238095238095238,0.6027802425317953,0.45454545454545453,0.38912855910267474,0.31703204047217537,0.6742061380166755,0.5995989304812834,0.4782608695652174,0.0,0.8,0.9072296865003199,0.5555555555555556,0.6410891089108911,0.68
IN,2018,0.7342242019302153,0.37333976523556844,0.3126503126503126,0.34545454545454546,0.0,0.5,0.47192716236722304,0.375,0.4033457249070632,0.3321492007104796,0.6692778949482776,0.601078167115903,0.7777777777777778,0.0,0.6666666666666666,0.8923766816143498,1.0,0.631578947368421,0.6771653543307087
IA,2018,0.729388560157791,0.37839447355883754,0.2195945945945946,0.23404255319148937,,0.46153846153846156,0.39705882352941174,0.5,0.3841059602649007,0.2926829268292683,0.6664152366584952,0.5,0.5555555555555556,,1.0,0.9076923076923077,1.0,0.8823529411764706,0.8214285714285714
KS,2018,0.722654520149301,0.40865590629910015,0.2922077922077922,0.3533834586466165,0.0,0.6666666666666666,0.5246376811594203,0.4375,0.4117647058823529,0.3048780487804878,0.6982549149547161,0.64,0.7,0.0,1.0,0.88,0.6,0.7741935483870968,0.7065217391304348
KY,2018,0.7277560665273107,0.3840849607408899,0.3253105590062112,0.2727272727272727,1.0,0.3333333333333333,0.4968553459119497,0.2,0.3988439306358382,0.2724358974358974,0.6712371455282019,0.6694915254237288,0.75,0.0,0.0,0.8598130841121495,0.3333333333333333,0.5833333333333334,0.7096774193548387
ME,2018,0.7346472436446729,0.3734414901607331,0.25333333333333335,0.225,,0.3333333333333333,0.40789473684210525,1.0,0.4,0.29545454545454547,0.6687651331719129,0.625,0.6666666666666666,,1.0,0.8695652173913043,0.0,1.0,0.8421052631578947
MD,2018,0.7379698565462139,0.45835515976951285,0.3973202782787941,0.3584905660377358,0.5,0.5217391304347826,0.6176470588235294,0.36,0.3263825929283772,0.3965317919075145,0.6871918974634759,0.6366837387964148,0.6190476190476191,1.0,0.8888888888888888,0.8978354978354979,0.75,0.6157635467980296,0.7062146892655368
MI,2018,0.7447808350663894,0.38411238706994155,0.30962115017715997,0.28113879003558717,,0.3157894736842105,0.5860566448801743,0.45454545454545453,0.4326241134751773,0.29198682766191,0.6817307054217268,0.6527415143603134,0.6333333333333333,,0.5833333333333334,0.9086687306501547,0.6666666666666666,0.6590909090909091,0.6589861751152074
MN,2018,0.7247670932594049,0.43302765286973766,0.2682648401826484,0.26394052044609667,0.0,0.23076923076923078,0.413953488372093,0.14285714285714285,0.39097744360902253,0.29130434782608694,0.6977996895827627,0.648854961832061,0.6458333333333334,0.0,1.0,0.8446969696969697,0.0,0.6756756756756757,0.5982142857142857
MS,2018,0.6967927818636743,0.4384049643760055,0.36163836163836166,0.20754716981132076,,0.8,0.44565217391304346,0.3333333333333333,0.4056603773584906,0.3488372093023256,0.7090265486725664,0.6757188498402555,0.5714285714285714,,0.0,0.8125,0.0,0.6875,0.696969696969697
MO,2018,0.7232503789792825,0.40435464328985815,0.35916134913400183,0.3592233009708738,0.5,0.14285714285714285,0.573502722323049,0.24324324324324326,0.39487179487179486,0.3492063492063492,0.7015730337078652,0.6666666666666666,0.6923076923076923,0.0,0.3333333333333333,0.9099099099099099,0.3333333333333333,0.5714285714285714,0.7722772277227723
MT,2018,0.7155409115870401,0.3946161515453639,0.21428571428571427,0.3107569721115538,,0.4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33613445378151263,0.6812749003984063,1.0,0.5625,,0.0,0.6666666666666666,0.0,0.5,0.6875
NE,2018,0.7039406583217431,0.42205091794299626,0.3684210526315789,0.125,,0.5,0.4329896907216495,0.16666666666666666,0.36904761904761907,0.324468085106383,0.6946445349201378,0.6041666666666666,0.25,,0.8,0.803921568627451,0.5,0.5238095238095238,0.6111111111111112
NV,2018,0.7265482542040926,0.3633003695934472,0.29593810444874274,0.22393822393822393,,0.4444444444444444,0.42282842785355346,0.23404255319148937,0.34719183078045224,0.33825944170771755,0.6185593437580108,0.5983606557377049,0.41379310344827586,,0.4444444444444444,0.7415730337078652,0.46153846153846156,0.6125,0.6580645161290323
NH,2018,0.7393924177755461,0.4166777674170774,0.20430107526881722,0.2857142857142857,0.0,0.6,0.5953757225433526,0.3333333333333333,0.3673469387755102,0.264,0.6880552813425469,0.5,1.0,0.0,1.0,0.9259259259259259,0.6666666666666666,0.8461538461538461,0.625
NJ,2018,0.7340365417216048,0.441986107537947,0.33210412147505425,0.3125,,0.375,0.6682224025974026,0.42105263157894735,0.3852573018080668,0.3516597510373444,0.6661556151782292,0.5748855461085677,0.4444444444444444,,0.5454545454545454,0.9067190850607577,0.75,0.6518691588785047,0.6243243243243243
NM,2018,0.7281597979566066,0.3871625863151287,0.3160919540229885,0.25,0.3333333333333333,0.42857142857142855,0.5214723926380368,0.5555555555555556,0.43014705882352944,0.3640552995391705,0.6737819025522042,0.696969696969697,0.5375,0.0,0.5,0.9375,0.6666666666666666,0.6095238095238096,0.6056338028169014
NY,2018,0.7253472592966482,0.4120817213059119,0.30067828625397097,0.30364372469635625,0.0,0.3465346534653465,0.48640643182058607,0.42105263157894735,0.3458577712609971,0.34218166735794275,0.6481128363449257,0.5379914984059511,0.5692307692307692,0.0,0.7333333333333333,0.8163849154746424,0.75,0.6255355612682091,0.6085365853658536
NC,2018,0.7187085870128872,0.4348818715850499,0.3507871720116618,0.3448275862068966,0.5,0.3953488372093023,0.5706143128562381,0.41304347826086957,0.39755102040816326,0.3264705882352941,0.7124798089753493,0.6511919698870765,0.5842696629213483,0.0,0.6,0.9248895434462445,0.8666666666666667,0.689922480620155,0.7090909090909091
ND,2018,0.7104377104377104,0.4330864197530864,0.23809523809523808,0.3090909090909091,,0.5357142857142857,0.39622641509433965,0.0,0.3076923076923077,0.26865671641791045,0.6869734283862605,0.36363636363636365,0.5789473684210527,,0.75,0.7272727272727273,0.0,0.25,0.5882352941176471
OH,2018,0.737120785386658,0.40486803410583166,0.30791450028885037,0.358974358974359,,0.4,0.5657492354740061,0.47058823529411764,0.44254278728606355,0.3132295719844358,0.6965867302014813,0.6482051282051282,0.6,,1.0,0.9263565891472868,0.6,0.8192771084337349,0.6634146341463415
OK,2018,0.717977339956466,0.39078651685393256,0.3305699481865285,0.31627296587926507,0.3333333333333333,0.49295774647887325,0.46855345911949686,0.4,0.3880597014925373,0.35714285714285715,0.6830454877158842,0.603448275862069,0.5549132947976878,1.0,0.6,0.8723404255319149,1.0,0.6956521739130435,0.6715867158671587
OR,2018,0.7408640905150783,0.3884253881085648,0.3183279742765273,0.2314410480349345,0.35714285714285715,0.3157894736842105,0.5113759479956663,0.31868131868131866,0.4148550724637681,0.32077764277035237,0.6705783738474435,0.6216216216216216,0.46551724137931033,1.0,0.4,0.835509138381201,0.6470588235294118,0.7125,0.7014218009478673
PA,2018,0.7370000585582948,0.4073437835516427,0.30704225352112674,0.4576271186440678,0.6666666666666666,0.2857142857142857,0.5120292887029289,0.5333333333333333,0.3673469387755102,0.3052434456928839,0.692606829966029,0.6207302709069493,0.6,1.0,0.0,0.8753246753246753,0.6,0.6515151515151515,0.676595744680851
RI,2018,0.7394957983193278,0.4061357171881349,0.30434782608695654,0.3333333333333333,,0.4,0.4207920792079208,0.0,0.3790849673202614,0.3049645390070922,0.6646924829157176,0.5416666666666666,0.8,,0.0,0.7916666666666666,0.0,0.5384615384615384,0.6666666666666666
SC,2018,0.7189597652638772,0.42376087779038973,0.3307600950118765,0.2535211267605634,0.0,0.47058823529411764,0.5023041474654378,0.35294117647058826,0.3664772727272727,0.2903225806451613,0.6999848093574358,0.6739690721649485,0.4666666666666667,0.0,0.0,0.8357142857142857,0.0,0.6976744186046512,0.6025641025641025
SD,2018,0.697285160236783,0.41403588462411994,0.2222222222222222,0.23776223776223776,0.0,0.35294117647058826,0.24,,0.42857142857142855,0.28846153846153844,0.68300395256917,0.75,0.4838709677419355,0.0,0.3333333333333333,0.625,,0.75,0.625
TN,2018,0.7216127988706879,0.4040119655111737,0.3493827160493827,0.28,1.0,0.17647058823529413,0.5172413793103449,0.5384615384615384,0.3887468030690537,0.3134020618556701,0.6923741628861525,0.6577669902912622,0.5833333333333334,1.0,0.0,0.9049773755656109,0.6666666666666666,0.6842105263157895,0.711340206185567
