state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7489671277169032,0.4954025698455735,0.2840883223309811,0.4157303370786517,0.0,0.16666666666666666,0.3431372549019608,0.6666666666666666,0.2753623188405797,0.32989690721649484,0.8330514208389715,0.6926889714993805,0.7741935483870968,0.0,0.0,0.7857142857142857,1.0,0.7142857142857143,0.7884615384615384
AK,2018,0.8140845070422535,0.5216400911161732,0.25,0.25,0.11688311688311688,0.07142857142857142,0.16,0.0,0.5384615384615384,0.3191489361702128,0.8333333333333334,0.25,0.5,0.3333333333333333,0.5,0.8,0.0,1.0,0.65
AZ,2018,0.7671665114042733,0.466707391569945,0.34945054945054943,0.2103225806451613,0.4,0.14563106796116504,0.43232157506152585,0.3076923076923077,0.2431350114416476,0.29902912621359223,0.8084708813453753,0.7620481927710844,0.5078125,0.5,0.3,0.7861386138613862,0.6111111111111112,0.6173285198555957,0.6891385767790262
AR,2018,0.7200086151195347,0.4757072835153496,0.30370888733379986,0.4050632911392405,,0.2,0.3197969543147208,0.22727272727272727,0.25806451612903225,0.3727598566308244,0.8217378321887131,0.746606334841629,0.6666666666666666,,0.5,0.7818181818181819,1.0,0.5555555555555556,0.7941176470588235
CA,2018,0.7845092377277489,0.453291572318728,0.34544817108799813,0.2874806800618238,0.38461538461538464,0.17555555555555555,0.42465376501880214,0.2401883830455259,0.24358355635502127,0.3476724348038021,0.769636533084809,0.6712978651304643,0.6839237057220708,0.8,0.5520833333333334,0.7095501686072405,0.5210526315789473,0.575880758807588,0.7028317980211531
CO,2018,0.7594710279179709,0.5218021675305375,0.3625,0.3036649214659686,0.4,0.26153846153846155,0.41623843782117165,0.3333333333333333,0.29712041884816753,0.36806342015855037,0.825361889443833,0.7560975609756098,0.6585365853658537,1.0,0.5,0.7233560090702947,0.6363636363636364,0.6097560975609756,0.7816901408450704
CT,2018,0.7898913318170331,0.5333869670152857,0.27132777421423987,0.24324324324324326,,0.13333333333333333,0.496098104793757,0.2,0.1997126436781609,0.302158273381295,0.8123337363966142,0.5903083700440529,0.6666666666666666,,0.0,0.8266384778012685,0.5,0.4925373134328358,0.7083333333333334
DE,2018,0.7721196690006366,0.48988639512330284,0.3201058201058201,0.2,,0.2,0.5595238095238095,0.3333333333333333,0.2328767123287671,0.21518987341772153,0.8093645484949833,0.668141592920354,0.3333333333333333,,0.0,0.8987341772151899,0.5,0.5882352941176471,0.6666666666666666
FL,2018,0.7439777609299975,0.48734456857918323,0.28581338883107876,0.4090909090909091,0.2,0.125,0.4110617958347559,0.20270270270270271,0.3013899049012436,0.3538038496791934,0.8102798803027635,0.6871278057718736,0.7017543859649122,0.0,0.6666666666666666,0.7681818181818182,0.6111111111111112,0.6764705882352942,0.7292035398230089
GA,2018,0.7595011293332024,0.520542376818327,0.3463089457657806,0.3557692307692308,,0.12121212121212122,0.47943327239488115,0.2926829268292683,0.3163265306122449,0.3623336745138178,0.8464870420673959,0.7271514342895263,0.782608695652174,,0.3,0.8210526315789474,0.8571428571428571,0.7115384615384616,0.7964285714285714
HI,2018,0.770922261027034,0.47004830917874396,0.29936305732484075,0.2777777777777778,0.0,0.0,0.3359889158295809,0.20251572327044026,0.2336448598130841,0.3380530973451327,0.7382690302398331,0.6078431372549019,1.0,0.0,0.0,0.6338406445837064,0.445,0.6785714285714286,0.6911262798634812
ID,2018,0.740713853599516,0.45949500263019466,0.2708333333333333,0.25862068965517243,0.0,0.2777777777777778,0.26,0.16666666666666666,0.29896907216494845,0.27647058823529413,0.8279947345326898,0.8333333333333334,0.75,0.0,1.0,0.7407407407407407,0.5,0.4782608695652174,0.6923076923076923
IL,2018,0.7648024352393459,0.5011878234286662,0.30320648343904155,0.2987012987012987,0.0,0.2619047619047619,0.4933451641526176,0.30303030303030304,0.2558239861949957,0.3254637436762226,0.8118236650700728,0.6758021390374331,0.6521739130434783,0.0,0.8,0.818937939859245,0.6666666666666666,0.6188118811881188,0.7630769230769231
IN,2018,0.742162069556279,0.4666666666666667,0.29389129389129387,0.38181818181818183,0.0,0.25,0.37784522003034904,0.3125,0.2620817843866171,0.325044404973357,0.819724816711861,0.6630727762803235,0.8888888888888888,0.0,0.6666666666666666,0.8026905829596412,0.5,0.5473684210526316,0.7165354330708661
IA,2018,0.7321499013806706,0.47576226774654595,0.19256756756756757,0.2553191489361702,,0.07692307692307693,0.2867647058823529,0.2,0.2913907284768212,0.2621951219512195,0.8189703941165378,0.6333333333333333,0.8888888888888888,,1.0,0.8,1.0,0.7647058823529411,0.9285714285714286
KS,2018,0.7385335610805339,0.49635766319097274,0.2792207792207792,0.3684210526315789,0.0,0.2222222222222222,0.39710144927536234,0.25,0.25735294117647056,0.2951219512195122,0.8491274574773581,0.72,0.8,0.0,0.3333333333333333,0.76,0.4,0.7741935483870968,0.8152173913043478
KY,2018,0.7346632736526402,0.4800181195892893,0.2833850931677019,0.3181818181818182,1.0,0.2222222222222222,0.39937106918238996,0.06666666666666667,0.26011560693641617,0.27564102564102566,0.8208164537239016,0.7330508474576272,0.75,0.0,0.0,0.7663551401869159,0.0,0.75,0.8387096774193549
ME,2018,0.7403598971722365,0.45936608081718494,0.22666666666666666,0.2,,0.0,0.25,0.0,0.4,0.25,0.8145278450363196,0.75,0.6666666666666666,,0.0,0.6521739130434783,0.0,1.0,0.7368421052631579
MD,2018,0.7892379395920344,0.5576932234868327,0.39925276990466374,0.39622641509433965,0.5,0.30434782608695654,0.5122171945701357,0.36,0.26473254759746145,0.4184971098265896,0.8297033252666487,0.7125480153649167,0.7142857142857143,1.0,0.4444444444444444,0.8025974025974026,0.75,0.6945812807881774,0.7740112994350282
MI,2018,0.7608582626779715,0.4733935626978442,0.2840010902153175,0.2846975088967972,,0.10526315789473684,0.49455337690631807,0.2727272727272727,0.34988179669030733,0.29418221734357847,0.8247395314884863,0.7258485639686684,0.75,,0.4166666666666667,0.8343653250773994,0.6666666666666666,0.7386363636363636,0.7788018433179723
MN,2018,0.7426259630572838,0.5265375491272174,0.2522831050228311,0.25650557620817843,0.0,0.1282051282051282,0.29651162790697677,0.0,0.22556390977443608,0.3108695652173913,0.8374874463617273,0.7175572519083969,0.6666666666666666,0.0,1.0,0.7045454545454546,0.0,0.6216216216216216,0.7589285714285714
MS,2018,0.707256046705588,0.5386118133762353,0.3439060939060939,0.24528301886792453,,0.6,0.33695652173913043,0.3333333333333333,0.2830188679245283,0.4186046511627907,0.8509734513274336,0.7635782747603834,0.5714285714285714,,0.0,0.7291666666666666,0.0,0.6875,0.8787878787878788
