state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7505612932195779,0.35556879094699223,0.3376483279395901,0.4666666666666667,,0.0,0.3333333333333333,,0.45,0.3333333333333333,0.6738382099827883,0.6832298136645962,0.5,,0.0,0.4117647058823529,,0.0,0.6
AK,2018,0.6954314720812182,0.38886267107126005,0.4305555555555556,0.41935483870967744,0.25548387096774194,0.22727272727272727,0.32338308457711445,0.11538461538461539,0.23809523809523808,0.326271186440678,0.620253164556962,0.6666666666666666,0.4166666666666667,0.2827586206896552,0.5555555555555556,0.45454545454545453,0.2,0.3,0.35294117647058826
AZ,2018,0.7313159239114103,0.35747556505803296,0.39194139194139194,0.3387096774193548,0.2,0.3300970873786408,0.3453650533223954,0.06153846153846154,0.39073226544622425,0.36019417475728155,0.6578428319319007,0.7048192771084337,0.41796875,0.5,0.4,0.44752475247524753,0.1111111111111111,0.44765342960288806,0.4232209737827715
AR,2018,0.742910474549501,0.3249634534353771,0.3358992302309307,0.2911392405063291,,0.4666666666666667,0.30456852791878175,0.0,0.35125448028673834,0.3763440860215054,0.6354135562854584,0.6832579185520362,0.3333333333333333,,1.0,0.4727272727272727,0.0,0.5,0.4411764705882353
CA,2018,0.6916515472874556,0.35736244483744606,0.41241089166764056,0.36398763523956723,0.23076923076923078,0.2866666666666667,0.35592650340884774,0.10989010989010989,0.36993813890229454,0.3535218133073361,0.6206337371854613,0.6621484242629617,0.4032697547683924,0.4,0.3645833333333333,0.42622637907997707,0.15789473684210525,0.41847335140018066,0.40702831798021155
CO,2018,0.7284546093400626,0.39664358983652903,0.39875,0.3507853403141361,0.6,0.2153846153846154,0.3669064748201439,0.16666666666666666,0.3769633507853403,0.3465458663646659,0.6642681791246932,0.6634146341463415,0.3902439024390244,0.0,0.08333333333333333,0.45351473922902497,0.36363636363636365,0.4695121951219512,0.3732394366197183
CT,2018,0.7210007581501138,0.4102976669348351,0.38037203335471453,0.3783783783783784,,0.4,0.3690078037904125,0.2,0.3620689655172414,0.3501199040767386,0.6469165659008465,0.6321585903083701,0.2222222222222222,,0.0,0.4714587737843552,0.5,0.373134328358209,0.375
DE,2018,0.7218332272437937,0.36436686062621226,0.42328042328042326,0.3,,0.2,0.36904761904761907,0.3333333333333333,0.3561643835616438,0.27848101265822783,0.6254180602006689,0.6946902654867256,0.3333333333333333,,0.0,0.4430379746835443,0.5,0.23529411764705882,0.4666666666666667
FL,2018,0.7284912812736922,0.36870542195291295,0.3670655567117586,0.3686868686868687,0.8,0.32142857142857145,0.3625810856947764,0.04054054054054054,0.393562545720556,0.36434463794683775,0.6588276711846506,0.6871278057718736,0.40350877192982454,0.0,0.0,0.45454545454545453,0.16666666666666666,0.4660633484162896,0.4389380530973451
GA,2018,0.7320632426593342,0.38825818065677536,0.40177763147066087,0.41346153846153844,,0.3939393939393939,0.3706581352833638,0.0975609756097561,0.3948979591836735,0.34083930399181167,0.683283165700022,0.7174783188792528,0.4782608695652174,,0.4,0.4631578947368421,0.2857142857142857,0.5705128205128205,0.42857142857142855
