state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.8125280646609789,0.3129839189994044,0.1272923408845739,0.2,,0.0,0.25925925925925924,,0.075,0.14035087719298245,0.6583476764199656,0.4720496894409938,0.5,,0.0,0.5294117647058824,,0.3333333333333333,0.8
AK,2018,0.7588832487309645,0.33931099575271356,0.25,0.22580645161290322,0.05161290322580645,0.0,0.0945273631840796,0.15384615384615385,0.16666666666666666,0.1271186440677966,0.572541382667965,0.5,0.4166666666666667,0.1724137931034483,0.0,0.29545454545454547,0.4,0.35,0.32941176470588235
AZ,2018,0.8023860323947472,0.3046731826511912,0.1772893772893773,0.0967741935483871,0.2,0.05825242718446602,0.3502871205906481,0.16923076923076924,0.07551487414187644,0.17572815533980582,0.6319941866500571,0.4939759036144578,0.3359375,0.0,0.3,0.699009900990099,0.3888888888888889,0.3104693140794224,0.5243445692883895
AR,2018,0.8159236126067916,0.26261931378450426,0.11616515045486354,0.17721518987341772,,0.06666666666666667,0.2639593908629442,0.09090909090909091,0.035842293906810034,0.15770609318996415,0.6189907435055241,0.45701357466063347,0.6111111111111112,,0.5,0.6727272727272727,1.0,0.16666666666666666,0.4117647058823529
CA,2018,0.7758873584953875,0.3083648744690346,0.19457753885707607,0.14760432766615147,0.07692307692307693,0.07333333333333333,0.3380720902503898,0.13343799058084774,0.05580660729171237,0.1853521813307336,0.5901770736253494,0.4320569298542867,0.4359673024523161,0.2,0.25,0.5945791181523191,0.3105263157894737,0.22289972899728996,0.4428522688502218
CO,2018,0.7830128409889479,0.3547065859581717,0.185,0.13612565445026178,0.2,0.09230769230769231,0.3484069886947585,0.25,0.08769633507853403,0.1913929784824462,0.6577499365106239,0.4926829268292683,0.3902439024390244,0.0,0.16666666666666666,0.655328798185941,0.36363636363636365,0.2804878048780488,0.4823943661971831
CT,2018,0.7660854182461461,0.37131010582338014,0.1404746632456703,0.08108108108108109,,0.13333333333333333,0.4403567447045708,0.4,0.06752873563218391,0.1750599520383693,0.6244256348246675,0.3700440528634361,0.3333333333333333,,0.0,0.7632135306553911,1.0,0.2537313432835821,0.4666666666666667
DE,2018,0.7820920857203479,0.30978110279855914,0.15343915343915343,0.05,,0.0,0.48214285714285715,0.3333333333333333,0.0684931506849315,0.11392405063291139,0.6033444816053511,0.3938053097345133,0.0,,0.0,0.8607594936708861,0.5,0.23529411764705882,0.4666666666666667
FL,2018,0.7977154409906495,0.31441014959288016,0.12842525147415887,0.19696969696969696,0.2,0.08928571428571429,0.33595083646295665,0.14864864864864866,0.12728602779809803,0.17965169569202566,0.6424573138531948,0.4397617956939991,0.42105263157894735,0.0,0.5,0.67,0.5555555555555556,0.4457013574660634,0.5061946902654867
GA,2018,0.8064224688205833,0.34586684474899104,0.17356596164924698,0.16346153846153846,,0.15151515151515152,0.39945155393053017,0.21951219512195122,0.09795918367346938,0.21392016376663256,0.6825490052125395,0.48732488325550366,0.5217391304347826,,0.4,0.7421052631578947,0.7142857142857143,0.3974358974358974,0.5857142857142857
