state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.8020028740793964,0.3012495579394082,0.19212383337127248,0.3258426966292135,0.0,0.08333333333333333,0.238562091503268,0.0,0.14492753623188406,0.20962199312714777,0.6376860622462788,0.5427509293680297,0.7096774193548387,0.0,0.0,0.5714285714285714,0.0,0.6190476190476191,0.6346153846153846
AK,2018,0.754371122391427,0.33459178857951866,0.2638888888888889,0.25806451612903225,0.0,0.11363636363636363,0.1044776119402985,0.19230769230769232,0.35714285714285715,0.19491525423728814,0.5676728334956183,0.5,0.5,0.0,0.2222222222222222,0.2727272727272727,0.2,0.5,0.4470588235294118
AZ,2018,0.7971571956606666,0.29008857666463045,0.25274725274725274,0.13032258064516128,0.0,0.18446601941747573,0.31501230516817064,0.12307692307692308,0.17734553775743708,0.21165048543689322,0.6133084189764352,0.6234939759036144,0.328125,0.0,0.3,0.6158415841584158,0.3333333333333333,0.4981949458483754,0.599250936329588
AR,2018,0.8101220387652548,0.24431086303134392,0.16783216783216784,0.2727272727272727,,0.6,0.23684210526315788,0.0,0.16363636363636364,0.2222222222222222,0.5807407407407408,0.5185185185185185,0.0,,1.0,0.8,0.0,0.8333333333333334,0.6923076923076923
CA,2018,0.762262029489178,0.2982496735699056,0.25803435783569006,0.1723338485316847,0.0,0.15555555555555556,0.27172949341159924,0.14913657770800628,0.1501776861317071,0.24140872532293445,0.571780055917987,0.52389020670959,0.4032697547683924,0.0,0.3645833333333333,0.4690462556467519,0.22105263157894736,0.4406052393857272,0.5554418287273968
CO,2018,0.7779339423752635,0.3471311029758237,0.25,0.17801047120418848,0.0,0.1076923076923077,0.2970195272353546,0.25,0.2081151832460733,0.2638731596828992,0.6447134512824854,0.6048780487804878,0.43902439024390244,0.0,0.08333333333333333,0.5419501133786848,0.18181818181818182,0.5365853658536586,0.6197183098591549
CT,2018,0.7571392469042204,0.36202735317779566,0.21295702373316228,0.1891891891891892,,0.13333333333333333,0.3835005574136009,0.0,0.1781609195402299,0.2422062350119904,0.6082224909310762,0.4889867841409692,0.5555555555555556,,0.0,0.6553911205073996,0.0,0.5223880597014925,0.6
DE,2018,0.7748779970294929,0.2995289553893045,0.24603174603174602,0.1,,0.2,0.35119047619047616,0.0,0.1780821917808219,0.16455696202531644,0.5846153846153846,0.5486725663716814,0.3333333333333333,,1.0,0.6455696202531646,0.0,0.35294117647058826,0.6
FL,2018,0.7916401314126864,0.301458057186139,0.21600763093999306,0.25252525252525254,0.0,0.07142857142857142,0.28473881870945716,0.10810810810810811,0.25603511338697876,0.2516040329972502,0.6249603942967787,0.5822262940907009,0.49122807017543857,0.0,0.3333333333333333,0.5718181818181818,0.2777777777777778,0.6606334841628959,0.6389380530973451
GA,2018,0.7971521162722184,0.3337301472082692,0.268455271171097,0.27884615384615385,,0.24242424242424243,0.3350091407678245,0.17073170731707318,0.22755102040816327,0.2835209825997953,0.6650759856104544,0.6387591727818546,0.6521739130434783,,0.5,0.608421052631579,0.42857142857142855,0.6217948717948718,0.725
