state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.808469552721394,0.2835671342685371,0.09173685408604598,0.15730337078651685,0.0,0.0,0.2647058823529412,0.6666666666666666,0.033816425120772944,0.15463917525773196,0.6143437077131259,0.3271375464684015,0.41935483870967744,0.0,0.0,0.6836734693877551,1.0,0.2857142857142857,0.5192307692307693
AK,2018,0.7563451776649747,0.31996224634261444,0.16666666666666666,0.25806451612903225,0.03225806451612903,0.022727272727272728,0.12437810945273632,0.0,0.09523809523809523,0.1440677966101695,0.5520934761441091,0.2916666666666667,0.5,0.10344827586206896,0.1111111111111111,0.3409090909090909,0.0,0.2,0.3764705882352941
AZ,2018,0.7999519187426751,0.2740149664019548,0.14065934065934066,0.053548387096774196,0.2,0.02912621359223301,0.34618539786710417,0.13846153846153847,0.04691075514874142,0.1650485436893204,0.5864216754905014,0.4367469879518072,0.19921875,0.0,0.2,0.691089108910891,0.4444444444444444,0.20216606498194944,0.49063670411985016
AR,2018,0.8155061019382628,0.22498926577930442,0.0979020979020979,0.18181818181818182,,0.2,0.23684210526315788,0.0,0.03636363636363636,0.1111111111111111,0.5496296296296296,0.4074074074074074,0.3333333333333333,,1.0,0.8,0.0,0.16666666666666666,0.46153846153846156
CA,2018,0.7650576240002044,0.2825397087747715,0.15157181255112773,0.09428129829984544,0.0,0.051111111111111114,0.3164266715582867,0.07849293563579278,0.03584433817400079,0.18315866439190837,0.5472506989748369,0.34801762114537443,0.29155313351498635,0.0,0.19791666666666666,0.5623846790099892,0.21052631578947367,0.1497289972899729,0.4445581712726032
CO,2018,0.7768798313422347,0.3295153865671101,0.14,0.09947643979057591,0.0,0.06153846153846154,0.3432682425488181,0.19444444444444445,0.06413612565445026,0.20271800679501698,0.6203335308558368,0.4146341463414634,0.2926829268292683,0.0,0.16666666666666666,0.6349206349206349,0.36363636363636365,0.22560975609756098,0.5035211267605634
CT,2018,0.7552691432903715,0.3437712729748128,0.12636305323925592,0.16216216216216217,,0.06666666666666667,0.43924191750278707,0.2,0.03735632183908046,0.19424460431654678,0.5856106408706166,0.3303964757709251,0.4444444444444444,,0.0,0.758985200845666,0.5,0.15671641791044777,0.525
DE,2018,0.7753023551877785,0.2781934053754503,0.14285714285714285,0.1,,0.0,0.4523809523809524,0.3333333333333333,0.0547945205479452,0.12658227848101267,0.5558528428093645,0.37168141592920356,0.3333333333333333,,0.0,0.8227848101265823,0.5,0.17647058823529413,0.4666666666666667
FL,2018,0.7978771796815769,0.2829388373414126,0.11377037807839056,0.16161616161616163,0.0,0.07142857142857142,0.3205872311369068,0.14864864864864866,0.08376005852231164,0.18010999083409715,0.5984509769406795,0.3944113605130554,0.40350877192982454,0.0,0.5,0.6627272727272727,0.5555555555555556,0.3416289592760181,0.49734513274336284
GA,2018,0.8038691937542963,0.3159315931593159,0.15982223685293392,0.16346153846153846,,0.15151515151515152,0.3921389396709324,0.17073170731707318,0.0663265306122449,0.22517911975435004,0.6401145290360473,0.4573048699132755,0.5217391304347826,,0.4,0.7315789473684211,0.5714285714285714,0.30128205128205127,0.625
