state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7865097898329442,0.32193799363432746,0.23491918961984976,0.4943820224719101,0.0,0.4166666666666667,0.2679738562091503,0.6666666666666666,0.26570048309178745,0.33676975945017185,0.6535859269282814,0.5848822800495663,0.8387096774193549,0.0,1.0,0.6428571428571429,0.5,0.6190476190476191,0.6730769230769231
AK,2018,0.7143260011280316,0.3374233128834356,0.3472222222222222,0.45161290322580644,0.2129032258064516,0.1590909090909091,0.0945273631840796,0.34615384615384615,0.47619047619047616,0.3050847457627119,0.555014605647517,0.5416666666666666,0.6666666666666666,0.2896551724137931,0.1111111111111111,0.22727272727272727,0.2,0.75,0.49411764705882355
AZ,2018,0.7747896634615384,0.3121276186815299,0.26501766784452296,0.30612244897959184,0.0,0.26666666666666666,0.27111111111111114,0.25,0.2997275204359673,0.36633663366336633,0.6303441084462982,0.6440677966101694,0.5319148936170213,0.0,0.3333333333333333,0.5454545454545454,0.6666666666666666,0.66,0.6470588235294118
AR,2018,0.7933807164907747,0.27680798004987534,0.24142757172848145,0.34177215189873417,,0.4666666666666667,0.2639593908629442,0.3181818181818182,0.2222222222222222,0.30824372759856633,0.6213795162735145,0.6877828054298643,0.6666666666666666,,0.5,0.6545454545454545,0.0,0.2777777777777778,0.6323529411764706
CA,2018,0.7539825722535967,0.3160421797266251,0.3079350239569943,0.3222565687789799,0.15384615384615385,0.3244444444444444,0.3011403589226207,0.32967032967032966,0.29030842802614837,0.35534974408969044,0.600484622553588,0.597763470010166,0.6103542234332425,0.4,0.4895833333333333,0.5195011770694152,0.4368421052631579,0.500903342366757,0.6475605595359946
CO,2018,0.7710981920398645,0.37290224364783064,0.3125,0.35602094240837695,0.0,0.36923076923076925,0.3052415210688592,0.25,0.3494764397905759,0.37712344280860705,0.672733429272835,0.7170731707317073,0.6829268292682927,0.0,0.5,0.5578231292517006,0.36363636363636365,0.573170731707317,0.7007042253521126
CT,2018,0.7594136972453879,0.38096416857478804,0.2322001282873637,0.4864864864864865,,0.13333333333333333,0.39687848383500557,0.2,0.26580459770114945,0.31894484412470026,0.635671100362757,0.513215859030837,0.7777777777777778,,0.0,0.6828752642706131,0.5,0.4701492537313433,0.6166666666666667
DE,2018,0.7710587736049226,0.32169576059850374,0.27380952380952384,0.35,,0.4,0.39285714285714285,0.3333333333333333,0.273972602739726,0.26582278481012656,0.6120401337792643,0.584070796460177,0.6666666666666666,,0.0,0.7088607594936709,0.5,0.29411764705882354,0.7333333333333333
FL,2018,0.7840788476118271,0.3246859811904311,0.2428893513701006,0.4393939393939394,0.0,0.26785714285714285,0.301126664390577,0.35135135135135137,0.35223116313094366,0.3593033913840513,0.6553423693011794,0.625286303252405,0.6842105263157895,0.0,0.5,0.5854545454545454,0.5555555555555556,0.6221719457013575,0.7008849557522124
GA,2018,0.7895512128056564,0.35617432711013036,0.2948728499711958,0.3942307692307692,,0.48484848484848486,0.3546617915904936,0.34146341463414637,0.3163265306122449,0.37563971340839303,0.6895969458923721,0.6697798532354903,0.7391304347826086,,0.9,0.6536842105263158,0.7142857142857143,0.6346153846153846,0.7142857142857143
