state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.6265493084246452,0.640398443946717,0.5078534031413613,0.651685393258427,0.0,0.25,0.5751633986928104,1.0,0.4927536231884058,0.5773195876288659,0.8841339648173207,0.8686493184634448,0.967741935483871,0.0,0.0,0.8775510204081632,1.0,0.8571428571428571,0.8269230769230769
AK,2018,0.7272983643542019,0.6290703161868806,0.5277777777777778,0.7096774193548387,0.12903225806451613,0.5454545454545454,0.472636815920398,0.5384615384615384,0.6428571428571429,0.5211864406779662,0.857838364167478,0.875,0.9166666666666666,0.3586206896551724,0.6666666666666666,0.6818181818181818,0.8,0.85,0.8
AZ,2018,0.6571514423076923,0.6050355564097636,0.45936395759717313,0.5014577259475219,0.0,0.6,0.6133333333333333,0.5,0.5177111716621253,0.5693069306930693,0.8686131386861314,0.7966101694915254,0.8723404255319149,0.0,0.6666666666666666,0.9204545454545454,0.6666666666666666,0.86,0.8235294117647058
AR,2018,0.5988943929930362,0.6092527302433571,0.5122463261021694,0.7215189873417721,,0.5333333333333333,0.5583756345177665,0.4090909090909091,0.4767025089605735,0.6308243727598566,0.8638399522245447,0.8552036199095022,0.8888888888888888,,1.0,0.8909090909090909,1.0,0.7777777777777778,0.9264705882352942
CA,2018,0.7080264738200496,0.5848718245376262,0.5508940049082622,0.5193199381761978,0.38461538461538464,0.47555555555555556,0.6215720443914519,0.5180533751962323,0.4805861448690387,0.5831099195710456,0.8499720410065238,0.8329379871230091,0.8991825613079019,0.8,0.7395833333333334,0.8405548132595279,0.7894736842105263,0.8238482384823849,0.8594336403957694
CO,2018,0.6706701590749378,0.6466345282540142,0.57,0.6020942408376964,0.6,0.47692307692307695,0.6115107913669064,0.5555555555555556,0.5575916230366492,0.609286523216308,0.8756454753237958,0.8829268292682927,0.975609756097561,1.0,0.9166666666666666,0.8480725623582767,1.0,0.7926829268292683,0.8838028169014085
CT,2018,0.7194844579226687,0.6509685005260226,0.47273893521488136,0.43243243243243246,,0.4,0.6499442586399108,0.6,0.45689655172413796,0.5539568345323741,0.8692865779927449,0.7400881057268722,0.8888888888888888,,1.0,0.8837209302325582,1.0,0.7985074626865671,0.85
DE,2018,0.6770634415446637,0.6206705458575783,0.5132275132275133,0.55,,0.8,0.6607142857142857,0.3333333333333333,0.5342465753424658,0.5569620253164557,0.8648829431438128,0.8008849557522124,1.0,,1.0,0.8860759493670886,0.5,0.7647058823529411,1.0
FL,2018,0.6402122820318423,0.6197311115319069,0.49202219909816164,0.6515151515151515,0.4,0.5178571428571429,0.6090815978149539,0.5135135135135135,0.570592538405267,0.614115490375802,0.8696356275303644,0.8387540082455337,0.9298245614035088,0.0,0.8333333333333334,0.8490909090909091,0.8333333333333334,0.8484162895927602,0.8867256637168142
GA,2018,0.6523028577040165,0.6415028599634157,0.5509011603983212,0.6153846153846154,,0.6060606060606061,0.6544789762340036,0.4878048780487805,0.5489795918367347,0.593654042988741,0.8821672417590485,0.8699132755170114,1.0,,1.0,0.888421052631579,1.0,0.8846153846153846,0.8785714285714286
HI,2018,0.6675721122752555,0.6251207729468599,0.554140127388535,0.6666666666666666,0.0,1.0,0.5663318323519224,0.47924528301886793,0.4392523364485981,0.5970501474926254,0.8456725755995829,0.9215686274509803,1.0,0.0,0.0,0.7976723366159355,0.75,0.75,0.8498293515358362
ID,2018,0.6222625529340593,0.6024460810099947,0.5,0.5258620689655172,0.0,0.5555555555555556,0.51,0.4166666666666667,0.5309278350515464,0.5235294117647059,0.8784554629223343,0.8333333333333334,0.95,0.0,1.0,0.8888888888888888,0.75,0.8260869565217391,0.8076923076923077
IL,2018,0.6717500298436194,0.6273549290068323,0.5181465821000705,0.5714285714285714,0.5,0.6190476190476191,0.6518781425613723,0.6060606060606061,0.5228645383951682,0.545531197301855,0.8647330140145467,0.8248663101604278,0.9565217391304348,0.0,1.0,0.8784388995521433,0.8888888888888888,0.8589108910891089,0.8646153846153846
IN,2018,0.6342299126263492,0.5991960122206142,0.5093795093795094,0.5636363636363636,0.0,0.625,0.5371775417298937,0.4375,0.5278810408921933,0.5115452930728241,0.8661243346389474,0.8247978436657682,1.0,0.0,1.0,0.8475336322869955,0.5,0.8315789473684211,0.8661417322834646
