state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.8050116759475481,0.3498762230343039,0.14568631914409289,0.30337078651685395,0.0,0.08333333333333333,0.3431372549019608,0.6666666666666666,0.06763285024154589,0.21649484536082475,0.7041610284167794,0.4646840148698885,0.6451612903225806,0.0,0.0,0.8367346938775511,1.0,0.47619047619047616,0.6346153846153846
AK,2018,0.7583192329385223,0.3567720622935347,0.2361111111111111,0.3548387096774194,0.07096774193548387,0.0,0.12935323383084577,0.11538461538461539,0.19047619047619047,0.17796610169491525,0.5851996105160662,0.4166666666666667,0.6666666666666666,0.2413793103448276,0.0,0.4318181818181818,0.2,0.35,0.4117647058823529
AZ,2018,0.8049879807692307,0.3461464539688641,0.20141342756183744,0.09620991253644315,0.0,0.0,0.36,0.125,0.1008174386920981,0.22277227722772278,0.6882168925964547,0.5932203389830508,0.2765957446808511,0.0,0.0,0.7386363636363636,0.6666666666666666,0.48,0.5882352941176471
AR,2018,0.8103955775719721,0.30260555507782266,0.14415675297410777,0.12658227848101267,,0.13333333333333333,0.3248730964467005,0.09090909090909091,0.043010752688172046,0.1971326164874552,0.6796058524932815,0.5203619909502263,0.4444444444444444,,0.5,0.7818181818181819,1.0,0.16666666666666666,0.4852941176470588
CA,2018,0.7923747221015511,0.3406690577326744,0.2222741615052004,0.16383307573415765,0.23076923076923078,0.11333333333333333,0.3994924944204959,0.17582417582417584,0.07146931075330146,0.2321472093590056,0.6444175209692451,0.49000338868180277,0.4604904632152589,0.6,0.375,0.6862632817967805,0.4263157894736842,0.2750677506775068,0.5441828727396792
CO,2018,0.7902319044272663,0.4041103338286998,0.20875,0.15706806282722513,0.2,0.13846153846153847,0.4090441932168551,0.3055555555555556,0.12041884816753927,0.25141562853907135,0.7231016676542792,0.5853658536585366,0.36585365853658536,0.0,0.4166666666666667,0.7256235827664399,0.5454545454545454,0.3719512195121951,0.6091549295774648
CT,2018,0.7831185241344453,0.4102976669348351,0.15843489416292494,0.16216216216216217,,0.06666666666666667,0.4816053511705686,0.4,0.07183908045977011,0.22062350119904076,0.6804111245465538,0.4052863436123348,0.4444444444444444,,0.0,0.8245243128964059,1.0,0.30597014925373134,0.5666666666666667
DE,2018,0.791427965202631,0.35023552230534777,0.1931216931216931,0.15,,0.0,0.5535714285714286,0.3333333333333333,0.0821917808219178,0.1518987341772152,0.6622073578595318,0.48672566371681414,0.6666666666666666,,0.0,0.9240506329113924,0.5,0.29411764705882354,0.6
FL,2018,0.8030932524639879,0.35138546992362557,0.15582726326742977,0.2222222222222222,0.0,0.07142857142857142,0.398088084670536,0.20270270270270271,0.14703730797366496,0.2227314390467461,0.7036437246963563,0.4951901053595969,0.42105263157894735,0.0,0.5,0.7718181818181818,0.6111111111111112,0.5203619909502263,0.5982300884955752
GA,2018,0.8105469900815084,0.38802589936412996,0.20829561352975065,0.2692307692307692,,0.18181818181818182,0.4606946983546618,0.21951219512195122,0.10408163265306122,0.2671443193449335,0.7415020923573893,0.5623749166110741,0.6956521739130435,,0.4,0.8221052631578948,0.7142857142857143,0.4230769230769231,0.7
