state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7291180168852165,0.5053636685134976,0.4035966310038698,0.5280898876404494,1.0,0.25,0.369281045751634,1.0,0.4444444444444444,0.44673539518900346,0.8472598105548038,0.7980173482032218,0.4838709677419355,0.0,0.0,0.8367346938775511,1.0,0.7619047619047619,0.8846153846153846
AK,2018,0.7064297800338409,0.5007078810759792,0.4305555555555556,0.5483870967741935,0.4038709677419355,0.4090909090909091,0.12437810945273632,0.34615384615384615,0.5,0.4110169491525424,0.7565725413826679,0.75,0.6666666666666666,0.46206896551724136,0.2222222222222222,0.3409090909090909,0.2,0.6,0.7176470588235294
AZ,2018,0.7479039576884936,0.46758552229688455,0.43223443223443225,0.44967741935483874,0.4,0.4854368932038835,0.46267432321575064,0.4461538461538462,0.4610983981693364,0.4174757281553398,0.8212394892556836,0.8463855421686747,0.4921875,0.0,0.4,0.8178217821782178,0.3333333333333333,0.7292418772563177,0.8239700374531835
AR,2018,0.7271160887357312,0.4530914094075157,0.3960811756473058,0.379746835443038,,0.3333333333333333,0.3248730964467005,0.45454545454545453,0.4265232974910394,0.46236559139784944,0.8238280083607047,0.8099547511312217,0.3888888888888889,,0.0,0.7454545454545455,0.0,0.8888888888888888,0.8823529411764706
CA,2018,0.7731837579536452,0.45749473075174607,0.4717314487632509,0.512,0.4,0.4111111111111111,0.46017968631033956,0.39823008849557523,0.43652707739530805,0.4400726392251816,0.7902443573960082,0.8035426731078905,0.5147058823529411,0.5,0.45454545454545453,0.7650985378258105,0.4838709677419355,0.6769759450171822,0.8300536672629696
CO,2018,0.7594390851593944,0.5297401138134764,0.44875,0.45549738219895286,0.2,0.46153846153846156,0.4799588900308325,0.5277777777777778,0.49345549738219896,0.46206115515288787,0.8428003047490054,0.8390243902439024,0.43902439024390244,0.0,0.5,0.8163265306122449,0.5454545454545454,0.7804878048780488,0.9014084507042254
CT,2018,0.7878695981804398,0.5400705489201064,0.3425272610647851,0.5135135135135135,,0.4666666666666667,0.5284280936454849,0.6,0.4281609195402299,0.3980815347721823,0.8253929866989117,0.6938325991189427,0.4444444444444444,,1.0,0.854122621564482,0.5,0.7238805970149254,0.825
DE,2018,0.759176745172926,0.4829592684954281,0.4312169312169312,0.4,,0.2,0.5476190476190477,0.0,0.589041095890411,0.35443037974683544,0.8040133779264214,0.7654867256637168,0.6666666666666666,,0.0,0.8987341772151899,0.0,0.6470588235294118,0.8666666666666667
FL,2018,0.7436037402072277,0.4774727008773591,0.3833680194242109,0.46464646464646464,0.4,0.375,0.43700921816319566,0.4189189189189189,0.5160936356986101,0.4725022914757104,0.8190107375462067,0.7874484654145671,0.3684210526315789,0.0,0.6666666666666666,0.8054545454545454,0.6111111111111112,0.8190045248868778,0.8761061946902655
GA,2018,0.7528822547382893,0.5159838564501611,0.4402106822483746,0.4807692307692308,,0.5454545454545454,0.4913162705667276,0.4634146341463415,0.46224489795918366,0.46673490276356194,0.8549298876734455,0.8322214809873248,0.5652173913043478,,0.7,0.8410526315789474,0.7142857142857143,0.7307692307692307,0.8892857142857142
HI,2018,0.7442762902599922,0.49420289855072463,0.45222929936305734,0.5,0.0,0.0,0.35053688950467615,0.46540880503144655,0.5233644859813084,0.46194690265486726,0.7883211678832117,0.8823529411764706,0.6,0.0,0.0,0.657117278424351,0.54,0.9642857142857143,0.8088737201365188
ID,2018,0.7483363581367211,0.4501578116780642,0.3333333333333333,0.3879310344827586,0.6666666666666666,0.3888888888888889,0.35,0.4166666666666667,0.4020618556701031,0.3235294117647059,0.8398420359806933,0.8333333333333334,0.35,0.0,0.0,0.8518518518518519,0.25,0.6086956521739131,0.8461538461538461
IL,2018,0.7625940074012176,0.4985175226975562,0.4001057082452431,0.4935064935064935,0.5,0.42857142857142855,0.5220349009168885,0.48484848484848486,0.44779982743744606,0.4300168634064081,0.8206049317012596,0.7800802139037433,0.391304347826087,0.0,0.4,0.8573256557901472,0.5555555555555556,0.7054455445544554,0.8738461538461538
IN,2018,0.7469590543087202,0.4515195369030391,0.3915343915343915,0.6363636363636364,0.0,0.3125,0.41274658573596357,0.25,0.43308550185873607,0.41563055062166965,0.81671186100231,0.7789757412398922,0.6666666666666666,0.0,0.3333333333333333,0.8475336322869955,0.0,0.631578947368421,0.8188976377952756
IA,2018,0.7385178923640462,0.46575750357313006,0.2533783783783784,0.5319148936170213,,0.23076923076923078,0.29044117647058826,0.3,0.48344370860927155,0.3170731707317073,0.8227418442391099,0.5333333333333333,0.5555555555555556,,0.0,0.7692307692307693,0.5,0.7058823529411765,0.9285714285714286
KS,2018,0.7327133548427912,0.4900014283673761,0.3717532467532468,0.518796992481203,0.0,0.1111111111111111,0.42318840579710143,0.5,0.45588235294117646,0.4170731707317073,0.8451513143362049,0.856,0.7333333333333333,0.0,0.0,0.752,0.8,0.7419354838709677,0.9239130434782609
KY,2018,0.7430246296464601,0.46300583853432653,0.38664596273291924,0.5,1.0,0.1111111111111111,0.42452830188679247,0.6,0.4277456647398844,0.34294871794871795,0.8198815830476784,0.809322033898305,0.75,0.0,0.0,0.8037383177570093,1.0,0.75,0.9193548387096774
