state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7251661577151068,0.48390899445950725,0.32574550421124515,0.4606741573033708,1.0,0.16666666666666666,0.3660130718954248,1.0,0.2995169082125604,0.39862542955326463,0.7829837618403248,0.7434944237918215,0.7419354838709677,0.0,0.0,0.7448979591836735,1.0,0.8571428571428571,0.8846153846153846
AK,2018,0.7258883248730964,0.4775837659273242,0.375,0.45161290322580644,0.20774193548387096,0.25,0.16417910447761194,0.3076923076923077,0.40476190476190477,0.3474576271186441,0.7020447906523856,0.5833333333333334,0.75,0.2896551724137931,0.5555555555555556,0.45454545454545453,0.4,0.7,0.6470588235294118
AZ,2018,0.7449890314631727,0.4499083689676237,0.3802197802197802,0.32129032258064516,0.2,0.2524271844660194,0.45118949958982774,0.4153846153846154,0.358695652173913,0.36699029126213595,0.7642478978511367,0.822289156626506,0.64453125,0.0,0.5,0.7683168316831683,0.8333333333333334,0.7364620938628159,0.7490636704119851
AR,2018,0.7150549213870342,0.44801788631868605,0.3331000699790063,0.4810126582278481,,0.4666666666666667,0.36548223350253806,0.22727272727272727,0.25806451612903225,0.4014336917562724,0.7715736040609137,0.7737556561085973,0.7222222222222222,,1.0,0.7090909090909091,1.0,0.7222222222222222,0.7941176470588235
CA,2018,0.7698106457465567,0.44170764970864157,0.41519434628975266,0.328,0.6,0.2777777777777778,0.4585046444342927,0.34513274336283184,0.2955492216619163,0.3898305084745763,0.7355903749300504,0.7648953301127214,0.6470588235294118,0.5,0.9090909090909091,0.736808645899555,0.7741935483870968,0.7067583046964491,0.7316636851520573
CO,2018,0.73369322174663,0.5084635180687955,0.3725,0.3717277486910995,0.4,0.36923076923076925,0.45837615621788286,0.4722222222222222,0.40445026178010474,0.4031710079275198,0.7797341911453484,0.7658536585365854,0.7804878048780488,1.0,0.6666666666666666,0.7482993197278912,0.9090909090909091,0.7560975609756098,0.7746478873239436
CT,2018,0.7626484710639373,0.5166780122532335,0.2905708787684413,0.35135135135135137,,0.26666666666666666,0.5072463768115942,0.6,0.3017241379310345,0.37410071942446044,0.7659008464328899,0.6343612334801763,0.7777777777777778,,1.0,0.8076109936575053,1.0,0.746268656716418,0.7583333333333333
DE,2018,0.746658179503501,0.4796342477140482,0.3492063492063492,0.45,,0.4,0.5357142857142857,0.6666666666666666,0.3013698630136986,0.25316455696202533,0.7665551839464882,0.6902654867256637,1.0,,1.0,0.8607594936708861,1.0,0.47058823529411764,0.5333333333333333
FL,2018,0.7305029062421026,0.4630688632203497,0.31286853971557405,0.4696969696969697,0.0,0.4107142857142857,0.44895868897234553,0.32432432432432434,0.4286759326993416,0.4055912007332722,0.7615912691427565,0.7420980302336234,0.7719298245614035,0.0,0.8333333333333334,0.7681818181818182,0.8888888888888888,0.8212669683257918,0.7663716814159292
GA,2018,0.7442404006677796,0.49583345431317327,0.37042218747428196,0.46153846153846156,,0.45454545454545453,0.4835466179159049,0.36585365853658536,0.3469387755102041,0.4186284544524053,0.7899566845312386,0.7845230153435624,0.9130434782608695,,0.8,0.7894736842105263,1.0,0.7884615384615384,0.7928571428571428
HI,2018,0.7415599534342259,0.4758454106280193,0.36942675159235666,0.3888888888888889,0.0,0.0,0.372358850017319,0.31949685534591193,0.3925233644859813,0.4023598820058997,0.7194994786235662,0.803921568627451,1.0,0.0,0.0,0.649059982094897,0.65,0.8214285714285714,0.7030716723549488
ID,2018,0.7226860254083485,0.43805891635981065,0.3125,0.35344827586206895,0.3333333333333333,0.3888888888888889,0.4,0.3333333333333333,0.30927835051546393,0.3352941176470588,0.7656867046950416,0.8333333333333334,0.75,0.0,0.0,0.9259259259259259,0.75,0.6521739130434783,0.6538461538461539
IL,2018,0.7465082965262027,0.48126185521445275,0.33738548273431995,0.36363636363636365,0.0,0.2619047619047619,0.5031055900621118,0.3939393939393939,0.3175150992234685,0.3676222596964587,0.7656554905091361,0.7225935828877005,0.6956521739130435,0.0,0.8,0.8023032629558541,0.7777777777777778,0.7475247524752475,0.7723076923076924
IN,2018,0.7334247044714751,0.4424505547515678,0.3164983164983165,0.34545454545454546,0.0,0.4375,0.40515933232169954,0.375,0.3271375464684015,0.3765541740674956,0.7699106156472834,0.7142857142857143,0.7777777777777778,0.0,0.6666666666666666,0.8071748878923767,1.0,0.6631578947368421,0.7244094488188977
IA,2018,0.715243730628346,0.45718199142448784,0.1891891891891892,0.3617021276595745,,0.38461538461538464,0.3125,0.3,0.31125827814569534,0.34146341463414637,0.7659815198943994,0.5,1.0,,1.0,0.7230769230769231,1.0,0.8823529411764706,0.8214285714285714
KS,2018,0.7190485228063516,0.4745750607056135,0.3198051948051948,0.42857142857142855,0.25,0.3333333333333333,0.40869565217391307,0.3125,0.27205882352941174,0.3853658536585366,0.7892644135188867,0.808,0.8666666666666667,0.0,0.6666666666666666,0.688,0.6,0.6129032258064516,0.8586956521739131
