state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7661217891144243,0.48738653778144525,0.28386068745731846,0.47191011235955055,0.0,0.08333333333333333,0.38562091503267976,1.0,0.10628019323671498,0.30927835051546393,0.8501353179972937,0.6964064436183395,0.8387096774193549,0.0,0.0,0.8571428571428571,1.0,0.47619047619047616,0.8461538461538461
AK,2018,0.7735476593344613,0.4884379424256725,0.3333333333333333,0.45161290322580644,0.16774193548387098,0.1590909090909091,0.13432835820895522,0.23076923076923078,0.21428571428571427,0.2796610169491525,0.7526777020447907,0.5833333333333334,0.75,0.4896551724137931,0.3333333333333333,0.38636363636363635,0.4,0.4,0.5411764705882353
AZ,2018,0.7921387144273823,0.4562843616371411,0.3413919413919414,0.23225806451612904,0.4,0.1650485436893204,0.4741591468416735,0.35384615384615387,0.17162471395881007,0.29514563106796116,0.8282985570434963,0.7981927710843374,0.59375,0.5,0.3,0.8455445544554455,0.7222222222222222,0.5415162454873647,0.7565543071161048
AR,2018,0.7548998492354081,0.44432023389801356,0.2834149755073478,0.4430379746835443,,0.2,0.3604060913705584,0.09090909090909091,0.0931899641577061,0.33691756272401435,0.8292027470886831,0.7420814479638009,0.7777777777777778,,0.5,0.8,1.0,0.5,0.7352941176470589
CA,2018,0.8140699665244168,0.44336074720006613,0.3745583038869258,0.252,0.8,0.15555555555555556,0.4853053144510431,0.26548672566371684,0.1267265950449463,0.32506053268765134,0.7881925013989928,0.7069243156199678,0.6029411764705882,1.0,0.8181818181818182,0.8003814367450731,0.6451612903225806,0.43871706758304696,0.7209302325581395
CO,2018,0.7794352520283652,0.5222733698213056,0.34625,0.28272251308900526,0.6,0.26153846153846155,0.4984583761562179,0.3888888888888889,0.21335078534031413,0.34994337485843713,0.8476254973334462,0.7658536585365854,0.6829268292682927,1.0,0.5,0.8458049886621315,0.7272727272727273,0.5365853658536586,0.7922535211267606
CT,2018,0.8062673742734394,0.5312828764156198,0.25593329057087877,0.2972972972972973,,0.06666666666666667,0.5440356744704571,0.4,0.14798850574712644,0.30935251798561153,0.8251511487303507,0.5903083700440529,0.7777777777777778,,0.0,0.8837209302325582,1.0,0.4925373134328358,0.7416666666666667
DE,2018,0.7803946530872056,0.47935716264893324,0.31216931216931215,0.3,,0.2,0.5773809523809523,0.3333333333333333,0.136986301369863,0.22784810126582278,0.8066889632107024,0.6592920353982301,1.0,,1.0,0.9367088607594937,0.5,0.29411764705882354,0.8
FL,2018,0.7716755117513268,0.4655178943381935,0.2774020117932709,0.398989898989899,0.4,0.17857142857142858,0.46432229429839533,0.2702702702702703,0.23226042428675933,0.34097158570119157,0.8220735785953177,0.6939990838295923,0.7017543859649122,0.0,0.8333333333333334,0.8345454545454546,0.6666666666666666,0.6470588235294118,0.7610619469026548
GA,2018,0.7862515957969164,0.5070700618448941,0.33322360299563825,0.38461538461538464,,0.3333333333333333,0.5123400365630713,0.3170731707317073,0.1816326530612245,0.3541453428863869,0.8629322369870054,0.7528352234823216,0.8260869565217391,,0.8,0.8673684210526316,1.0,0.6025641025641025,0.8178571428571428
HI,2018,0.779976717112922,0.48985507246376814,0.3375796178343949,0.2777777777777778,0.0,0.0,0.3851749220644267,0.22264150943396227,0.22429906542056074,0.3368731563421829,0.7831074035453598,0.7254901960784313,1.0,0.0,0.0,0.7054610564010743,0.515,0.6785714285714286,0.6791808873720137
ID,2018,0.767816091954023,0.44331930562861654,0.2916666666666667,0.27586206896551724,0.0,0.2777777777777778,0.37,0.25,0.1134020618556701,0.21764705882352942,0.8415971917507679,0.8333333333333334,0.85,0.0,1.0,0.9629629629629629,0.5,0.34782608695652173,0.6538461538461539
IL,2018,0.7900053718514981,0.48564483158689525,0.30197322057787174,0.23376623376623376,0.0,0.30952380952380953,0.5418515232179828,0.3333333333333333,0.12553925798101812,0.30185497470489037,0.8241085683874402,0.69451871657754,0.4782608695652174,0.0,0.8,0.8854766474728087,0.6666666666666666,0.43564356435643564,0.7753846153846153
