state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7410185018861146,0.37133089708829425,0.40132028226724337,0.38202247191011235,0.0,0.25,0.30392156862745096,1.0,0.38164251207729466,0.3642611683848797,0.7170162381596752,0.48079306071871125,0.3870967741935484,0.0,1.0,0.7448979591836735,1.0,0.5714285714285714,0.8076923076923077
AK,2018,0.7089678510998308,0.39169419537517697,0.4305555555555556,0.45161290322580644,0.3716129032258065,0.4318181818181818,0.09950248756218906,0.4230769230769231,0.5,0.3432203389830508,0.6436222005842259,0.5833333333333334,0.5833333333333334,0.4,0.3333333333333333,0.3181818181818182,0.8,0.6,0.6352941176470588
AZ,2018,0.7595636625897767,0.36373701893708005,0.4073260073260073,0.3896774193548387,0.2,0.3883495145631068,0.40689089417555374,0.5230769230769231,0.41018306636155605,0.3553398058252427,0.7070486868057718,0.4457831325301205,0.43359375,0.5,0.2,0.7445544554455445,0.7222222222222222,0.5595667870036101,0.7602996254681648
AR,2018,0.7624380788283437,0.3265113079370539,0.38838348495451364,0.4177215189873418,,0.3333333333333333,0.3401015228426396,0.45454545454545453,0.3727598566308244,0.3906810035842294,0.6960286652732159,0.48868778280542985,0.4444444444444444,,1.0,0.7636363636363637,1.0,0.4444444444444444,0.75
CA,2018,0.7474714435387013,0.3545361387038659,0.4186046511627907,0.4273570324574961,0.38461538461538464,0.45111111111111113,0.39649637714390534,0.4065934065934066,0.40459790286491465,0.3880087740677553,0.6573718546132339,0.49034225686208066,0.4822888283378747,0.6,0.4583333333333333,0.6680027995164471,0.4842105263157895,0.508130081300813,0.7236438075742068
CO,2018,0.7689236665602044,0.42444484564000723,0.3888888888888889,0.29411764705882354,,0.25,0.4293193717277487,0.5714285714285714,0.41605839416058393,0.3804347826086957,0.7339255499153976,0.475,0.3,,0.0,0.8414634146341463,0.6,0.5806451612903226,0.75
CT,2018,0.7545109931766489,0.423726715762114,0.3765234124438743,0.40540540540540543,,0.26666666666666666,0.4782608695652174,0.6,0.4295977011494253,0.3213429256594724,0.6905683192261185,0.45154185022026433,0.6666666666666666,,0.0,0.8012684989429175,1.0,0.5298507462686567,0.7333333333333333
DE,2018,0.7449607468703586,0.3743419229703519,0.4113756613756614,0.55,,0.6,0.5059523809523809,0.3333333333333333,0.410958904109589,0.27848101265822783,0.682943143812709,0.4911504424778761,0.3333333333333333,,0.0,0.8734177215189873,0.5,0.5882352941176471,0.8
FL,2018,0.7524184988627748,0.37284605188411285,0.39325355532431494,0.43434343434343436,0.0,0.5357142857142857,0.39399112325025604,0.3918918918918919,0.45354791514264814,0.3900091659028414,0.7147685266678402,0.46220797068254693,0.40350877192982454,0.0,0.6666666666666666,0.7381818181818182,0.4444444444444444,0.6312217194570136,0.768141592920354
GA,2018,0.7359717175684966,0.4126767515461224,0.4058102213809563,0.5,,0.3939393939393939,0.443327239488117,0.5121951219512195,0.4,0.41146366427840325,0.7562587181557888,0.47264843228819214,0.391304347826087,,0.5,0.7894736842105263,0.42857142857142855,0.5576923076923077,0.8071428571428572
ID,2018,0.7781004234724743,0.3481062598632299,0.4375,0.35344827586206895,0.6666666666666666,0.3888888888888889,0.31,0.6666666666666666,0.422680412371134,0.2529411764705882,0.7257569109258447,0.6666666666666666,0.35,0.0,0.0,0.8148148148148148,0.75,0.43478260869565216,0.6538461538461539
IL,2018,0.7584606661095857,0.3875619233531611,0.39323467230443976,0.38961038961038963,0.5,0.3333333333333333,0.46258503401360546,0.42424242424242425,0.4055220017256255,0.3456998313659359,0.7029004789781799,0.4385026737967914,0.5217391304347826,0.0,0.6,0.7875879718490083,0.6666666666666666,0.5148514851485149,0.7784615384615384
IN,2018,0.7704014619382102,0.34169480623894516,0.4016354016354016,0.32727272727272727,0.0,0.375,0.3520485584218513,0.375,0.40148698884758366,0.3410301953818828,0.6984031334739379,0.4501347708894879,0.4444444444444444,0.0,0.3333333333333333,0.8116591928251121,1.0,0.37894736842105264,0.7322834645669292
IA,2018,0.7732318963088194,0.3467722725107194,0.40202702702702703,0.3829787234042553,,0.3076923076923077,0.28308823529411764,0.2,0.31788079470198677,0.2804878048780488,0.6958325476145578,0.4,0.2222222222222222,,0.0,0.7384615384615385,0.0,0.5294117647058824,0.8214285714285714
KS,2018,0.7666856456000506,0.37923153835166407,0.39285714285714285,0.40601503759398494,0.25,0.5555555555555556,0.39710144927536234,0.5,0.3602941176470588,0.36341463414634145,0.7433178705544511,0.456,0.5,0.0,0.6666666666666666,0.736,0.6,0.4838709677419355,0.8478260869565217
KY,2018,0.7746069253839862,0.3544896315683511,0.3812111801242236,0.3181818181818182,1.0,0.3333333333333333,0.3805031446540881,0.26666666666666666,0.37572254335260113,0.28525641025641024,0.7184481146774696,0.4406779661016949,1.0,0.0,0.0,0.7663551401869159,0.0,0.4166666666666667,0.7580645161290323
MA,2018,0.7673380864536072,0.41634347351836143,0.3857016769638129,0.3953488372093023,0.0,0.375,0.4452635458901585,0.35294117647058826,0.4316987740805604,0.3915929203539823,0.700959881860694,0.46401225114854516,0.4,0.0,1.0,0.7678843226788432,0.42857142857142855,0.5393700787401575,0.7854671280276817
ME,2018,0.7770636960868323,0.3449001051524711,0.3466666666666667,0.325,,0.16666666666666666,0.2894736842105263,0.0,0.6,0.29545454545454547,0.7002421307506054,0.375,1.0,,0.0,0.6521739130434783,0.0,0.75,0.7368421052631579
MD,2018,0.7312813994310272,0.4675936949378542,0.4219273383148673,0.4339622641509434,1.0,0.34782608695652173,0.4751131221719457,0.4,0.3898458748866727,0.4508670520231214,0.7436586896119028,0.47759282970550576,0.5238095238095238,1.0,0.3333333333333333,0.767965367965368,0.875,0.5123152709359606,0.7853107344632768
MI,2018,0.7759558470644697,0.3606830102359112,0.3984736985554647,0.4199288256227758,,0.3333333333333333,0.48366013071895425,0.5454545454545454,0.4657210401891253,0.3699231613611416,0.7219457163713584,0.4699738903394256,0.4166666666666667,,0.5,0.8142414860681114,0.6666666666666666,0.6818181818181818,0.8202764976958525
MN,2018,0.76174204571097,0.3862904082427504,0.3755707762557078,0.45353159851301117,0.0,0.38461538461538464,0.2930232558139535,0.14285714285714285,0.424812030075188,0.3239130434782609,0.6999908700812563,0.42748091603053434,0.5208333333333334,0.0,0.5,0.6818181818181818,0.3333333333333333,0.40540540540540543,0.7142857142857143
MS,2018,0.7068011221472439,0.389220868765801,0.39735264735264736,0.33962264150943394,,0.0,0.30978260869565216,0.5,0.41509433962264153,0.4496124031007752,0.727433628318584,0.4728434504792332,0.5714285714285714,,0.0,0.7291666666666666,0.0,0.4375,0.7878787878787878
