state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.8020926890605353,0.3822350583519981,0.19212383337127248,0.34831460674157305,0.0,0.08333333333333333,0.3333333333333333,0.6666666666666666,0.07246376811594203,0.23024054982817868,0.7486468200270636,0.5650557620817844,0.6774193548387096,0.0,0.0,0.826530612244898,1.0,0.47619047619047616,0.6923076923076923
AK,2018,0.7786238014664411,0.4100991033506371,0.3194444444444444,0.3548387096774194,0.10580645161290322,0.045454545454545456,0.12935323383084577,0.11538461538461539,0.19047619047619047,0.22033898305084745,0.6728334956183057,0.5833333333333334,0.6666666666666666,0.32413793103448274,0.2222222222222222,0.4090909090909091,0.2,0.35,0.5058823529411764
AZ,2018,0.8076449199146558,0.37729077580940745,0.24981684981684982,0.1329032258064516,0.4,0.10679611650485436,0.4298605414273995,0.24615384615384617,0.11842105263157894,0.23883495145631067,0.7385030623897021,0.6686746987951807,0.44140625,0.5,0.2,0.8138613861386138,0.6666666666666666,0.4259927797833935,0.651685393258427
AR,2018,0.8006317754325508,0.3373462894487918,0.18264520643806859,0.22784810126582278,,0.2,0.3350253807106599,0.09090909090909091,0.06810035842293907,0.25089605734767023,0.722006569125112,0.6108597285067874,0.6666666666666666,,0.5,0.8,1.0,0.2777777777777778,0.6176470588235294
CA,2018,0.8019676487874684,0.3658909475563195,0.2628257566904289,0.19938176197836166,0.46153846153846156,0.14444444444444443,0.4190589745941484,0.18053375196232338,0.08853595402097135,0.26687789422373875,0.6840447343895619,0.5591324974584887,0.5422343324250681,1.0,0.46875,0.7191576000509003,0.4368421052631579,0.3326558265582656,0.60661890139884
CO,2018,0.7920792079207921,0.43329120779924174,0.2222222222222222,0.20588235294117646,,0.125,0.418848167539267,0.5714285714285714,0.1897810218978102,0.2826086956521739,0.7580372250423012,0.55,0.6,,0.0,0.8414634146341463,0.8,0.41935483870967744,0.7
CT,2018,0.7937326257265606,0.43870289003032364,0.18794098781270044,0.24324324324324326,,0.06666666666666667,0.4927536231884058,0.4,0.10057471264367816,0.23501199040767387,0.718863361547763,0.4845814977973568,0.6666666666666666,,0.0,0.8350951374207188,1.0,0.40298507462686567,0.5916666666666667
DE,2018,0.7907914279652026,0.3887503463563314,0.24074074074074073,0.1,,0.0,0.5416666666666666,0.3333333333333333,0.1232876712328767,0.17721518987341772,0.7096989966555184,0.5619469026548672,0.3333333333333333,,0.0,0.8987341772151899,0.5,0.35294117647058826,0.6666666666666666
FL,2018,0.7980894617134192,0.38475036293631254,0.1984911550468262,0.2777777777777778,0.0,0.125,0.4168658245134858,0.20270270270270271,0.16788588149231895,0.2676443629697525,0.7440591445168104,0.5863490609253321,0.5263157894736842,0.0,0.8333333333333334,0.7945454545454546,0.6111111111111112,0.5452488687782805,0.6707964601769911
GA,2018,0.8074437788470981,0.42969135623239746,0.2545469508682413,0.2980769230769231,,0.21212121212121213,0.46983546617915906,0.24390243902439024,0.12448979591836734,0.30194472876151485,0.7899566845312386,0.6480987324883255,0.782608695652174,,0.6,0.8336842105263158,0.8571428571428571,0.48717948717948717,0.7571428571428571
