state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7174420693371655,0.45821053872450784,0.5187798770771682,0.48314606741573035,1.0,0.25,0.3235294117647059,1.0,0.5314009661835749,0.5429553264604811,0.7993910690121786,0.8537794299876085,0.5483870967741935,0.0,0.0,0.7959183673469388,1.0,0.47619047619047616,0.5576923076923077
AK,2018,0.6883812746756909,0.4719207173194903,0.5555555555555556,0.4838709677419355,0.5096774193548387,0.4090909090909091,0.12935323383084577,0.46153846153846156,0.5952380952380952,0.4872881355932203,0.7351509250243428,0.8333333333333334,0.5,0.6137931034482759,0.5555555555555556,0.4090909090909091,0.4,0.65,0.5647058823529412
AZ,2018,0.7374763350061604,0.428069639584606,0.536996336996337,0.5116129032258064,0.6,0.5436893203883495,0.43560295324036097,0.5230769230769231,0.5040045766590389,0.5194174757281553,0.7785736530675802,0.8855421686746988,0.55078125,1.0,0.6,0.7900990099009901,0.6111111111111112,0.555956678700361,0.6142322097378277
AR,2018,0.7210855050613827,0.4172327801186688,0.5255423372988104,0.569620253164557,,0.6,0.3299492385786802,0.3181818181818182,0.4982078853046595,0.5089605734767025,0.7817258883248731,0.9095022624434389,0.7222222222222222,,1.0,0.7636363636363637,1.0,0.6111111111111112,0.5882352941176471
CA,2018,0.7451562619783814,0.41665702527147414,0.5579058081103191,0.5154559505409583,0.8461538461538461,0.52,0.42410345776391817,0.48194662480376765,0.49190540955556533,0.5159639288325616,0.7396644920782852,0.8600474415452389,0.6049046321525886,1.0,0.5625,0.7181395940701152,0.6684210526315789,0.5526196928635954,0.5926305015353122
CO,2018,0.7509423113780106,0.48769437094494184,0.5625,0.5235602094240838,0.8,0.5538461538461539,0.4522096608427544,0.6111111111111112,0.49476439790575916,0.507361268403171,0.7970033014475578,0.8878048780487805,0.7317073170731707,1.0,0.5,0.7913832199546486,0.9090909090909091,0.5670731707317073,0.5915492957746479
CT,2018,0.7778620166793025,0.48159604082895147,0.48717948717948717,0.5,,0.5,0.553072625698324,1.0,0.44029850746268656,0.43023255813953487,0.776885043263288,0.7926829268292683,1.0,,0.0,0.8888888888888888,0.0,0.6785714285714286,0.5
DE,2018,0.7496286866115001,0.44195067885840955,0.5423280423280423,0.4,,1.0,0.5297619047619048,0.6666666666666666,0.5616438356164384,0.5316455696202531,0.7652173913043478,0.8362831858407079,0.3333333333333333,,1.0,0.8987341772151899,1.0,0.5294117647058824,0.5333333333333333
FL,2018,0.7365175638109679,0.4349933724673357,0.5201179327089837,0.5404040404040404,0.6,0.5,0.4103789689313759,0.44594594594594594,0.49853694220921724,0.4880843263061412,0.7776095757789122,0.8836463582226294,0.5964912280701754,0.0,0.5,0.7727272727272727,0.7777777777777778,0.5542986425339367,0.5681415929203539
GA,2018,0.7314740253363449,0.47971893963589907,0.5602831042712534,0.47115384615384615,,0.6060606060606061,0.46115173674588666,0.43902439024390244,0.4826530612244898,0.5220061412487206,0.8196901842742823,0.8829219479653102,0.4782608695652174,,0.6,0.8242105263157895,1.0,0.6282051282051282,0.6214285714285714
