state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.6668762349559907,0.5674879170104916,0.5306168905076257,0.5280898876404494,0.0,0.5,0.47058823529411764,0.6666666666666666,0.3961352657004831,0.5154639175257731,0.8526725304465493,0.9132589838909542,0.8064516129032258,0.0,1.0,0.826530612244898,0.5,0.9523809523809523,0.8076923076923077
AK,2018,0.7507050197405527,0.5700802265219443,0.5555555555555556,0.4838709677419355,0.0,0.4090909090909091,0.4079601990049751,0.34615384615384615,0.6666666666666666,0.4703389830508475,0.8237585199610516,0.8333333333333334,0.75,0.0,0.6666666666666666,0.7727272727272727,0.4,0.8,0.7764705882352941
AZ,2018,0.7083571235387806,0.521189676237019,0.5567765567765568,0.42516129032258065,0.0,0.3883495145631068,0.5684987694831829,0.5538461538461539,0.4902745995423341,0.46893203883495144,0.8303747534516766,0.9367469879518072,0.77734375,0.0,0.7,0.8356435643564356,0.7777777777777778,0.8483754512635379,0.7490636704119851
AR,2018,0.6547490846435494,0.5334078596611919,0.5367389783065081,0.5822784810126582,,0.4666666666666667,0.4873096446700508,0.3181818181818182,0.3333333333333333,0.5340501792114696,0.838757838160645,0.9049773755656109,0.8888888888888888,,1.0,0.7818181818181819,1.0,0.7777777777777778,0.8823529411764706
CA,2018,0.7446554059233894,0.5016941308695436,0.5727474582213392,0.44049459041731065,0.0,0.41333333333333333,0.579320676266471,0.49293563579277866,0.4307462817531698,0.485376553741165,0.8018266542404473,0.9017282277194172,0.779291553133515,0.0,0.78125,0.8124960234141375,0.6894736842105263,0.8082655826558266,0.8123507335380417
CO,2018,0.7132498562575864,0.5693935988981116,0.5725,0.4816753926701571,0.0,0.5230769230769231,0.5673175745118191,0.4722222222222222,0.5392670157068062,0.5311438278595696,0.838483027173453,0.9365853658536586,0.8536585365853658,0.0,0.75,0.7913832199546486,0.7272727272727273,0.7926829268292683,0.8485915492957746
CT,2018,0.7482941622441244,0.557067738942159,0.47115384615384615,0.1,,0.5,0.5865921787709497,0.0,0.373134328358209,0.45348837209302323,0.8096415327564895,0.8292682926829268,0.0,,0.0,0.8181818181818182,0.0,0.7857142857142857,0.7333333333333333
DE,2018,0.7114364523657968,0.5627597672485453,0.5462962962962963,0.5,,0.4,0.6369047619047619,0.3333333333333333,0.4657534246575342,0.45569620253164556,0.8414715719063545,0.8716814159292036,1.0,,1.0,0.8860759493670886,0.0,0.8235294117647058,0.8666666666666667
FL,2018,0.6899570381602224,0.5342674998422016,0.5128338536246965,0.5656565656565656,0.0,0.375,0.5674291567087744,0.4594594594594595,0.5329188002926115,0.500916590284143,0.8288329519450801,0.9143380668804397,0.8421052631578947,0.0,0.6666666666666666,0.8281818181818181,0.8888888888888888,0.8733031674208145,0.8070796460176991
GA,2018,0.691976824118629,0.5719346128161203,0.568019093078759,0.5288461538461539,,0.5151515151515151,0.6078610603290676,0.36585365853658536,0.46224489795918366,0.4953940634595701,0.8580867777696204,0.9252835223482322,0.9130434782608695,,0.8,0.8389473684210527,0.8571428571428571,0.7884615384615384,0.8607142857142858
HI,2018,0.6797309533048764,0.538647342995169,0.5414012738853503,0.4444444444444444,0.0,0.0,0.5382750259785244,0.4867924528301887,0.42990654205607476,0.5179941002949853,0.7799791449426486,0.9607843137254902,1.0,0.0,0.0,0.7645478961504029,0.64,0.8571428571428571,0.7918088737201365
ID,2018,0.6844525105868119,0.5110468174644923,0.4791666666666667,0.4224137931034483,0.0,0.5555555555555556,0.52,0.5,0.5360824742268041,0.4588235294117647,0.8358929354980255,0.8333333333333334,0.85,0.0,1.0,0.8518518518518519,0.75,0.8260869565217391,0.7692307692307693
IL,2018,0.7183209979706339,0.5509843280970884,0.5260747004933052,0.44155844155844154,0.0,0.4523809523809524,0.587991718426501,0.48484848484848486,0.4469370146678171,0.47217537942664417,0.8315149902430371,0.9057486631016043,0.782608695652174,0.0,0.8,0.8253358925143954,0.8888888888888888,0.7995049504950495,0.8615384615384616
IN,2018,0.6906801439095426,0.5240713941148094,0.5276575276575276,0.4727272727272727,0.0,0.4375,0.4764795144157815,0.75,0.45724907063197023,0.4724689165186501,0.8447323491011349,0.8733153638814016,0.8888888888888888,0.0,0.6666666666666666,0.7982062780269058,1.0,0.8210526315789474,0.8346456692913385
IA,2018,0.6770357847280924,0.5403168175321582,0.3581081081081081,0.3617021276595745,,0.3076923076923077,0.4007352941176471,0.4,0.41721854304635764,0.34146341463414637,0.8399019422968131,0.8,0.8888888888888888,,0.0,0.7846153846153846,0.5,0.8823529411764706,0.8928571428571429
KS,2018,0.6735623457961663,0.5527781745464934,0.4724025974025974,0.5263157894736842,0.0,0.6666666666666666,0.5391304347826087,0.5625,0.47794117647058826,0.45365853658536587,0.8493483543185333,0.952,0.9333333333333333,0.0,1.0,0.792,0.6,0.7419354838709677,0.8478260869565217
KY,2018,0.6821775879305644,0.5341755586873365,0.5139751552795031,0.45454545454545453,0.0,0.5555555555555556,0.5440251572327044,0.4666666666666667,0.4161849710982659,0.358974358974359,0.8381115612340293,0.9110169491525424,0.75,0.0,0.0,0.8130841121495327,0.6666666666666666,1.0,0.8548387096774194
LA,2018,0.6708762761890937,0.5729984301412873,0.5322215359275273,0.5555555555555556,0.0,0.5238095238095238,0.5220417633410673,0.6666666666666666,0.5294117647058824,0.5179063360881543,0.8375947804619996,0.9148936170212766,0.9285714285714286,0.0,0.75,0.8253968253968254,1.0,0.95,0.8411214953271028
MA,2018,0.7589619584185072,0.5585383589867895,0.46601941747572817,0.6511627906976745,0.0,0.3333333333333333,0.5624769627718393,0.6470588235294118,0.4395796847635727,0.4524336283185841,0.8272827959635737,0.8575803981623277,0.95,0.0,0.0,0.8211567732115678,0.8571428571428571,0.7952755905511811,0.8200692041522492
ME,2018,0.6823764638674664,0.5269640979420159,0.30666666666666664,0.375,,0.3333333333333333,0.5131578947368421,1.0,0.4666666666666667,0.45454545454545453,0.8368038740920097,0.875,0.6666666666666666,,0.0,0.8695652173913043,0.0,1.0,0.8421052631578947
MD,2018,0.7529810544155923,0.6049811895804562,0.6144035042514816,0.5094339622641509,0.0,0.5652173913043478,0.6262443438914027,0.6,0.37262012692656393,0.5606936416184971,0.8491529981177736,0.9292573623559539,0.7619047619047619,0.0,0.8888888888888888,0.8311688311688312,0.5,0.8177339901477833,0.8700564971751412
MI,2018,0.7102463605823068,0.5294253564084198,0.5012264922322158,0.4697508896797153,,0.38596491228070173,0.5838779956427015,0.6363636363636364,0.49645390070921985,0.4654226125137212,0.8493596124493994,0.9321148825065274,0.8833333333333333,,0.6666666666666666,0.8173374613003096,1.0,0.8636363636363636,0.8294930875576036
