state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.754625471528651,0.5094895673700341,0.28386068745731846,0.42696629213483145,0.0,0.08333333333333333,0.3627450980392157,1.0,0.0966183574879227,0.29553264604810997,0.8616373477672531,0.6827757125154895,0.7741935483870968,0.0,0.0,0.8367346938775511,1.0,0.47619047619047616,0.8076923076923077
AK,2018,0.7842639593908629,0.5191127890514393,0.375,0.45161290322580644,0.17419354838709677,0.1590909090909091,0.14925373134328357,0.15384615384615385,0.2619047619047619,0.2711864406779661,0.8003894839337877,0.6666666666666666,0.75,0.4827586206896552,0.3333333333333333,0.4318181818181818,0.4,0.5,0.5647058823529412
AZ,2018,0.7848964750428223,0.464454795357361,0.3252747252747253,0.24645161290322581,0.4,0.18446601941747573,0.46595570139458575,0.3076923076923077,0.15503432494279176,0.28640776699029125,0.8272604588394062,0.75,0.62890625,0.5,0.5,0.8336633663366336,0.7222222222222222,0.5234657039711191,0.7116104868913857
AR,2018,0.743987364491349,0.4653022615874108,0.29111266620014,0.379746835443038,,0.26666666666666666,0.3299492385786802,0.13636363636363635,0.07168458781362007,0.3154121863799283,0.8426395939086294,0.7375565610859729,0.7777777777777778,,1.0,0.7818181818181819,1.0,0.4444444444444444,0.7058823529411765
CA,2018,0.8085196637109345,0.44831661239938514,0.3450975809278953,0.2828438948995363,0.46153846153846156,0.19555555555555557,0.47023754929835826,0.25274725274725274,0.11665862326152766,0.3109919571045576,0.7854426840633737,0.6858691968824128,0.6485013623978202,1.0,0.5520833333333334,0.7829738499713685,0.5789473684210527,0.3976964769647697,0.6844080518594337
CO,2018,0.7755382354820163,0.5254268005364456,0.34,0.3036649214659686,0.6,0.2923076923076923,0.49023638232271327,0.3055555555555556,0.18848167539267016,0.32955832389580975,0.8456784897993735,0.7560975609756098,0.6829268292682927,1.0,0.6666666666666666,0.8390022675736961,0.6363636363636364,0.5,0.7640845070422535
CT,2018,0.8140005054334092,0.5100525827404887,0.23717948717948717,0.1,,0.0,0.5586592178770949,0.0,0.12686567164179105,0.29069767441860467,0.8164400494437577,0.6219512195121951,1.0,,0.0,0.898989898989899,0.0,0.4642857142857143,0.6333333333333333
DE,2018,0.7806068321663484,0.4937655860349127,0.31746031746031744,0.3,,0.2,0.5714285714285714,0.3333333333333333,0.1232876712328767,0.189873417721519,0.8240802675585285,0.6637168141592921,0.6666666666666666,,1.0,0.9367088607594937,0.5,0.35294117647058826,0.7333333333333333
FL,2018,0.7683699772554966,0.47310484125481284,0.2713319458896982,0.37373737373737376,0.4,0.14285714285714285,0.4479344486172755,0.20270270270270271,0.1920263350402341,0.30980751604032997,0.8239042422108783,0.6976637654603757,0.6491228070175439,0.0,0.8333333333333334,0.8236363636363636,0.6666666666666666,0.5723981900452488,0.7097345132743362
GA,2018,0.7792399096533438,0.5206585174646496,0.3278742490330014,0.36538461538461536,,0.2727272727272727,0.5004570383912249,0.2926829268292683,0.15714285714285714,0.33469805527123847,0.8673371999119007,0.7391594396264176,0.8260869565217391,,0.5,0.8578947368421053,0.8571428571428571,0.5448717948717948,0.7785714285714286
