state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7594754805101491,0.38706825415536955,0.31914409287502843,0.38202247191011235,0.0,0.5833333333333334,0.2222222222222222,0.3333333333333333,0.2753623188405797,0.3436426116838488,0.7212449255751014,0.6716232961586122,0.41935483870967744,0.0,1.0,0.5408163265306123,0.5,0.3333333333333333,0.40384615384615385
AK,2018,0.6948674562887761,0.3997168475696083,0.3055555555555556,0.6774193548387096,0.3638709677419355,0.3181818181818182,0.05472636815920398,0.5384615384615384,0.3333333333333333,0.3728813559322034,0.6455696202531646,0.4583333333333333,0.75,0.4413793103448276,0.5555555555555556,0.11363636363636363,0.6,0.4,0.38823529411764707
AZ,2018,0.7450491330348289,0.3650351252290776,0.35311355311355314,0.37290322580645163,0.4,0.3106796116504854,0.2871205906480722,0.4307692307692308,0.36384439359267734,0.4029126213592233,0.6816152808055642,0.7289156626506024,0.44140625,0.0,0.6,0.5524752475247525,0.5,0.4007220216606498,0.46441947565543074
AR,2018,0.7589920310144304,0.34310774787170006,0.3079076277116865,0.3291139240506329,,0.2,0.233502538071066,0.22727272727272727,0.3333333333333333,0.3548387096774194,0.691251119737235,0.6968325791855203,0.5555555555555556,,0.5,0.5272727272727272,0.0,0.2777777777777778,0.36764705882352944
CA,2018,0.7281424884368691,0.35496586946101844,0.378520509524366,0.38098918083462135,0.38461538461538464,0.3844444444444444,0.27457274756183314,0.3469387755102041,0.35717106129074716,0.38679015354618573,0.6430009319664493,0.6628261606235174,0.4822888283378747,0.4,0.4791666666666667,0.48068969905198194,0.3157894736842105,0.3866305329719964,0.4285226885022177
CO,2018,0.7446495879384144,0.40987350030809383,0.355,0.3717277486910995,0.6,0.4307692307692308,0.30421377183967113,0.4444444444444444,0.36518324607329844,0.39071347678369195,0.6939812071446712,0.697560975609756,0.5365853658536586,1.0,0.25,0.546485260770975,0.36363636363636365,0.4146341463414634,0.43661971830985913
CT,2018,0.747182208743998,0.4233554056562906,0.29955099422706866,0.40540540540540543,,0.5333333333333333,0.35451505016722407,0.0,0.33477011494252873,0.36211031175059955,0.6758162031438936,0.579295154185022,0.4444444444444444,,1.0,0.6067653276955602,0.0,0.3805970149253731,0.43333333333333335
DE,2018,0.7667020148462355,0.38705234159779617,0.3006535947712418,0.25,,1.0,0.3793103448275862,,0.3333333333333333,0.2777777777777778,0.6943521594684385,0.6585365853658537,0.0,,0.0,0.7272727272727273,,0.16666666666666666,0.0
FL,2018,0.7507404599444023,0.3654737107870984,0.30506416926812346,0.41919191919191917,0.2,0.35714285714285715,0.2744964151587573,0.3783783783783784,0.37125091441111924,0.37305224564619616,0.6742474916387959,0.6610169491525424,0.47368421052631576,0.0,0.5,0.5454545454545454,0.4444444444444444,0.4321266968325792,0.44601769911504424
GA,2018,0.7579495237159972,0.39990128045062573,0.3518228952349601,0.4519230769230769,,0.5151515151515151,0.31444241316270566,0.4146341463414634,0.39183673469387753,0.40122824974411464,0.7163938036854857,0.7108072048032021,0.5652173913043478,,0.8,0.5757894736842105,0.14285714285714285,0.4551282051282051,0.45714285714285713
HI,2018,0.6816711938947096,0.3826086956521739,0.35668789808917195,0.5555555555555556,0.0,0.0,0.23103567717353654,0.37735849056603776,0.29906542056074764,0.3781710914454277,0.6277372262773723,0.7058823529411765,0.8,0.0,0.0,0.4574753804834378,0.39,0.32142857142857145,0.4300341296928328
ID,2018,0.7652752571082879,0.34560757496054706,0.4375,0.3620689655172414,0.3333333333333333,0.16666666666666666,0.2,0.3333333333333333,0.36597938144329895,0.3764705882352941,0.7020623080298376,0.8333333333333334,0.55,0.0,0.0,0.48148148148148145,0.75,0.21739130434782608,0.5
IL,2018,0.7517458517368987,0.37724903777094343,0.32329105003523606,0.38961038961038963,0.5,0.40476190476190477,0.3277136941733215,0.3333333333333333,0.3559102674719586,0.3777403035413153,0.6676867127904914,0.6450534759358288,0.34782608695652173,0.0,0.4,0.5834932821497121,0.5555555555555556,0.38366336633663367,0.4492307692307692
