state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.6993892581282558,0.5184486620299422,0.4181652629182791,0.5280898876404494,0.0,0.16666666666666666,0.434640522875817,0.6666666666666666,0.32367149758454106,0.43986254295532645,0.8188430311231394,0.7670384138785625,0.8387096774193549,0.0,0.0,0.7857142857142857,0.5,0.7142857142857143,0.8076923076923077
AK,2018,0.7521150592216582,0.5191127890514393,0.4861111111111111,0.5161290322580645,0.0,0.4318181818181818,0.29850746268656714,0.5,0.5238095238095238,0.4025423728813559,0.7809152872444012,0.8333333333333334,0.75,0.0,0.3333333333333333,0.4772727272727273,0.6,0.7,0.6352941176470588
AZ,2018,0.7283408961144334,0.47739767868051314,0.43663003663003663,0.32,0.0,0.30097087378640774,0.4864643150123052,0.5076923076923077,0.40274599542334094,0.38737864077669903,0.7877089172635732,0.7771084337349398,0.69921875,0.0,0.4,0.7504950495049505,0.6111111111111112,0.7472924187725631,0.6816479400749064
AR,2018,0.6923684399454376,0.47871700060194344,0.43177046885934217,0.5063291139240507,,0.3333333333333333,0.39593908629441626,0.5454545454545454,0.2831541218637993,0.43010752688172044,0.8026276500447895,0.8054298642533937,0.8333333333333334,,0.5,0.7636363636363637,0.5,0.7222222222222222,0.6617647058823529
CA,2018,0.745534459407661,0.4692329305984827,0.4735304429122356,0.35394126738794435,0.0,0.37555555555555553,0.4819162921520071,0.4945054945054945,0.34927389988154256,0.4256641481842554,0.7623299161230196,0.7736360555743815,0.7193460490463215,0.0,0.6875,0.7004517401539734,0.6894736842105263,0.7158988256549232,0.6639372227908563
CO,2018,0.7245575927937137,0.5305012867447171,0.44375,0.35602094240837695,0.0,0.4,0.4779033915724563,0.6111111111111112,0.443717277486911,0.45300113250283125,0.8033522390586642,0.7463414634146341,0.7560975609756098,0.0,0.5833333333333334,0.7052154195011338,0.8181818181818182,0.7804878048780488,0.7077464788732394
CT,2018,0.7536517563810968,0.539389813726097,0.36818473380372035,0.32432432432432434,,0.26666666666666666,0.5183946488294314,0.6,0.3275862068965517,0.4148681055155875,0.7898428053204353,0.6563876651982379,0.6666666666666666,,1.0,0.7695560253699789,1.0,0.7238805970149254,0.6833333333333333
DE,2018,0.7444326617179216,0.522038567493113,0.3790849673202614,0.0,,0.0,0.6206896551724138,,0.5,0.2777777777777778,0.8372093023255814,0.6341463414634146,0.0,,0.0,1.0,,0.3333333333333333,1.0
FL,2018,0.7145918625221127,0.47864672094931515,0.38224072147069027,0.45454545454545453,0.0,0.3392857142857143,0.4878798224650051,0.5,0.4359912216532553,0.422089825847846,0.7755676817461714,0.7480531378836464,0.7017543859649122,0.0,0.8333333333333334,0.7390909090909091,0.8333333333333334,0.8009049773755657,0.6849557522123894
GA,2018,0.725562211529019,0.5118898986672861,0.43889391819603324,0.3269230769230769,,0.30303030303030304,0.5109689213893968,0.4634146341463415,0.3816326530612245,0.4483111566018424,0.8145510608619044,0.7861907938625751,0.6956521739130435,,0.2,0.751578947368421,0.8571428571428571,0.7692307692307693,0.7285714285714285
