state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.765358361774744,0.26405752681834255,0.2451627589346688,0.20224719101123595,0.0,0.08333333333333333,0.21895424836601307,0.3333333333333333,0.21739130434782608,0.20618556701030927,0.5490527740189445,0.4882280049566295,0.2903225806451613,0.0,0.0,0.5102040816326531,0.5,0.23809523809523808,0.36538461538461536
AK,2018,0.6895093062605753,0.2817366682397357,0.2916666666666667,0.41935483870967744,0.27225806451612905,0.1590909090909091,0.07462686567164178,0.23076923076923078,0.14285714285714285,0.211864406779661,0.46543330087633883,0.375,0.5833333333333334,0.36551724137931035,0.2222222222222222,0.20454545454545456,0.2,0.05,0.4470588235294118
AZ,2018,0.7588724945157316,0.2593158216249236,0.28644688644688643,0.24,0.2,0.2815533980582524,0.2649712879409352,0.2153846153846154,0.2477116704805492,0.23592233009708738,0.5388767777431746,0.5481927710843374,0.33984375,0.0,0.2,0.5148514851485149,0.3333333333333333,0.33935018050541516,0.4307116104868914
AR,2018,0.7865604135257377,0.2228910482414653,0.23093072078376486,0.3291139240506329,,0.13333333333333333,0.20304568527918782,0.13636363636363635,0.2007168458781362,0.24014336917562723,0.5195580770379218,0.5520361990950227,0.6111111111111112,,0.5,0.5272727272727272,0.5,0.3333333333333333,0.4117647058823529
CA,2018,0.7194541691155802,0.2592020230401798,0.3052471660628725,0.26816074188562594,0.3076923076923077,0.24444444444444444,0.24751597419670426,0.271585557299843,0.22822796472601237,0.24872044845235194,0.49739049394221807,0.5137241613012539,0.37329700272479566,0.6,0.2916666666666667,0.42546287459438825,0.3736842105263158,0.2940379403794038,0.4322756738314568
CO,2018,0.7426371941480866,0.3057015477182935,0.2875,0.2513089005235602,0.2,0.3076923076923077,0.2620760534429599,0.25,0.25392670157068065,0.2536806342015855,0.5635317023618048,0.5609756097560976,0.3170731707317073,0.0,0.25,0.46258503401360546,0.18181818181818182,0.2804878048780488,0.44014084507042256
CT,2018,0.7141268637856962,0.31134352373290425,0.26363053239255935,0.24324324324324326,,0.2,0.3255295429208473,0.6,0.21695402298850575,0.2422062350119904,0.524546553808948,0.4647577092511013,0.6666666666666666,,0.0,0.5433403805496829,0.5,0.23880597014925373,0.49166666666666664
DE,2018,0.7366857627837895,0.2671100027708507,0.2724867724867725,0.15,,0.0,0.30357142857142855,0.3333333333333333,0.3150684931506849,0.26582278481012656,0.5137123745819397,0.48672566371681414,0.0,,0.0,0.5316455696202531,0.0,0.23529411764705882,0.6
FL,2018,0.7608794541319182,0.25921738584259785,0.2503407542026352,0.358974358974359,,0.3333333333333333,0.25432525951557095,0.42857142857142855,0.24500907441016334,0.24946695095948826,0.5364261774563415,0.512249443207127,0.4166666666666667,,0.0,0.5045045045045045,0.5,0.2857142857142857,0.4274193548387097
GA,2018,0.7595207699106353,0.2926163584100345,0.2840095465393795,0.23076923076923078,,0.24242424242424243,0.28153564899451555,0.2682926829268293,0.23877551020408164,0.2691914022517912,0.5753615740400851,0.5630420280186791,0.30434782608695654,,0.2,0.511578947368421,0.42857142857142855,0.38461538461538464,0.5714285714285714
HI,2018,0.6955115767688527,0.29178743961352654,0.2802547770700637,0.3888888888888889,0.0,0.0,0.16279875303082786,0.23522012578616353,0.2523364485981308,0.2430678466076696,0.49530761209593327,0.5294117647058824,0.4,0.0,0.0,0.3294538943598926,0.34,0.35714285714285715,0.378839590443686
ID,2018,0.7834240774349668,0.24013677012098894,0.2708333333333333,0.2413793103448276,0.0,0.2222222222222222,0.19,0.16666666666666666,0.23711340206185566,0.23529411764705882,0.5458534444931987,0.8333333333333334,0.2,0.0,0.0,0.6296296296296297,0.5,0.30434782608695654,0.3076923076923077
IL,2018,0.7421063626596633,0.2713578018821016,0.2697322057787174,0.23376623376623376,0.5,0.19047619047619047,0.2939958592132505,0.3939393939393939,0.2528041415012942,0.2327150084317032,0.5226627638814972,0.4899732620320856,0.34782608695652173,0.0,0.0,0.5239923224568138,0.7777777777777778,0.3118811881188119,0.4553846153846154
IN,2018,0.7733710239278168,0.22858980543495738,0.2534872534872535,0.38181818181818183,0.0,0.3125,0.24127465857359637,0.125,0.2825278810408922,0.23090586145648312,0.5092899467711158,0.5040431266846361,0.4444444444444444,0.0,0.6666666666666666,0.5560538116591929,0.5,0.2736842105263158,0.4881889763779528
IA,2018,0.7708086785009862,0.22993091948546926,0.23310810810810811,0.1702127659574468,,0.23076923076923078,0.15441176470588236,0.2,0.2185430463576159,0.1951219512195122,0.5002828587591929,0.4,0.3333333333333333,,1.0,0.49230769230769234,0.5,0.058823529411764705,0.5714285714285714
KS,2018,0.7723160625039539,0.2622482502499643,0.2597402597402597,0.2781954887218045,0.25,0.3333333333333333,0.24057971014492754,0.375,0.23161764705882354,0.2,0.558648111332008,0.592,0.3,0.0,0.6666666666666666,0.464,0.4,0.25806451612903225,0.44565217391304346
KY,2018,0.7763791693174589,0.23691362995772094,0.2608695652173913,0.18181818181818182,0.0,0.1111111111111111,0.2389937106918239,0.26666666666666666,0.18497109826589594,0.22756410256410256,0.519788095980056,0.5847457627118644,0.25,0.0,0.0,0.5700934579439252,0.3333333333333333,0.16666666666666666,0.5967741935483871
MA,2018,0.7222166824550033,0.2986910677493637,0.2581641659311562,0.27906976744186046,0.0,0.3333333333333333,0.2819756726870623,0.29411764705882354,0.2329246935201401,0.24004424778761063,0.5239355156288457,0.46248085758039814,0.3,0.0,1.0,0.4832572298325723,0.5714285714285714,0.33858267716535434,0.4602076124567474
ME,2018,0.7782062267923451,0.23088478293525613,0.18666666666666668,0.175,,0.5,0.18421052631578946,0.0,0.13333333333333333,0.23484848484848486,0.5128329297820823,0.625,0.0,,1.0,0.5652173913043478,0.0,0.0,0.5789473684210527
