state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7738009700017963,0.29623953789932805,0.267470976553608,0.2696629213483146,0.0,0.08333333333333333,0.20915032679738563,1.0,0.25120772946859904,0.3024054982817869,0.6087618403247632,0.5650557620817844,0.3225806451612903,0.0,0.0,0.5612244897959183,1.0,0.2857142857142857,0.6153846153846154
AK,2018,0.6906373378454597,0.3062765455403492,0.3055555555555556,0.25806451612903225,0.26838709677419353,0.2727272727272727,0.06467661691542288,0.15384615384615385,0.2857142857142857,0.288135593220339,0.5034079844206426,0.5416666666666666,0.4166666666666667,0.2896551724137931,0.1111111111111111,0.20454545454545456,0.0,0.4,0.47058823529411764
AZ,2018,0.7626588935300658,0.2943265119120342,0.326007326007326,0.31870967741935485,0.2,0.24271844660194175,0.2895816242821985,0.3076923076923077,0.33352402745995424,0.2737864077669903,0.5992940932212187,0.6506024096385542,0.43359375,0.0,0.2,0.5603960396039604,0.5,0.4332129963898917,0.5355805243445693
AR,2018,0.7869193768396869,0.2529882191074039,0.2547235829251225,0.31645569620253167,,0.4,0.22842639593908629,0.3181818181818182,0.3010752688172043,0.2724014336917563,0.5804717826216781,0.6153846153846154,0.3333333333333333,,1.0,0.5636363636363636,1.0,0.2777777777777778,0.45588235294117646
CA,2018,0.7325684205146552,0.29593573872369966,0.3290872969498656,0.31993817619783615,0.3076923076923077,0.2577777777777778,0.27497019169036047,0.2967032967032967,0.3227745360417672,0.30806726785279065,0.5629077353215284,0.5713317519484921,0.4604904632152589,0.4,0.3125,0.4840618438633327,0.4105263157894737,0.4101174345076784,0.5216649607642443
CO,2018,0.7541685299942503,0.3456450034434014,0.3275,0.3507853403141361,0.8,0.24615384615384617,0.302158273381295,0.2777777777777778,0.32591623036649214,0.3057757644394111,0.623804283416575,0.6487804878048781,0.5121951219512195,1.0,0.4166666666666667,0.5487528344671202,0.36363636363636365,0.39634146341463417,0.5352112676056338
CT,2018,0.7386909274703057,0.3552818862553376,0.2854393842206543,0.3783783783783784,,0.2,0.36231884057971014,0.4,0.32471264367816094,0.26618705035971224,0.5949214026602176,0.5198237885462555,0.3333333333333333,,0.0,0.6321353065539113,0.0,0.4552238805970149,0.5083333333333333
DE,2018,0.7564184171440695,0.30174563591022446,0.28835978835978837,0.3,,0.4,0.4226190476190476,0.3333333333333333,0.3287671232876712,0.34177215189873417,0.579933110367893,0.5265486725663717,0.3333333333333333,,0.0,0.759493670886076,0.5,0.47058823529411764,0.5333333333333333
FL,2018,0.767015415718979,0.3030360411538219,0.2700312174817898,0.35858585858585856,0.4,0.2857142857142857,0.26630249231819736,0.1891891891891892,0.35552304316020483,0.2887259395050413,0.6078507305051928,0.5716903344021989,0.42105263157894735,0.0,0.3333333333333333,0.5427272727272727,0.2777777777777778,0.504524886877828,0.5327433628318584
GA,2018,0.7659825198860847,0.3297202285044676,0.3066018631024706,0.45454545454545453,,0.1,0.3291139240506329,0.3333333333333333,0.3010752688172043,0.3279569892473118,0.6337509211495947,0.6213114754098361,0.5,,0.0,0.6345177664974619,0.0,0.21875,0.5483870967741935
