state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.797332495060176,0.3217611693976188,0.21716366947416343,0.29213483146067415,0.0,0.08333333333333333,0.27124183006535946,0.6666666666666666,0.1497584541062802,0.23024054982817868,0.6588294993234101,0.6133828996282528,0.5806451612903226,0.0,0.0,0.6428571428571429,1.0,0.6190476190476191,0.5961538461538461
AK,2018,0.7399887196841511,0.32798489853704577,0.2777777777777778,0.22580645161290322,0.0,0.13636363636363635,0.0845771144278607,0.07692307692307693,0.19047619047619047,0.19491525423728814,0.5394352482960078,0.4583333333333333,0.3333333333333333,0.0,0.3333333333333333,0.20454545454545456,0.2,0.35,0.4235294117647059
AZ,2018,0.7958349610842324,0.31811240073304825,0.2886446886446886,0.12580645161290321,0.0,0.17475728155339806,0.32977850697292865,0.15384615384615385,0.19107551487414187,0.24951456310679612,0.6478770891726358,0.7228915662650602,0.37109375,0.0,0.5,0.6297029702970297,0.3888888888888889,0.5703971119133574,0.599250936329588
AR,2018,0.8042932012348338,0.27526012554819845,0.2099370188943317,0.24050632911392406,,0.2,0.25888324873096447,0.18181818181818182,0.12544802867383512,0.2867383512544803,0.6276500447894894,0.669683257918552,0.6666666666666666,,0.5,0.5818181818181818,1.0,0.6666666666666666,0.6029411764705882
CA,2018,0.7743234610175556,0.318703204799762,0.2923921935257684,0.18547140649149924,0.0,0.16666666666666666,0.31419486991347945,0.18995290423861852,0.15873294432501206,0.28759444309042165,0.6037837837837838,0.6062351745171128,0.4550408719346049,0.0,0.4375,0.5474327161672075,0.3684210526315789,0.49299909665763325,0.5868304332992152
CO,2018,0.7773589727208842,0.37054623219399035,0.28875,0.18848167539267016,0.0,0.2,0.32682425488180883,0.3055555555555556,0.24214659685863874,0.29784824462061155,0.6712096842461694,0.6829268292682927,0.43902439024390244,0.0,0.3333333333333333,0.5873015873015873,0.6363636363636364,0.573170731707317,0.6690140845070423
CT,2018,0.7684609552691433,0.380407203416053,0.21039127645926875,0.21621621621621623,,0.2,0.4136008918617614,0.2,0.17672413793103448,0.26139088729016785,0.6367593712212818,0.5242290748898678,0.7777777777777778,,0.0,0.7019027484143763,0.5,0.5373134328358209,0.5833333333333334
DE,2018,0.7806068321663484,0.3233582709891937,0.25396825396825395,0.15,,0.2,0.44642857142857145,0.6666666666666666,0.1643835616438356,0.1518987341772152,0.6140468227424749,0.5973451327433629,0.6666666666666666,,1.0,0.7848101265822784,1.0,0.35294117647058826,0.5333333333333333
FL,2018,0.788071771544099,0.3245092469860506,0.2206035379812695,0.23737373737373738,0.0,0.125,0.3069306930693069,0.22972972972972974,0.27688368690563275,0.28780934922089824,0.648759021299067,0.630325240494732,0.45614035087719296,0.0,0.8333333333333334,0.6236363636363637,0.6666666666666666,0.7058823529411765,0.6424778761061947
GA,2018,0.7989786899734852,0.35095942580928663,0.2709599027946537,0.22727272727272727,,0.1,0.34177215189873417,0.1111111111111111,0.1774193548387097,0.3548387096774194,0.6842299189388357,0.6704918032786885,0.5,,0.0,0.649746192893401,1.0,0.5,0.6612903225806451
