state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7485180528112089,0.4213721560768596,0.3209651718643296,0.3707865168539326,0.0,0.3333333333333333,0.4084967320261438,1.0,0.4106280193236715,0.38144329896907214,0.7461096075778079,0.7026022304832714,0.41935483870967744,0.0,0.0,0.8061224489795918,1.0,0.2857142857142857,0.8461538461538461
AK,2018,0.7179921037789058,0.4185936762623879,0.3888888888888889,0.3870967741935484,0.2903225806451613,0.13636363636363635,0.19402985074626866,0.23076923076923078,0.5,0.326271186440678,0.6572541382667965,0.5,0.5,0.4068965517241379,0.3333333333333333,0.4090909090909091,0.2,0.5,0.611764705882353
AZ,2018,0.7482345163326021,0.40176389737324375,0.37948717948717947,0.3464516129032258,0.6,0.20388349514563106,0.4749794913863823,0.36923076923076925,0.3890160183066362,0.36019417475728155,0.7236582580712135,0.7680722891566265,0.40625,1.0,0.7,0.8138613861386138,0.7777777777777778,0.44765342960288806,0.7528089887640449
AR,2018,0.7478641682820015,0.3831799810817783,0.31490552834149754,0.31645569620253167,,0.13333333333333333,0.38071065989847713,0.36363636363636365,0.4014336917562724,0.3978494623655914,0.731263063601075,0.7420814479638009,0.4444444444444444,,1.0,0.8,1.0,0.3888888888888889,0.7941176470588235
CA,2018,0.7456162318248026,0.38622051799084345,0.37910482645787075,0.3732612055641422,0.38461538461538464,0.18222222222222223,0.4577639181876548,0.3924646781789639,0.3901636467336463,0.3736290519132342,0.6748182665424045,0.6865469332429684,0.46321525885558584,0.6,0.46875,0.7297194121015461,0.6842105263157895,0.45212285456187895,0.7154554759467758
CO,2018,0.7497604293106753,0.44506868679546197,0.4,0.33507853403141363,0.6,0.26153846153846155,0.47173689619732784,0.3611111111111111,0.4005235602094241,0.4043035107587769,0.7318208753068653,0.7853658536585366,0.3902439024390244,1.0,0.4166666666666667,0.780045351473923,0.7272727272727273,0.45121951219512196,0.7887323943661971
CT,2018,0.7591609805408137,0.46778884831982176,0.3425272610647851,0.35135135135135137,,0.26666666666666666,0.5373467112597548,0.6,0.3735632183908046,0.35731414868105515,0.7252720677146312,0.6365638766519823,0.3333333333333333,,0.0,0.8562367864693446,1.0,0.47761194029850745,0.75
DE,2018,0.7528113727986421,0.429481850928235,0.37433862433862436,0.35,,0.0,0.5238095238095238,0.3333333333333333,0.4657534246575342,0.3291139240506329,0.7230769230769231,0.6991150442477876,0.3333333333333333,,0.0,0.8734177215189873,0.5,0.47058823529411764,0.8666666666666667
FL,2018,0.7408946171341926,0.4233415388499653,0.3484217828650711,0.3686868686868687,0.6,0.10714285714285714,0.45066575623079547,0.32432432432432434,0.40087783467446964,0.37992667277726855,0.7337440591445168,0.755382501145213,0.49122807017543857,0.0,0.5,0.7845454545454545,0.6666666666666666,0.47285067873303166,0.7398230088495575
GA,2018,0.7519002258666405,0.4495804419151593,0.3882807999341618,0.4230769230769231,,0.21212121212121213,0.49314442413162707,0.43902439024390244,0.40714285714285714,0.4032753326509724,0.7632332427868732,0.757505003335557,0.6521739130434783,,0.4,0.8210526315789474,0.8571428571428571,0.47435897435897434,0.8285714285714286
