state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7683671636428956,0.4752446068607804,0.29387662189847485,0.449438202247191,0.0,0.16666666666666666,0.3366013071895425,0.6666666666666666,0.12560386473429952,0.27835051546391754,0.8369418132611637,0.7174721189591078,0.8387096774193549,0.0,0.0,0.8163265306122449,1.0,0.6190476190476191,0.75
AK,2018,0.7712915961646926,0.4530438886267107,0.2916666666666667,0.3870967741935484,0.16774193548387098,0.18181818181818182,0.13432835820895522,0.11538461538461539,0.23809523809523808,0.25,0.7098344693281402,0.5416666666666666,0.8333333333333334,0.46206896551724136,0.3333333333333333,0.4318181818181818,0.2,0.45,0.5176470588235295
AZ,2018,0.7872404363374103,0.4341783750763592,0.3355311355311355,0.25870967741935486,0.4,0.18446601941747573,0.40935192780968005,0.3076923076923077,0.17334096109839817,0.26601941747572816,0.7922765493615697,0.7771084337349398,0.64453125,0.5,0.3,0.7584158415841584,0.7777777777777778,0.516245487364621,0.6928838951310862
AR,2018,0.759709957642329,0.42995958379912286,0.29461161651504547,0.4050632911392405,,0.3333333333333333,0.3096446700507614,0.13636363636363635,0.0931899641577061,0.33691756272401435,0.8148701104807405,0.7601809954751131,0.7777777777777778,,1.0,0.7272727272727273,1.0,0.3888888888888889,0.7647058823529411
CA,2018,0.8022231875910357,0.4242434259458209,0.3330606520976978,0.2921174652241113,0.38461538461538464,0.19555555555555557,0.39661866764499065,0.20408163265306123,0.1246435309086123,0.2914940287594443,0.7538863000931967,0.6675703151474076,0.6839237057220708,0.8,0.5729166666666666,0.6863905325443787,0.46842105263157896,0.41192411924119243,0.6441487546912317
CO,2018,0.7802338209927809,0.4856283301315742,0.3475,0.2774869109947644,0.6,0.27692307692307694,0.4182939362795478,0.3333333333333333,0.1950261780104712,0.31257078142695355,0.8064843816134767,0.7707317073170732,0.7073170731707317,1.0,0.6666666666666666,0.7437641723356009,0.6363636363636364,0.47560975609756095,0.7288732394366197
CT,2018,0.7995451099317665,0.5078284547311096,0.27068633739576653,0.2702702702702703,,0.2,0.4793756967670011,0.4,0.13649425287356323,0.2853717026378897,0.7960096735187424,0.5881057268722467,0.7777777777777778,,0.0,0.813953488372093,1.0,0.4626865671641791,0.7166666666666667
DE,2018,0.7823042647994908,0.457744527569964,0.3253968253968254,0.25,,0.2,0.5059523809523809,0.3333333333333333,0.1506849315068493,0.21518987341772153,0.7852842809364549,0.668141592920354,1.0,,1.0,0.8607594936708861,0.5,0.35294117647058826,0.7333333333333333
FL,2018,0.7751023502653526,0.4476424919522818,0.2791363163371488,0.398989898989899,0.4,0.125,0.397405257767156,0.21621621621621623,0.20190197512801755,0.2983501374885426,0.7995071290265798,0.717819514429684,0.6842105263157895,0.0,0.6666666666666666,0.7672727272727272,0.7222222222222222,0.5995475113122172,0.7026548672566372
GA,2018,0.7837965236177944,0.4848871983972591,0.3338819850218089,0.38461538461538464,,0.2727272727272727,0.44012797074954296,0.34146341463414637,0.1663265306122449,0.30808597748208805,0.8332721532927098,0.7414943295530354,0.8695652173913043,,0.6,0.783157894736842,0.8571428571428571,0.532051282051282,0.75
HI,2018,0.7795733678086619,0.4549763033175355,0.3333333333333333,0.0,0.0,,0.36619718309859156,0.1912568306010929,0.2962962962962963,0.31511254019292606,0.7326732673267327,1.0,0.0,0.0,,0.6419753086419753,0.5348837209302325,0.7777777777777778,0.6804123711340206
ID,2018,0.7698729582577133,0.4245134139926355,0.25,0.28448275862068967,0.0,0.16666666666666666,0.3,0.16666666666666666,0.1134020618556701,0.21176470588235294,0.8135146994295743,0.8333333333333334,0.8,0.0,1.0,0.8148148148148148,0.5,0.34782608695652173,0.6538461538461539
IL,2018,0.7888265488838486,0.46124380766468387,0.29792107117688515,0.23376623376623376,0.0,0.21428571428571427,0.4590357882283348,0.2727272727272727,0.12208800690250216,0.2925801011804384,0.7934628348412276,0.6824866310160428,0.43478260869565216,0.0,0.8,0.7978246960972489,0.6666666666666666,0.4084158415841584,0.7507692307692307
IN,2018,0.7755981954200217,0.4304228975719569,0.28619528619528617,0.2909090909090909,0.0,0.3125,0.36570561456752654,0.25,0.14312267657992564,0.2877442273534636,0.8171135884302501,0.6954177897574124,1.0,0.0,0.6666666666666666,0.8116591928251121,0.5,0.3894736842105263,0.6456692913385826
IA,2018,0.765229642152719,0.4340161981896141,0.19256756756756757,0.3191489361702128,,0.15384615384615385,0.2647058823529412,0.2,0.1390728476821192,0.23170731707317074,0.8065246087120498,0.5666666666666667,1.0,,1.0,0.7846153846153846,1.0,0.5882352941176471,0.8928571428571429
KS,2018,0.7648510153729361,0.4624339380088559,0.2727272727272727,0.3308270676691729,0.0,0.2222222222222222,0.391304347826087,0.25,0.125,0.28536585365853656,0.8369781312127237,0.744,0.8333333333333334,0.0,0.3333333333333333,0.736,0.4,0.5161290322580645,0.8913043478260869
KY,2018,0.7740161774061619,0.43502113952083754,0.28726708074534163,0.3181818181818182,1.0,0.1111111111111111,0.36792452830188677,0.13333333333333333,0.12716763005780346,0.23076923076923078,0.8144281707697102,0.7754237288135594,0.75,0.0,0.0,0.7850467289719626,0.3333333333333333,0.4166666666666667,0.7903225806451613
