state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7526046344530267,0.38229399976423434,0.34441156385158206,0.38202247191011235,0.0,0.3333333333333333,0.3562091503267974,0.6666666666666666,0.2753623188405797,0.3161512027491409,0.7192151556156969,0.5824039653035935,0.6129032258064516,0.0,1.0,0.7244897959183674,1.0,0.42857142857142855,0.6153846153846154
AK,2018,0.7157360406091371,0.31760264275601696,0.3472222222222222,0.41935483870967744,0.20387096774193547,0.13636363636363635,0.1890547263681592,0.0,0.2857142857142857,0.2627118644067797,0.5462512171372931,0.4583333333333333,0.5,0.25517241379310346,0.1111111111111111,0.4090909090909091,0.0,0.35,0.4
AZ,2018,0.7712233674910599,0.2996716554673183,0.33186813186813185,0.21741935483870967,0.2,0.27184466019417475,0.3970467596390484,0.12307692307692308,0.2574370709382151,0.2941747572815534,0.6135160386172532,0.5512048192771084,0.375,0.5,0.6,0.6673267326732674,0.2777777777777778,0.4368231046931408,0.5280898876404494
AR,2018,0.7818220977816067,0.27035858629288845,0.3009097270818754,0.26582278481012656,,0.4,0.34517766497461927,0.18181818181818182,0.24731182795698925,0.2867383512544803,0.6118244252015527,0.5475113122171946,0.6666666666666666,,1.0,0.6727272727272727,1.0,0.1111111111111111,0.4852941176470588
CA,2018,0.7371119004420821,0.29307637637803086,0.3335281056445016,0.26661514683153015,0.23076923076923078,0.2577777777777778,0.3734751903145923,0.15698587127158556,0.25959724476813056,0.3007555447233731,0.5641006523765144,0.49406980684513724,0.46866485013623976,0.4,0.2916666666666667,0.5805179105427244,0.33157894736842103,0.3771454381210479,0.48072330262708973
CO,2018,0.7656998658404139,0.34749356627641453,0.32125,0.20418848167539266,0.2,0.2923076923076923,0.3874614594039055,0.25,0.3023560209424084,0.31370328425821065,0.6410733937187844,0.5756097560975609,0.3170731707317073,1.0,0.16666666666666666,0.6326530612244898,0.6363636363636364,0.45121951219512196,0.528169014084507
CT,2018,0.7400050543340915,0.35002165975617305,0.29890955740859526,0.2702702702702703,,0.06666666666666667,0.4682274247491639,0.2,0.2859195402298851,0.2829736211031175,0.5967351874244257,0.44273127753303965,0.5555555555555556,,0.0,0.7441860465116279,0.5,0.3283582089552239,0.475
DE,2018,0.7574793125397836,0.29814353006372957,0.34523809523809523,0.2,,0.2,0.5416666666666666,0.3333333333333333,0.2465753424657534,0.24050632911392406,0.5872909698996656,0.5353982300884956,0.3333333333333333,,1.0,0.8354430379746836,0.5,0.47058823529411764,0.4666666666666667
FL,2018,0.7674096537781148,0.2891624061099539,0.28841484564689557,0.31313131313131315,0.0,0.23214285714285715,0.3806759986343462,0.16216216216216217,0.2692026335040234,0.2937671860678277,0.5988030276359796,0.4878607420980302,0.42105263157894735,0.0,0.6666666666666666,0.6609090909090909,0.5,0.40497737556561086,0.4814159292035398
GA,2018,0.7644112736914466,0.33762085886007953,0.3281211422928154,0.2403846153846154,,0.21212121212121213,0.4259597806215722,0.21951219512195122,0.26632653061224487,0.2937563971340839,0.6616254313192864,0.5560373582388258,0.43478260869565216,,0.5,0.7073684210526315,0.7142857142857143,0.4230769230769231,0.5571428571428572
ID,2018,0.79491833030853,0.27380326144134665,0.22916666666666666,0.27586206896551724,0.6666666666666666,0.2777777777777778,0.18,0.08333333333333333,0.22164948453608246,0.21764705882352942,0.621763931548925,0.5,0.5,0.0,0.0,0.37037037037037035,0.25,0.4782608695652174,0.34615384615384615
IL,2018,0.7599976125104453,0.30739765381853007,0.3049682875264271,0.24675324675324675,0.0,0.23809523809523808,0.42295178941141676,0.18181818181818182,0.25668679896462465,0.30185497470489037,0.5969043817633493,0.464572192513369,0.4782608695652174,0.0,0.2,0.6865003198976327,0.5555555555555556,0.3910891089108911,0.5015384615384615
IN,2018,0.7886471360858889,0.2576620035375462,0.28619528619528617,0.23636363636363636,0.0,0.375,0.36722306525037934,0.125,0.23234200743494424,0.27353463587921845,0.5856181580797429,0.48247978436657685,0.5555555555555556,0.0,0.6666666666666666,0.7219730941704036,0.5,0.30526315789473685,0.4645669291338583
IA,2018,0.7934629473091012,0.26531826293872696,0.25,0.16666666666666666,,0.0,0.2909090909090909,0.0,0.32,0.4444444444444444,0.5996222851746931,0.2222222222222222,0.5,,0.0,0.5714285714285714,0.0,0.75,0.8
KS,2018,0.7837034225343202,0.2953149550064276,0.33116883116883117,0.3233082706766917,0.0,0.1111111111111111,0.4028985507246377,0.25,0.2536764705882353,0.28780487804878047,0.6341948310139165,0.56,0.6666666666666666,0.0,0.3333333333333333,0.68,0.4,0.41935483870967744,0.5869565217391305
KY,2018,0.7879669181132418,0.27355546607610226,0.31288819875776397,0.22727272727272727,1.0,0.2222222222222222,0.36792452830188677,0.06666666666666667,0.2658959537572254,0.28205128205128205,0.6050171392957308,0.5720338983050848,0.5,0.0,0.0,0.7289719626168224,0.0,0.4166666666666667,0.5483870967741935
ME,2018,0.7840616966580977,0.25852486104852035,0.24,0.2,,0.3333333333333333,0.34210526315789475,0.0,0.4666666666666667,0.23484848484848486,0.5699757869249394,0.625,0.6666666666666666,,1.0,0.5217391304347826,0.0,0.5,0.6842105263157895
