state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7610023351895097,0.3980902982435459,0.3865240154791714,0.34831460674157305,0.0,0.25,0.28104575163398693,0.6666666666666666,0.13043478260869565,0.23711340206185566,0.7418809201623816,0.7856257744733581,0.5161290322580645,0.0,0.0,0.6326530612244898,1.0,0.5238095238095238,0.4807692307692308
AK,2018,0.745346869712352,0.32090608777725343,0.3472222222222222,0.1935483870967742,0.0,0.09090909090909091,0.1691542288557214,0.15384615384615385,0.30952380952380953,0.1864406779661017,0.5481986368062317,0.625,0.3333333333333333,0.0,0.2222222222222222,0.3409090909090909,0.0,0.5,0.35294117647058826
AZ,2018,0.7835441896805602,0.2979535736102627,0.3230769230769231,0.1735483870967742,0.0,0.20388349514563106,0.3388022969647252,0.3230769230769231,0.17677345537757438,0.21650485436893205,0.6148655662825704,0.713855421686747,0.33984375,0.0,0.1,0.5762376237623762,0.3888888888888889,0.4657039711191336,0.46441947565543074
AR,2018,0.801565080048819,0.2591796371141113,0.27711686494051785,0.22784810126582278,,0.2,0.25888324873096447,0.09090909090909091,0.12544802867383512,0.2222222222222222,0.6064496864735742,0.7420814479638009,0.3333333333333333,,0.5,0.5454545454545454,0.5,0.3333333333333333,0.5294117647058824
CA,2018,0.7565532926174839,0.2891426871394807,0.32850298001636086,0.19706336939721794,0.0,0.14444444444444443,0.33440337521783,0.18524332810047095,0.14833501513622604,0.21679259078722884,0.5616961789375583,0.6333446289393426,0.3923705722070845,0.0,0.25,0.5285359801488834,0.3157894736842105,0.38911472448057816,0.4285226885022177
CO,2018,0.773142528588769,0.3438689332705064,0.3275,0.20418848167539266,0.0,0.24615384615384617,0.3494347379239466,0.027777777777777776,0.18717277486910994,0.23782559456398641,0.638364513671379,0.697560975609756,0.5121951219512195,0.0,0.16666666666666666,0.5804988662131519,0.09090909090909091,0.45121951219512196,0.5140845070422535
CT,2018,0.7574425069497094,0.34822699424469333,0.23284156510583706,0.1891891891891892,,0.0,0.391304347826087,0.2,0.1235632183908046,0.2182254196642686,0.5991535671100363,0.5220264317180616,0.5555555555555556,,0.0,0.6257928118393234,0.5,0.3208955223880597,0.48333333333333334
DE,2018,0.7687248037343518,0.2986977001939595,0.32275132275132273,0.25,,0.2,0.39880952380952384,0.0,0.1506849315068493,0.17721518987341772,0.5866220735785953,0.6371681415929203,0.3333333333333333,,1.0,0.6075949367088608,0.0,0.29411764705882354,0.5333333333333333
FL,2018,0.7852413444528683,0.2826989837783248,0.24765868886576484,0.18181818181818182,0.0,0.08928571428571429,0.3397063844315466,0.28378378378378377,0.17446964155084127,0.21219065077910174,0.5948952649181483,0.6294090700870362,0.2631578947368421,0.0,0.5,0.58,0.4444444444444444,0.4592760180995475,0.4424778761061947
GA,2018,0.78825493469508,0.338114456606951,0.32178421529092255,0.3173076923076923,,0.18181818181818182,0.36517367458866545,0.1951219512195122,0.17653061224489797,0.2292732855680655,0.6666911386829161,0.7154769846564376,0.6086956521739131,,0.1,0.5957894736842105,0.42857142857142855,0.5064102564102564,0.5071428571428571
HI,2018,0.7265554262061829,0.3536231884057971,0.3503184713375796,0.16666666666666666,0.0,0.0,0.2753723588500173,0.1861635220125786,0.18691588785046728,0.23480825958702065,0.6068821689259646,0.6862745098039216,0.6,0.0,0.0,0.4807520143240824,0.305,0.5357142857142857,0.44197952218430037
ID,2018,0.8048396854204477,0.27209363492898475,0.3333333333333333,0.1724137931034483,0.0,0.1111111111111111,0.23,0.16666666666666666,0.17010309278350516,0.17647058823529413,0.629223343571742,0.6666666666666666,0.45,0.0,0.0,0.5185185185185185,0.5,0.34782608695652173,0.5
IL,2018,0.7755909036647964,0.30542715603764203,0.2824171952078929,0.18181818181818182,0.0,0.19047619047619047,0.367938479739722,0.18181818181818182,0.14797238999137188,0.2133220910623946,0.5984566258648217,0.6336898395721925,0.30434782608695654,0.0,0.6,0.5930902111324377,0.2222222222222222,0.39851485148514854,0.4707692307692308
IN,2018,0.7995831191822284,0.2558289114005467,0.2607022607022607,0.2909090909090909,0.0,0.25,0.2852807283763278,0.25,0.15427509293680297,0.1847246891651865,0.5899367279300994,0.6307277628032345,0.6666666666666666,0.0,0.6666666666666666,0.5964125560538116,0.5,0.3368421052631579,0.3937007874015748
IA,2018,0.8007889546351085,0.2635336109458656,0.14705882352941177,0.5,,0.0,0.23636363636363636,0.0,0.16,0.07407407407407407,0.603399433427762,0.3333333333333333,0.5,,0.0,0.35714285714285715,0.0,0.5,0.4
KS,2018,0.7955968874549251,0.29252963862305387,0.275974025974026,0.22556390977443608,0.0,0.1111111111111111,0.3217391304347826,0.25,0.1323529411764706,0.1878048780487805,0.6357411089021427,0.736,0.43333333333333335,0.0,0.3333333333333333,0.576,0.4,0.41935483870967744,0.4891304347826087
KY,2018,0.7991911296919022,0.271693174954701,0.2639751552795031,0.2727272727272727,0.0,0.2222222222222222,0.29874213836477986,0.06666666666666667,0.16184971098265896,0.20192307692307693,0.6076659395450296,0.711864406779661,0.75,0.0,0.0,0.6355140186915887,0.3333333333333333,0.4166666666666667,0.532258064516129
LA,2018,0.7732617215851357,0.30168589174800353,0.26765493102738314,0.18181818181818182,0.0,0.23809523809523808,0.2923433874709977,0.16666666666666666,0.21428571428571427,0.24242424242424243,0.5856110033503791,0.6898096304591266,0.32142857142857145,0.0,0.75,0.6111111111111112,1.0,0.6,0.42990654205607476
MA,2018,0.7589868873709926,0.33550478729850924,0.22197705207413945,0.32558139534883723,0.0,0.08333333333333333,0.3483228897899005,0.35294117647058826,0.13134851138353765,0.19469026548672566,0.5950036918533104,0.5467075038284839,0.6,0.0,0.0,0.5753424657534246,0.42857142857142855,0.32677165354330706,0.39792387543252594
ME,2018,0.7907740645529848,0.2573231185218567,0.2,0.175,,0.16666666666666666,0.2894736842105263,1.0,0.4,0.14393939393939395,0.5723970944309927,0.875,0.6666666666666666,,1.0,0.7391304347826086,0.0,0.75,0.47368421052631576
MD,2018,0.7670843169299679,0.3893994952140578,0.37065189384179337,0.24528301886792453,0.0,0.08695652173913043,0.3909502262443439,0.32,0.11423390752493201,0.2786127167630058,0.6475755131307699,0.6872599231754162,0.3333333333333333,0.0,0.1111111111111111,0.5913419913419914,0.375,0.37438423645320196,0.5084745762711864
MI,2018,0.8001119820828667,0.27717830818641837,0.26846552194058326,0.19217081850533807,,0.14035087719298245,0.37618010167029775,0.2727272727272727,0.23404255319148937,0.19978046103183314,0.6123830380250846,0.6984334203655352,0.4166666666666667,,0.08333333333333333,0.6269349845201239,0.6666666666666666,0.5454545454545454,0.511520737327189
