state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7794144063229747,0.4031592596958623,0.21511495561119964,0.3258426966292135,0.0,0.16666666666666666,0.2973856209150327,0.6666666666666666,0.04830917874396135,0.21649484536082475,0.7469553450608931,0.550185873605948,0.6451612903225806,0.0,1.0,0.7346938775510204,1.0,0.3333333333333333,0.6730769230769231
AK,2018,0.7577552171460801,0.32609721566776784,0.20833333333333334,0.25806451612903225,0.07096774193548387,0.022727272727272728,0.0945273631840796,0.038461538461538464,0.14285714285714285,0.16101694915254236,0.5569620253164557,0.375,0.5,0.2206896551724138,0.0,0.29545454545454547,0.0,0.25,0.4235294117647059
AZ,2018,0.7978784145205398,0.30329871716554674,0.17362637362637362,0.11290322580645161,0.4,0.08737864077669903,0.347005742411813,0.12307692307692308,0.07780320366132723,0.18446601941747573,0.6227551126336551,0.5030120481927711,0.34375,0.5,0.2,0.6851485148514852,0.3333333333333333,0.33212996389891697,0.5543071161048689
AR,2018,0.8134108694091464,0.26468311978674003,0.13156053184044786,0.20253164556962025,,0.13333333333333333,0.2639593908629442,0.09090909090909091,0.02867383512544803,0.16487455197132617,0.6169005673335324,0.49321266968325794,0.7222222222222222,,0.5,0.7090909090909091,1.0,0.05555555555555555,0.47058823529411764
CA,2018,0.7737510540975647,0.2949109961489513,0.18265747341357952,0.1545595054095827,0.15384615384615385,0.08666666666666667,0.32076798434681586,0.10204081632653061,0.058921598736454174,0.1976602485985864,0.5709972041006524,0.41443578447983737,0.44686648501362397,0.4,0.2708333333333333,0.5725011134440415,0.2736842105263158,0.2369015356820235,0.47458205390651653
CO,2018,0.7811282182329266,0.3513719235927362,0.19125,0.14659685863874344,0.2,0.1076923076923077,0.34121274409044194,0.1388888888888889,0.09424083769633508,0.2129105322763307,0.6504698213832218,0.5414634146341464,0.36585365853658536,1.0,0.25,0.6303854875283447,0.36363636363636365,0.31097560975609756,0.5387323943661971
CT,2018,0.7649229214051049,0.3542298409555047,0.12892880051314945,0.16216216216216217,,0.0,0.42251950947603123,0.4,0.04454022988505747,0.19424460431654678,0.607496977025393,0.33480176211453744,0.6666666666666666,,0.0,0.7357293868921776,1.0,0.17164179104477612,0.525
DE,2018,0.7829408020369192,0.3036852313660294,0.17195767195767195,0.05,,0.2,0.47619047619047616,0.3333333333333333,0.0958904109589041,0.13924050632911392,0.5946488294314382,0.4469026548672566,0.0,,1.0,0.8354430379746836,0.5,0.29411764705882354,0.5333333333333333
FL,2018,0.7956937073540561,0.28801363378148076,0.12079431148109608,0.17676767676767677,0.0,0.07142857142857142,0.31751451007169684,0.13513513513513514,0.08485735186539868,0.17140238313473877,0.6031332511881711,0.40219880897847,0.38596491228070173,0.0,0.5,0.649090909090909,0.5,0.34615384615384615,0.4743362831858407
GA,2018,0.8033192575861731,0.34348596149937577,0.1812196527034812,0.19230769230769232,,0.15151515151515152,0.3829981718464351,0.1951219512195122,0.07448979591836735,0.2241555783009212,0.674693487996476,0.49933288859239494,0.5217391304347826,,0.4,0.7231578947368421,0.7142857142857143,0.3269230769230769,0.5964285714285714
