state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7657176216992995,0.305905929506071,0.2879581151832461,0.30337078651685395,0.0,0.25,0.23202614379084968,0.3333333333333333,0.3188405797101449,0.2611683848797251,0.6343031123139378,0.44981412639405205,0.3548387096774194,0.0,0.0,0.40816326530612246,0.5,0.5238095238095238,0.5192307692307693
AK,2018,0.6824591088550479,0.2878716375648891,0.3194444444444444,0.2903225806451613,0.2838709677419355,0.3409090909090909,0.15422885572139303,0.23076923076923078,0.42857142857142855,0.2754237288135593,0.4907497565725414,0.3333333333333333,0.5,0.3448275862068966,0.2222222222222222,0.1590909090909091,0.2,0.7,0.3411764705882353
AZ,2018,0.7671665114042733,0.2837889431887599,0.2923076923076923,0.2645161290322581,0.6,0.36893203883495146,0.29860541427399506,0.1076923076923077,0.2637299771167048,0.3,0.5974255164538566,0.4578313253012048,0.39453125,1.0,0.5,0.4613861386138614,0.1111111111111111,0.36823104693140796,0.5093632958801498
AR,2018,0.7867757915141073,0.2453349385157795,0.27991602519244224,0.27848101265822783,,0.2,0.3299492385786802,0.22727272727272727,0.25806451612903225,0.31899641577060933,0.5831591519856674,0.4751131221719457,0.3888888888888889,,0.0,0.5636363636363636,0.5,0.4444444444444444,0.45588235294117646
CA,2018,0.7183860169166688,0.2859444986199031,0.3096879747575085,0.2921174652241113,0.3076923076923077,0.29777777777777775,0.2833165183894341,0.260596546310832,0.24836572631948406,0.3173287838167195,0.5517054986020503,0.4395120298203999,0.4332425068119891,0.4,0.3854166666666667,0.40300311764331614,0.3631578947368421,0.3462059620596206,0.4500170590242238
CO,2018,0.7608126237781895,0.3336474681938454,0.31,0.27225130890052357,0.6,0.3076923076923077,0.2795477903391572,0.2777777777777778,0.28272251308900526,0.3261608154020385,0.6242275459239821,0.5365853658536586,0.4634146341463415,1.0,0.08333333333333333,0.41043083900226757,0.18181818181818182,0.4573170731707317,0.4788732394366197
CT,2018,0.7329289866060147,0.3543536109907791,0.3078896728672226,0.2702702702702703,,0.13333333333333333,0.36789297658862874,0.2,0.27011494252873564,0.33093525179856115,0.5983071342200725,0.44933920704845814,0.5555555555555556,,0.0,0.5454545454545454,0.5,0.3805970149253731,0.5
DE,2018,0.7441120305537874,0.2914934885009698,0.29365079365079366,0.25,,0.2,0.3273809523809524,0.0,0.2465753424657534,0.31645569620253167,0.5692307692307692,0.4336283185840708,0.0,,0.0,0.4936708860759494,0.0,0.4117647058823529,0.6666666666666666
FL,2018,0.7666515036643922,0.28610742914851983,0.27844259451959763,0.32323232323232326,0.0,0.125,0.2871287128712871,0.22972972972972974,0.2831016825164594,0.29697525206232817,0.5965499031860588,0.45625286303252405,0.47368421052631576,0.0,0.3333333333333333,0.4572727272727273,0.2777777777777778,0.4819004524886878,0.4743362831858407
GA,2018,0.7565943238731219,0.3269649545599721,0.3091926590404082,0.2980769230769231,,0.3939393939393939,0.3263254113345521,0.3170731707317073,0.24897959183673468,0.33265097236438074,0.6491447030320828,0.48865910607071383,0.5217391304347826,,0.6,0.4863157894736842,0.5714285714285714,0.4230769230769231,0.5285714285714286
