state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.8016885216454105,0.306907933514087,0.14272706578647848,0.21348314606741572,0.0,0.08333333333333333,0.2581699346405229,0.6666666666666666,0.057971014492753624,0.18213058419243985,0.6376860622462788,0.44981412639405205,0.4838709677419355,0.0,0.0,0.673469387755102,1.0,0.38095238095238093,0.5769230769230769
AK,2018,0.7391426959954879,0.2774893817838603,0.1527777777777778,0.22580645161290322,0.05161290322580645,0.0,0.06965174129353234,0.038461538461538464,0.09523809523809523,0.1228813559322034,0.4819863680623174,0.20833333333333334,0.4166666666666667,0.16551724137931034,0.0,0.25,0.0,0.2,0.3058823529411765
AZ,2018,0.7987799380953812,0.2770693341478314,0.17142857142857143,0.08451612903225807,0.2,0.05825242718446602,0.34372436423297786,0.12307692307692308,0.07036613272311212,0.17766990291262136,0.5888093013599086,0.48493975903614456,0.296875,0.0,0.2,0.695049504950495,0.3888888888888889,0.2815884476534296,0.5093632958801498
AR,2018,0.8167133318974801,0.23957348009287127,0.12176347095871239,0.16455696202531644,,0.13333333333333333,0.26903553299492383,0.09090909090909091,0.03225806451612903,0.16845878136200718,0.5795759928336817,0.4751131221719457,0.5555555555555556,,0.5,0.6909090909090909,1.0,0.2222222222222222,0.47058823529411764
CA,2018,0.7683029668055095,0.28231657934317306,0.190370456935842,0.13833075734157652,0.07692307692307693,0.08444444444444445,0.3248952887584457,0.10675039246467818,0.05212126530075023,0.1888861808432854,0.54762348555452,0.423246357167062,0.4032697547683924,0.2,0.28125,0.579181777692944,0.2789473684210526,0.2104787714543812,0.4530876833845104
CO,2018,0.7766562320321982,0.3272318677733879,0.18,0.1518324607329843,0.4,0.07692307692307693,0.34635149023638234,0.19444444444444445,0.09816753926701571,0.20045300113250283,0.6172013883010243,0.5121951219512195,0.34146341463414637,1.0,0.16666666666666666,0.6349206349206349,0.36363636363636365,0.3170731707317073,0.5035211267605634
CT,2018,0.7552691432903715,0.3498360047032613,0.13662604233483003,0.10810810810810811,,0.06666666666666667,0.431438127090301,0.2,0.05890804597701149,0.17985611510791366,0.5909310761789601,0.3590308370044053,0.3333333333333333,,0.0,0.7526427061310782,0.5,0.23134328358208955,0.475
DE,2018,0.7784850413749205,0.28706012745912995,0.1574074074074074,0.1,,0.0,0.4583333333333333,0.3333333333333333,0.0958904109589041,0.12658227848101267,0.5672240802675586,0.415929203539823,0.3333333333333333,,0.0,0.8227848101265823,0.5,0.35294117647058826,0.5333333333333333
FL,2018,0.7953904473085671,0.2824970018304614,0.1273846687478321,0.18181818181818182,0.0,0.07142857142857142,0.32331853875042676,0.17567567567567569,0.11228968544257498,0.18010999083409715,0.5941559584580179,0.42327072835547414,0.42105263157894735,0.0,0.5,0.6681818181818182,0.5555555555555556,0.41402714932126694,0.504424778761062
GA,2018,0.8019051360109988,0.32243546935338696,0.17587029874084437,0.19230769230769232,,0.15151515151515152,0.38848263254113347,0.21951219512195122,0.07244897959183673,0.2210849539406346,0.6445194919609427,0.49366244162775186,0.43478260869565216,,0.4,0.7252631578947368,0.7142857142857143,0.3141025641025641,0.6071428571428571
HI,2018,0.7552709869357134,0.3120772946859903,0.1910828025477707,0.2222222222222222,0.0,0.0,0.21995150675441635,0.08176100628930817,0.1308411214953271,0.16696165191740414,0.5464025026068822,0.49019607843137253,0.8,0.0,0.0,0.4709042076991943,0.25,0.35714285714285715,0.3873720136518771
ID,2018,0.8106473079249849,0.25326370757180156,0.1111111111111111,0.08695652173913043,,0.0,0.13333333333333333,0.0,0.0,0.15625,0.5943600867678959,0.3333333333333333,0.5,,0.0,0.6666666666666666,0.0,0.0,0.6
IL,2018,0.7741434881222394,0.28898178670742714,0.1441155743481325,0.1038961038961039,0.0,0.11904761904761904,0.3907128068618752,0.15151515151515152,0.0457290767903365,0.16526138279932545,0.5644403051268405,0.39572192513368987,0.17391304347826086,0.0,0.4,0.7172104926423545,0.5555555555555556,0.19306930693069307,0.5076923076923077
IN,2018,0.8026954485751813,0.24325454253095352,0.12217412217412217,0.2545454545454545,0.0,0.0625,0.30804248861911987,0.125,0.055762081784386616,0.15808170515097691,0.5642261725419303,0.40431266846361186,0.6666666666666666,0.0,0.3333333333333333,0.7354260089686099,0.5,0.16842105263157894,0.48031496062992124
IA,2018,0.7936320090166245,0.2429728442115293,0.08445945945945946,0.14893617021276595,,0.07692307692307693,0.21691176470588236,0.0,0.039735099337748346,0.1402439024390244,0.5498774278710165,0.3333333333333333,0.6666666666666666,,1.0,0.6461538461538462,0.0,0.17647058823529413,0.6785714285714286
KS,2018,0.8011007781362688,0.2694615054992144,0.137987012987013,0.15037593984962405,0.0,0.1111111111111111,0.34202898550724636,0.125,0.04044117647058824,0.16585365853658537,0.5988513364258891,0.504,0.5,0.0,0.3333333333333333,0.696,0.2,0.25806451612903225,0.5434782608695652
KY,2018,0.7998727619740071,0.2570465069458426,0.1234472049689441,0.22727272727272727,1.0,0.0,0.3113207547169811,0.0,0.03468208092485549,0.125,0.5777500779058897,0.4449152542372881,0.5,0.0,0.0,0.7102803738317757,0.0,0.25,0.532258064516129
ME,2018,0.7969151670951157,0.24320264383355866,0.09333333333333334,0.05,,0.0,0.21052631578947367,0.0,0.2,0.13636363636363635,0.5578692493946731,0.5,0.3333333333333333,,0.0,0.6086956521739131,0.0,0.5,0.5263157894736842
MD,2018,0.7652079171962957,0.38030382399161866,0.229580005153311,0.2641509433962264,0.5,0.043478260869565216,0.4253393665158371,0.16,0.061650045330915684,0.2589595375722543,0.6330554808640315,0.4785531370038412,0.5714285714285714,1.0,0.1111111111111111,0.7151515151515152,0.375,0.27586206896551724,0.536723163841808
MI,2018,0.8030915053591425,0.2631992421266665,0.13109839193240666,0.1601423487544484,,0.05263157894736842,0.4095860566448802,0.2727272727272727,0.11583924349881797,0.16465422612513722,0.5861039219589886,0.4425587467362924,0.5166666666666667,,0.16666666666666666,0.7430340557275542,1.0,0.4659090909090909,0.5622119815668203
MN,2018,0.7698011024789658,0.28137945685656623,0.10616438356164383,0.12267657992565056,0.0,0.05128205128205128,0.21395348837209302,0.0,0.045112781954887216,0.1391304347826087,0.5551903588058066,0.45038167938931295,0.4583333333333333,0.0,1.0,0.5871212121212122,0.0,0.1891891891891892,0.4107142857142857
MS,2018,0.8081734778982486,0.287405194208228,0.11388611388611389,0.03773584905660377,,0.0,0.2391304347826087,0.0,0.04716981132075472,0.16279069767441862,0.6088495575221239,0.41214057507987223,0.14285714285714285,,0.0,0.625,0.0,0.3125,0.3939393939393939
MO,2018,0.8029623547246084,0.25579074905566246,0.14767547857793983,0.1941747572815534,0.0,0.21428571428571427,0.38475499092558985,0.08108108108108109,0.06666666666666667,0.1488095238095238,0.5852808988764044,0.4700854700854701,0.6153846153846154,0.0,0.6666666666666666,0.7477477477477478,0.3333333333333333,0.17857142857142858,0.5148514851485149
MT,2018,0.7830862163646348,0.25623130608175476,0.07142857142857142,0.1394422310756972,,0.1,0.13333333333333333,0.0,0.047619047619047616,0.15126050420168066,0.5564409030544488,0.0,0.4791666666666667,,0.0,0.3333333333333333,0.0,0.0,0.46875
NE,2018,0.7899860917941586,0.2762957703621057,0.11278195488721804,0.03125,,0.375,0.20618556701030927,0.0,0.05357142857142857,0.11702127659574468,0.5941121202630755,0.375,0.16666666666666666,,0.4,0.5294117647058824,0.0,0.23809523809523808,0.4444444444444444
NV,2018,0.7768622948605389,0.24892618120067925,0.13056092843326886,0.0888030888030888,,0.1111111111111111,0.18521177315147164,0.09574468085106383,0.03355215171407731,0.12151067323481117,0.5057677518584979,0.4180327868852459,0.2413793103448276,,0.2222222222222222,0.41123595505617977,0.3076923076923077,0.1625,0.36774193548387096
NH,2018,0.7757971378358022,0.29732249900093244,0.08602150537634409,0.14285714285714285,0.0,0.0,0.35260115606936415,0.3333333333333333,0.14285714285714285,0.216,0.58571898650872,0.4375,1.0,0.0,0.0,0.654320987654321,0.6666666666666666,0.38461538461538464,0.65625
NJ,2018,0.7390803876017664,0.3264728582454335,0.13817787418655098,0.0625,,0.075,0.4559659090909091,0.10526315789473684,0.061196105702364396,0.2012448132780083,0.5509500082133275,0.33485938521909747,0.14814814814814814,,0.2727272727272727,0.6983559685489635,0.25,0.2266355140186916,0.45675675675675675
NM,2018,0.8172425668694754,0.27715003138731953,0.20689655172413793,0.09768211920529801,0.0,0.047619047619047616,0.3006134969325153,0.4444444444444444,0.10845588235294118,0.2488479262672811,0.6236658932714617,0.6060606060606061,0.31875,0.0,0.5,0.671875,1.0,0.3904761904761905,0.5774647887323944
NY,2018,0.7480999019617359,0.2878164664358922,0.12415214218253627,0.12550607287449392,0.0,0.06930693069306931,0.25716703691949644,0.18421052631578946,0.054252199413489736,0.173372044794691,0.5314628166712068,0.30738575982996813,0.3230769230769231,0.0,0.3333333333333333,0.5209362808842652,0.4166666666666667,0.1893744644387318,0.4097560975609756
NC,2018,0.8074212072906063,0.30798040171356744,0.1360932944606414,0.1306715063520871,0.0,0.1511627906976744,0.3996200126662445,0.2608695652173913,0.05959183673469388,0.1676470588235294,0.6373340824496102,0.4611041405269762,0.4044943820224719,0.0,0.6666666666666666,0.7717231222385862,0.8,0.32558139534883723,0.5227272727272727
ND,2018,0.7600448933782267,0.2669135802469136,0.12698412698412698,0.15757575757575756,,0.10714285714285714,0.24528301886792453,0.0,0.11538461538461539,0.1044776119402985,0.5301360985093972,0.36363636363636365,0.39473684210526316,,0.25,0.6363636363636364,0.0,0.25,0.35294117647058826
OH,2018,0.798471071054961,0.26393178833669334,0.12824956672443674,0.15384615384615385,,0.14285714285714285,0.3746177370030581,0.17647058823529413,0.097799511002445,0.13424124513618677,0.5770963899103952,0.4482051282051282,0.4,,0.6,0.7577519379844961,0.6,0.3253012048192771,0.47317073170731705
OK,2018,0.7999106993358263,0.24764044943820224,0.12538860103626942,0.1272965879265092,0.0,0.09859154929577464,0.27358490566037735,0.0,0.029850746268656716,0.15306122448979592,0.5597178302116274,0.45977011494252873,0.33815028901734107,0.0,0.2,0.6808510638297872,0.0,0.21739130434782608,0.45387453874538747
OR,2018,0.7862128746749395,0.2796493821945295,0.1607717041800643,0.1091703056768559,0.14285714285714285,0.07894736842105263,0.3228602383531961,0.10989010989010989,0.059782608695652176,0.1798298906439854,0.5790723665828443,0.43243243243243246,0.3448275862068966,0.3333333333333333,0.2,0.6501305483028721,0.23529411764705882,0.25,0.5308056872037915
PA,2018,0.7852667330327341,0.25665251647643744,0.11370038412291933,0.23728813559322035,0.3333333333333333,0.0,0.34048117154811713,0.06666666666666667,0.05994897959183673,0.1301498127340824,0.5489898086894333,0.38162544169611307,0.6,0.5,0.0,0.6831168831168831,0.2,0.21212121212121213,0.4340425531914894
RI,2018,0.7645308123249299,0.29073547338480293,0.14855072463768115,0.16666666666666666,,0.0,0.25742574257425743,0.0,0.0718954248366013,0.16312056737588654,0.5530751708428246,0.3611111111111111,0.4,,0.0,0.5972222222222222,0.0,0.23076923076923078,0.5454545454545454
SC,2018,0.8076691185337032,0.2877682287443922,0.10847189231987332,0.2112676056338028,0.0,0.17647058823529413,0.2880184331797235,0.17647058823529413,0.06818181818181818,0.1313364055299539,0.607321889715935,0.42396907216494845,0.4,0.0,0.3333333333333333,0.6071428571428571,0.5,0.4418604651162791,0.48717948717948717
SD,2018,0.7932231067564809,0.24937542584601408,0.044444444444444446,0.1048951048951049,0.0,0.08823529411764706,0.12,,0.03571428571428571,0.15384615384615385,0.558102766798419,0.0,0.3548387096774194,0.0,0.6666666666666666,0.625,,0.25,0.5
