state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7159601221483743,0.44318047860426735,0.42249032551786936,0.4606741573033708,0.0,0.5833333333333334,0.31699346405228757,0.6666666666666666,0.42028985507246375,0.4742268041237113,0.7645466847090663,0.6617100371747212,0.5161290322580645,0.0,0.0,0.6836734693877551,0.5,0.3333333333333333,0.5384615384615384
AK,2018,0.6841511562323745,0.45587541293062767,0.5,0.4838709677419355,0.4064516129032258,0.45454545454545453,0.1791044776119403,0.38461538461538464,0.3333333333333333,0.4872881355932203,0.6991236611489776,0.625,0.4166666666666667,0.46206896551724136,0.5555555555555556,0.45454545454545453,0.4,0.4,0.5764705882352941
AZ,2018,0.7239534813835382,0.4337202199144777,0.45494505494505494,0.46516129032258063,0.8,0.39805825242718446,0.40114848236259226,0.36923076923076925,0.4691075514874142,0.44271844660194176,0.7599916952143673,0.7469879518072289,0.4765625,0.5,0.8,0.6633663366336634,0.5555555555555556,0.5234657039711191,0.5056179775280899
AR,2018,0.7207265417474334,0.40613982285665146,0.4177746675997201,0.35443037974683544,,0.4666666666666667,0.3401015228426396,0.4090909090909091,0.40860215053763443,0.45878136200716846,0.7441027172290235,0.755656108597285,0.4444444444444444,,1.0,0.6909090909090909,0.5,0.6111111111111112,0.5735294117647058
CA,2018,0.7190299747016584,0.43079681999239705,0.47668575435316113,0.47449768160741884,0.6153846153846154,0.45111111111111113,0.3987281787887126,0.4599686028257457,0.4508840433466415,0.458932488423105,0.7271575023299162,0.6828193832599119,0.5640326975476839,0.8,0.46875,0.6163389959916015,0.48947368421052634,0.5067750677506775,0.5383828045035824
CO,2018,0.7372708107072127,0.4876218782848237,0.4725,0.4973821989528796,0.6,0.4461538461538462,0.3926002055498458,0.5833333333333334,0.4790575916230366,0.4733861834654587,0.7807500211631254,0.7707317073170732,0.5121951219512195,0.0,0.4166666666666667,0.63718820861678,0.6363636363636364,0.5609756097560976,0.5598591549295775
CT,2018,0.7453121051301491,0.4982981620149762,0.4227068633739577,0.5135135135135135,,0.4666666666666667,0.42920847268673357,0.8,0.4339080459770115,0.45083932853717024,0.7561064087061669,0.6585903083700441,0.7777777777777778,,1.0,0.6955602536997886,1.0,0.5,0.5166666666666667
DE,2018,0.7301082113303629,0.44195067885840955,0.4537037037037037,0.6,,0.6,0.4880952380952381,0.6666666666666666,0.410958904109589,0.3924050632911392,0.7357859531772575,0.6637168141592921,0.3333333333333333,,0.0,0.8354430379746836,0.5,0.29411764705882354,0.6
FL,2018,0.719413697245388,0.4444360285299501,0.42412417620534165,0.37373737373737376,0.2,0.5,0.37692045066575625,0.5,0.46013167520117043,0.4555453712190651,0.7569794050343249,0.6885020613834173,0.42105263157894735,0.0,0.6666666666666666,0.649090909090909,0.3888888888888889,0.5452488687782805,0.5504424778761062
GA,2018,0.7207109889030737,0.4739699776429256,0.4646531149699613,0.4230769230769231,,0.36363636363636365,0.4236745886654479,0.5121951219512195,0.43979591836734694,0.46673490276356194,0.7905440129212246,0.7228152101400934,0.6086956521739131,,0.4,0.6863157894736842,0.2857142857142857,0.5064102564102564,0.5607142857142857
ID,2018,0.7386569872958257,0.40833771699105736,0.4583333333333333,0.5172413793103449,0.0,0.3333333333333333,0.27,0.3333333333333333,0.4690721649484536,0.4176470588235294,0.7670030715225976,0.6666666666666666,0.75,0.0,0.0,0.6296296296296297,0.5,0.34782608695652173,0.46153846153846156
IL,2018,0.7397045658012533,0.45329038196042337,0.4105445116681072,0.5333333333333333,,0.42857142857142855,0.44610778443113774,0.5714285714285714,0.47478991596638653,0.41148325358851673,0.7572034844762118,0.6416382252559727,0.4,,1.0,0.7114754098360656,1.0,0.5662650602409639,0.5740740740740741
IN,2018,0.7383930101079321,0.40627110467920885,0.4290524290524291,0.45454545454545453,1.0,0.5,0.3353566009104704,0.5625,0.4646840148698885,0.4369449378330373,0.746409561112785,0.6900269541778976,0.3333333333333333,0.0,0.6666666666666666,0.6636771300448431,0.0,0.5052631578947369,0.5196850393700787
IA,2018,0.7358129050436742,0.4131729394949976,0.34459459459459457,0.46808510638297873,,0.46153846153846156,0.2610294117647059,0.3,0.5165562913907285,0.4817073170731707,0.7435413916650953,0.5333333333333333,0.3333333333333333,,1.0,0.6615384615384615,0.0,0.5882352941176471,0.6071428571428571
KS,2018,0.7220851521477827,0.44315097843165263,0.43993506493506496,0.44360902255639095,0.5,0.1111111111111111,0.3536231884057971,0.5625,0.47058823529411764,0.43902439024390244,0.775568809366026,0.76,0.4,0.0,0.3333333333333333,0.576,0.6,0.6774193548387096,0.5
KY,2018,0.7360719803689902,0.4143346084155426,0.4138198757763975,0.6818181818181818,0.0,0.5555555555555556,0.36163522012578614,0.5333333333333333,0.42196531791907516,0.483974358974359,0.7466500467435339,0.7330508474576272,0.75,0.0,0.0,0.6635514018691588,0.6666666666666666,0.5833333333333334,0.5645161290322581
LA,2018,0.7018919049692747,0.4552590266875981,0.4218653489808524,0.35353535353535354,0.0,0.42857142857142855,0.3225058004640371,0.6666666666666666,0.4579831932773109,0.4490358126721763,0.7356727208605184,0.6786114221724524,0.25,0.0,0.75,0.6190476190476191,1.0,0.55,0.514018691588785
ME,2018,0.7367894887175093,0.40468679585398826,0.4533333333333333,0.625,,0.8333333333333334,0.3026315789473684,1.0,0.6666666666666666,0.3333333333333333,0.7360774818401937,1.0,0.6666666666666666,,1.0,0.6956521739130435,0.0,0.5,0.47368421052631576
MD,2018,0.7374250953332123,0.5279775227391781,0.5036073177016233,0.5849056603773585,0.0,0.4782608695652174,0.4683257918552036,0.72,0.44242973708068906,0.4820809248554913,0.7869498969256968,0.7263124199743918,0.47619047619047616,0.0,0.4444444444444444,0.6848484848484848,0.875,0.5172413793103449,0.5932203389830508
MI,2018,0.7434610462326028,0.4234848309803831,0.419460343417825,0.4697508896797153,,0.42105263157894735,0.4553376906318083,0.8181818181818182,0.3947990543735225,0.44127332601536773,0.7585772114937952,0.6997389033942559,0.5166666666666667,,0.5833333333333334,0.7414860681114551,1.0,0.36363636363636365,0.511520737327189
MN,2018,0.7275716450146675,0.4519349927415643,0.4075342465753425,0.48698884758364314,0.0,0.48717948717948717,0.29767441860465116,0.5714285714285714,0.4548872180451128,0.42391304347826086,0.7415320003651967,0.6717557251908397,0.6666666666666666,0.0,0.5,0.6174242424242424,0.6666666666666666,0.40540540540540543,0.44642857142857145
MS,2018,0.689134885131549,0.4485175821650195,0.42632367632367635,0.3584905660377358,,0.2,0.32608695652173914,0.5,0.42452830188679247,0.4418604651162791,0.7589380530973451,0.6821086261980831,0.2857142857142857,,0.0,0.5833333333333334,0.0,0.5,0.48484848484848486
MO,2018,0.7305773117736231,0.41704083814410947,0.4293527803099362,0.5339805825242718,0.5,0.35714285714285715,0.4337568058076225,0.40540540540540543,0.40512820512820513,0.4246031746031746,0.7476404494382023,0.7200854700854701,0.46153846153846156,0.0,0.3333333333333333,0.7432432432432432,0.6666666666666666,0.4642857142857143,0.5148514851485149
MT,2018,0.6981511989749222,0.4229312063808574,0.21428571428571427,0.47808764940239046,,0.7,0.16666666666666666,0.0,0.47619047619047616,0.4789915966386555,0.7264276228419655,0.0,0.4166666666666667,,0.0,0.3333333333333333,0.0,0.5,0.5625
NE,2018,0.7159017153453872,0.44406126381986005,0.4548872180451128,0.4166666666666667,,0.75,0.28350515463917525,0.5,0.4583333333333333,0.3829787234042553,0.7601002192295647,0.5416666666666666,0.75,,0.8,0.5882352941176471,0.5,0.5238095238095238,0.5555555555555556
NV,2018,0.7032484635645303,0.40974927579662374,0.4284332688588008,0.42857142857142855,,0.5555555555555556,0.29935391241923903,0.3829787234042553,0.42815463165572576,0.46469622331691296,0.6934119456549602,0.6352459016393442,0.46551724137931033,,0.3333333333333333,0.5280898876404494,0.23076923076923078,0.46875,0.5935483870967742
NH,2018,0.7539543057996485,0.45464233382176633,0.3655913978494624,0.42857142857142855,0.0,0.6,0.4046242774566474,0.3333333333333333,0.46938775510204084,0.512,0.7607765712405397,0.8125,0.0,0.0,1.0,0.7160493827160493,0.6666666666666666,0.6153846153846154,0.78125
NJ,2018,0.7357317762290451,0.484978418088786,0.4334056399132321,0.4375,,0.45,0.5020292207792207,0.47368421052631576,0.43579044969865555,0.4387966804979253,0.7401303181295515,0.6232831916285154,0.4074074074074074,,0.36363636363636365,0.6929949964260186,0.5,0.5257009345794392,0.4918918918918919
NM,2018,0.7042819423717139,0.43330194601381045,0.45977011494252873,0.43874172185430466,0.0,0.42857142857142855,0.3803680981595092,0.6666666666666666,0.49080882352941174,0.4608294930875576,0.765661252900232,0.8181818181818182,0.5375,0.0,0.5,0.703125,1.0,0.6190476190476191,0.5492957746478874
