state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7980061074187175,0.40127313450430274,0.1994081493284771,0.3707865168539326,0.0,0.08333333333333333,0.33986928104575165,0.6666666666666666,0.07246376811594203,0.25773195876288657,0.7701285520974289,0.573729863692689,0.6774193548387096,0.0,0.0,0.8469387755102041,1.0,0.42857142857142855,0.75
AK,2018,0.7763677382966723,0.4143463898065125,0.2777777777777778,0.3548387096774194,0.11225806451612903,0.06818181818181818,0.12437810945273632,0.11538461538461539,0.21428571428571427,0.23728813559322035,0.6738072054527751,0.5,0.6666666666666666,0.35172413793103446,0.1111111111111111,0.38636363636363635,0.2,0.4,0.5294117647058824
AZ,2018,0.8058719235508008,0.3867974954184484,0.2644688644688645,0.16193548387096773,0.4,0.0970873786407767,0.42411812961443807,0.24615384615384617,0.12528604118993136,0.24951456310679612,0.7504411917367383,0.6716867469879518,0.4765625,0.5,0.2,0.807920792079208,0.6666666666666666,0.4404332129963899,0.6853932584269663
AR,2018,0.7956780817000503,0.3513629718806432,0.19174247725682295,0.26582278481012656,,0.2,0.3147208121827411,0.09090909090909091,0.06093189964157706,0.25806451612903225,0.7363392057330547,0.6244343891402715,0.7777777777777778,,0.5,0.7636363636363637,1.0,0.3333333333333333,0.6323529411764706
CA,2018,0.8073084097820254,0.3809893724278135,0.2769662264812434,0.2187017001545595,0.38461538461538464,0.14888888888888888,0.42807789904919136,0.2087912087912088,0.09994296494537797,0.2780892030221789,0.7075116495806151,0.589969501863775,0.5831062670299727,0.8,0.46875,0.7346185658840746,0.4842105263157895,0.3676603432700994,0.6308427157966564
CO,2018,0.7934261802849294,0.4463010620174707,0.26875,0.2198952879581152,0.6,0.2153846153846154,0.44809866392600206,0.3333333333333333,0.14921465968586387,0.29671574178935445,0.7757555235757216,0.6682926829268293,0.5609756097560976,1.0,0.4166666666666667,0.7913832199546486,0.6363636363636364,0.43902439024390244,0.704225352112676
CT,2018,0.8005054334091484,0.453864719351445,0.2026940346375882,0.21621621621621623,,0.06666666666666667,0.4938684503901895,0.4,0.10488505747126436,0.2517985611510791,0.7414752116082225,0.5066079295154186,0.6666666666666666,,0.0,0.8372093023255814,1.0,0.41044776119402987,0.65
DE,2018,0.7988542329726289,0.3976170684400111,0.23809523809523808,0.2,,0.2,0.5476190476190477,0.3333333333333333,0.1232876712328767,0.17721518987341772,0.7311036789297659,0.5575221238938053,0.6666666666666666,,1.0,0.9367088607594937,0.5,0.29411764705882354,0.7333333333333333
FL,2018,0.7946120798584786,0.39362494477056115,0.20750953867499133,0.29292929292929293,0.2,0.10714285714285714,0.41413451689996583,0.17567567567567569,0.17922457937088515,0.270852428964253,0.7507481077275128,0.6074209803023363,0.543859649122807,0.0,0.8333333333333334,0.7872727272727272,0.6111111111111112,0.5701357466063348,0.6831858407079646
GA,2018,0.8057350486104291,0.43236259109781944,0.2575919677392807,0.3173076923076923,,0.21212121212121213,0.46617915904936014,0.2682926829268293,0.14081632653061224,0.3091095189355169,0.7910579252624623,0.6511007338225484,0.782608695652174,,0.5,0.8326315789473684,0.7142857142857143,0.5128205128205128,0.775
