state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7714208730016167,0.3289520216904397,0.2779421807420897,0.21348314606741572,0.0,0.16666666666666666,0.24509803921568626,0.3333333333333333,0.2898550724637681,0.2508591065292096,0.6583220568335588,0.5600991325898389,0.3548387096774194,0.0,1.0,0.47959183673469385,0.0,0.42857142857142855,0.40384615384615385
AK,2018,0.7050197405527355,0.33553563001415765,0.3194444444444444,0.3548387096774194,0.21419354838709678,0.22727272727272727,0.14925373134328357,0.11538461538461539,0.3333333333333333,0.24152542372881355,0.5569620253164557,0.4166666666666667,0.5833333333333334,0.2413793103448276,0.2222222222222222,0.3181818181818182,0.0,0.4,0.3176470588235294
AZ,2018,0.7662048862577756,0.31127825290164934,0.3047619047619048,0.22451612903225807,0.6,0.17475728155339806,0.2936833470057424,0.13846153846153847,0.2831807780320366,0.26407766990291265,0.6274265545520606,0.6295180722891566,0.29296875,0.5,0.3,0.504950495049505,0.16666666666666666,0.36823104693140796,0.3895131086142322
AR,2018,0.7858424868978391,0.28325737380686217,0.25892232330300907,0.20253164556962025,,0.26666666666666666,0.2639593908629442,0.2727272727272727,0.3118279569892473,0.31899641577060933,0.6345177664974619,0.583710407239819,0.5555555555555556,,0.0,0.5818181818181818,0.5,0.3333333333333333,0.45588235294117646
CA,2018,0.7219277847341119,0.3125464852982497,0.32546453196213626,0.23493044822256567,0.3076923076923077,0.21555555555555556,0.2990614204041701,0.22762951334379905,0.2841661913745448,0.2885693395076773,0.5844361602982293,0.5340562521179262,0.2997275204359673,0.6,0.2708333333333333,0.4477317554240631,0.3157894736842105,0.34598012646793136,0.3940634595701126
CO,2018,0.7542963010285568,0.3573888143825438,0.31,0.2198952879581152,0.8,0.27692307692307694,0.30935251798561153,0.25,0.29450261780104714,0.2729331823329558,0.6437822737661898,0.5902439024390244,0.3902439024390244,0.0,0.4166666666666667,0.47165532879818595,0.36363636363636365,0.34146341463414637,0.3485915492957746
CT,2018,0.7402072276977508,0.3777461476576521,0.2764592687620269,0.1891891891891892,,0.2,0.3455964325529543,0.2,0.30603448275862066,0.2446043165467626,0.626602176541717,0.4977973568281938,0.2222222222222222,,0.0,0.5158562367864693,0.5,0.39552238805970147,0.325
DE,2018,0.7551453426692128,0.31864782488223886,0.29894179894179895,0.2,,0.2,0.34523809523809523,0.3333333333333333,0.1917808219178082,0.20253164556962025,0.6040133779264214,0.5176991150442478,0.3333333333333333,,1.0,0.5443037974683544,0.0,0.29411764705882354,0.4666666666666667
FL,2018,0.7626080363912054,0.3192072208546361,0.27592785293097466,0.2777777777777778,0.2,0.25,0.29429839535677704,0.25675675675675674,0.28566203365032916,0.2832263978001833,0.6311564865340609,0.5519926706367384,0.3684210526315789,0.0,0.3333333333333333,0.47363636363636363,0.5555555555555556,0.3257918552036199,0.39646017699115044
GA,2018,0.7638024157910243,0.35629046775645307,0.3165171590815571,0.2980769230769231,,0.30303030303030304,0.32678244972577697,0.34146341463414637,0.2755102040816326,0.3132036847492323,0.6770428015564203,0.6010673782521682,0.43478260869565216,,0.6,0.5368421052631579,0.5714285714285714,0.4230769230769231,0.43214285714285716
