state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.8071672354948806,0.2892255098432158,0.12929660824038242,0.2696629213483146,0.0,0.08333333333333333,0.2875816993464052,0.6666666666666666,0.05314009661835749,0.20962199312714777,0.6199255751014885,0.42998760842627015,0.5806451612903226,0.0,0.0,0.7142857142857143,1.0,0.42857142857142855,0.6730769230769231
AK,2018,0.7388606880992667,0.27607361963190186,0.16666666666666666,0.2903225806451613,0.05548387096774193,0.0,0.07960199004975124,0.07692307692307693,0.14285714285714285,0.16101694915254236,0.4761441090555015,0.20833333333333334,0.5833333333333334,0.1793103448275862,0.0,0.29545454545454547,0.0,0.3,0.3764705882352941
AZ,2018,0.8018451182498423,0.2834453268173488,0.19194139194139195,0.0967741935483871,0.2,0.08737864077669903,0.35931091058244463,0.15384615384615385,0.09668192219679633,0.19514563106796118,0.6026160074743071,0.5331325301204819,0.328125,0.0,0.3,0.7128712871287128,0.4444444444444444,0.33935018050541516,0.5767790262172284
AR,2018,0.8135544547347261,0.23467194083756127,0.1364590622813156,0.1518987341772152,,0.13333333333333333,0.28426395939086296,0.09090909090909091,0.043010752688172046,0.2007168458781362,0.5688265153777247,0.49321266968325794,0.5,,0.5,0.7090909090909091,1.0,0.16666666666666666,0.47058823529411764
CA,2018,0.769299568139422,0.2831429846453895,0.1984340306182073,0.15146831530139104,0.15384615384615385,0.10666666666666667,0.35479531627380845,0.16169544740973313,0.07116219892072127,0.20679990251035826,0.5471761416589003,0.44052863436123346,0.42779291553133514,0.4,0.3125,0.6156391168798117,0.41578947368421054,0.26784101174345076,0.4872057318321392
CO,2018,0.7750590941033668,0.33096523976947334,0.2075,0.13089005235602094,0.4,0.09230769230769231,0.3617677286742035,0.25,0.10863874345549739,0.23103057757644394,0.6194870058410226,0.551219512195122,0.34146341463414637,0.0,0.25,0.6575963718820862,0.45454545454545453,0.31097560975609756,0.5633802816901409
CT,2018,0.7551680566085418,0.34123398725168635,0.150096215522771,0.10810810810810811,,0.06666666666666667,0.44816053511705684,0.2,0.07902298850574713,0.19664268585131894,0.5807738814993954,0.3854625550660793,0.4444444444444444,,0.0,0.7801268498942917,0.5,0.29850746268656714,0.5333333333333333
DE,2018,0.7765754296626353,0.2801330008312552,0.16666666666666666,0.05,,0.2,0.47023809523809523,0.3333333333333333,0.0821917808219178,0.12658227848101267,0.5565217391304348,0.43805309734513276,0.0,,1.0,0.8227848101265823,0.5,0.23529411764705882,0.5333333333333333
FL,2018,0.7943189284811726,0.28863220349681246,0.13995837669094693,0.2222222222222222,0.0,0.07142857142857142,0.34619324001365653,0.17567567567567569,0.1441111923920995,0.1924839596700275,0.6027107903538109,0.45258818140174073,0.43859649122807015,0.0,0.5,0.6836363636363636,0.6111111111111112,0.45701357466063347,0.5256637168141592
GA,2018,0.8032014141215752,0.3182253709241892,0.1816311414698379,0.22115384615384615,,0.15151515151515152,0.4186471663619744,0.17073170731707318,0.10714285714285714,0.2292732855680655,0.6414360179135159,0.5026684456304202,0.6086956521739131,,0.4,0.7684210526315789,0.5714285714285714,0.4230769230769231,0.6214285714285714
