state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7565115861325669,0.3594247318165743,0.30343728659230595,0.29213483146067415,0.0,0.25,0.3104575163398693,0.6666666666666666,0.357487922705314,0.31958762886597936,0.6923207036535859,0.5452292441140025,0.3225806451612903,0.0,0.0,0.4387755102040816,0.5,0.5714285714285714,0.2692307692307692
AK,2018,0.6928934010152284,0.3756488909863143,0.3888888888888889,0.25806451612903225,0.28774193548387095,0.2727272727272727,0.22885572139303484,0.2692307692307692,0.38095238095238093,0.3644067796610169,0.6056475170399221,0.5416666666666666,0.3333333333333333,0.3103448275862069,0.2222222222222222,0.2727272727272727,0.4,0.45,0.5058823529411764
AZ,2018,0.7499474111248009,0.354306658521686,0.35604395604395606,0.29096774193548386,0.0,0.3300970873786408,0.36259228876127975,0.26153846153846155,0.3340961098398169,0.34271844660194173,0.6786047960137029,0.6325301204819277,0.32421875,0.0,0.5,0.5247524752475248,0.2777777777777778,0.3574007220216607,0.40823970037453183
AR,2018,0.7663866752817862,0.3144724395906785,0.30160951714485656,0.3037974683544304,,0.4,0.27411167512690354,0.2727272727272727,0.27956989247311825,0.3333333333333333,0.6610928635413557,0.5972850678733032,0.3333333333333333,,0.5,0.41818181818181815,0.5,0.3333333333333333,0.45588235294117646
CA,2018,0.7098919070860911,0.3537179974546717,0.3699894822951969,0.3075734157650695,0.3076923076923077,0.31777777777777777,0.3371854841175212,0.33124018838304553,0.339665686833677,0.3485254691689008,0.6353960857409133,0.5682819383259912,0.3978201634877384,0.4,0.3854166666666667,0.4415600941655532,0.3894736842105263,0.39363143631436315,0.4281815080177414
CO,2018,0.7529227624097617,0.40356663887781363,0.36125,0.3089005235602094,0.2,0.47692307692307695,0.34635149023638234,0.4444444444444444,0.3285340314136126,0.36126840317100795,0.7010073647676289,0.6195121951219512,0.4878048780487805,0.0,0.5,0.4671201814058957,0.5454545454545454,0.3902439024390244,0.4471830985915493
CT,2018,0.7390952741976244,0.42570703632650536,0.31430404105195636,0.35135135135135137,,0.26666666666666666,0.38684503901895206,0.6,0.3175287356321839,0.3501199040767386,0.6810157194679565,0.5022026431718062,0.4444444444444444,,0.0,0.507399577167019,0.5,0.34328358208955223,0.425
DE,2018,0.7496286866115001,0.35882515932391246,0.33201058201058203,0.4,,0.2,0.3869047619047619,0.3333333333333333,0.2602739726027397,0.4050632911392405,0.6561872909698997,0.5619469026548672,0.3333333333333333,,0.0,0.5443037974683544,0.0,0.29411764705882354,0.5333333333333333
FL,2018,0.7512661106899166,0.36654673988512276,0.32570239334027057,0.3181818181818182,0.4,0.19642857142857142,0.3513144417890065,0.36486486486486486,0.35040234089246525,0.35747021081576535,0.6879070586164407,0.5941365093907467,0.3684210526315789,0.0,0.5,0.5145454545454545,0.4444444444444444,0.5,0.46017699115044247
GA,2018,0.7513895708533831,0.39275863070177985,0.35346885030038677,0.3942307692307692,,0.24242424242424243,0.3688299817184644,0.5121951219512195,0.32857142857142857,0.368474923234391,0.7202848542691432,0.624749833222148,0.43478260869565216,,0.4,0.52,0.8571428571428571,0.34615384615384615,0.4714285714285714
HI,2018,0.6537317294011123,0.39420289855072466,0.40764331210191085,0.16666666666666666,0.0,0.0,0.2923449948042951,0.34591194968553457,0.3177570093457944,0.34926253687315634,0.6538060479666319,0.6274509803921569,0.4,0.0,0.0,0.40823634735899733,0.375,0.42857142857142855,0.4180887372013652
ID,2018,0.7691470054446461,0.33245660178853237,0.3958333333333333,0.2672413793103448,0.3333333333333333,0.2222222222222222,0.33,0.4166666666666667,0.36082474226804123,0.3352941176470588,0.6884598508117595,0.6666666666666666,0.25,0.0,0.0,0.37037037037037035,0.75,0.4782608695652174,0.4230769230769231
IL,2018,0.7464038438581831,0.3698642750593912,0.34002818886539815,0.2727272727272727,0.0,0.4523809523809524,0.37385388938183967,0.3939393939393939,0.34081104400345125,0.35160202360876897,0.6638282774525457,0.5748663101604278,0.30434782608695654,0.0,0.6,0.5150351887396033,0.3333333333333333,0.3910891089108911,0.47384615384615386
IN,2018,0.7721432242590371,0.32075896446374014,0.3063973063973064,0.2545454545454545,1.0,0.4375,0.3353566009104704,0.3125,0.34944237918215615,0.3481349911190053,0.6636537109571156,0.5444743935309974,0.3333333333333333,0.0,0.6666666666666666,0.5246636771300448,0.5,0.4,0.4251968503937008
IA,2018,0.7657368272752888,0.3286088613625536,0.24662162162162163,0.48936170212765956,,0.15384615384615385,0.33088235294117646,0.2,0.304635761589404,0.36585365853658536,0.6541580237601358,0.5666666666666667,0.5555555555555556,,1.0,0.6153846153846154,0.0,0.4117647058823529,0.6071428571428571
KS,2018,0.7620041753653445,0.3590915583488073,0.31655844155844154,0.3533834586466165,0.25,0.2222222222222222,0.3130434782608696,0.5625,0.33088235294117646,0.32682926829268294,0.7022310580958693,0.624,0.5666666666666667,0.0,0.3333333333333333,0.488,0.8,0.41935483870967744,0.45652173913043476
KY,2018,0.7807814629713766,0.3243174924165824,0.3173431734317343,0.75,,0.0,0.26153846153846155,,0.4,0.23333333333333334,0.6824489795918367,0.6363636363636364,1.0,,0.0,0.4090909090909091,,0.0,0.42857142857142855
MA,2018,0.7419105549184823,0.4025269664283117,0.33495145631067963,0.3953488372093023,0.0,0.4583333333333333,0.37817913748617765,0.35294117647058826,0.3476357267950963,0.3440265486725664,0.6650873738616786,0.5712098009188361,0.55,0.0,0.0,0.5273972602739726,0.42857142857142855,0.40551181102362205,0.4602076124567474
ME,2018,0.7673521850899743,0.3301787592008412,0.29333333333333333,0.275,,0.16666666666666666,0.2236842105263158,0.0,0.3333333333333333,0.2727272727272727,0.660048426150121,0.875,0.3333333333333333,,0.0,0.43478260869565216,0.0,0.5,0.47368421052631576
MD,2018,0.7327038314871981,0.45173579694271154,0.40079876320535945,0.37735849056603776,0.0,0.30434782608695654,0.38597285067873305,0.44,0.34904805077062556,0.35260115606936415,0.710764542439724,0.6104353393085787,0.6666666666666666,0.0,0.3333333333333333,0.5168831168831168,0.625,0.39408866995073893,0.4322033898305085
MI,2018,0.7680171172612382,0.34272973035421334,0.315072226764786,0.33451957295373663,,0.22807017543859648,0.3776325344952796,0.5454545454545454,0.38534278959810875,0.36553238199780463,0.677350852744044,0.5966057441253264,0.45,,0.25,0.5340557275541795,1.0,0.45454545454545453,0.4930875576036866
