state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7491467576791809,0.2994813155723211,0.2997951286137036,0.2247191011235955,1.0,0.4166666666666667,0.30718954248366015,0.3333333333333333,0.27053140096618356,0.30584192439862545,0.5857577807848444,0.5625774473358116,0.1935483870967742,0.0,0.0,0.5510204081632653,0.0,0.23809523809523808,0.36538461538461536
AK,2018,0.6658206429780034,0.2954223690420009,0.3333333333333333,0.25806451612903225,0.29419354838709677,0.29545454545454547,0.1890547263681592,0.34615384615384615,0.09523809523809523,0.3135593220338983,0.4800389483933788,0.4166666666666667,0.25,0.31724137931034485,0.3333333333333333,0.3409090909090909,0.6,0.05,0.36470588235294116
AZ,2018,0.7418036481653996,0.27726023213194867,0.33772893772893775,0.28258064516129033,0.6,0.30097087378640774,0.3445447087776866,0.2923076923076923,0.2917620137299771,0.2815533980582524,0.552891103498391,0.6355421686746988,0.35546875,0.5,0.3,0.5188118811881188,0.3888888888888889,0.3104693140794224,0.3146067415730337
AR,2018,0.7653097853399382,0.2565138876945567,0.28831350594821553,0.2911392405063291,,0.6,0.2639593908629442,0.3181818181818182,0.27956989247311825,0.2939068100358423,0.5550910719617796,0.6153846153846154,0.4444444444444444,,0.5,0.4,0.0,0.3333333333333333,0.3382352941176471
CA,2018,0.6977538139166433,0.27644083764441435,0.3530442912235597,0.30602782071097373,0.23076923076923078,0.3,0.3248035708826317,0.2794348508634223,0.28113894616768303,0.2932000974896417,0.5155824790307549,0.5523551338529312,0.3405994550408719,0.2,0.28125,0.45358528981357765,0.30526315789473685,0.29742547425474253,0.32787444558171275
CO,2018,0.7281990672714496,0.3208162673529305,0.34375,0.28272251308900526,0.6,0.38461538461538464,0.3237410071942446,0.3611111111111111,0.29712041884816753,0.3057757644394111,0.5703039024803183,0.6390243902439025,0.2682926829268293,0.0,0.5,0.47845804988662133,0.5454545454545454,0.3048780487804878,0.3380281690140845
CT,2018,0.7011372251705837,0.33294139488829755,0.3277742142398974,0.21621621621621623,,0.3333333333333333,0.34894091415830547,0.4,0.28735632183908044,0.2709832134292566,0.5414752116082225,0.539647577092511,0.1111111111111111,,0.0,0.48625792811839325,0.5,0.35074626865671643,0.325
DE,2018,0.7265011669849353,0.2820725962870601,0.33994708994708994,0.3,,0.4,0.3273809523809524,0.0,0.2876712328767123,0.25316455696202533,0.5244147157190635,0.588495575221239,0.3333333333333333,,0.0,0.45569620253164556,0.0,0.23529411764705882,0.4
FL,2018,0.7463431892848117,0.2836710219024175,0.29968782518210196,0.23232323232323232,0.6,0.26785714285714285,0.32775691362239673,0.3108108108108108,0.28931967812728604,0.27497708524289644,0.5580355571202253,0.5739807604214384,0.2982456140350877,0.0,0.6666666666666666,0.5054545454545455,0.3888888888888889,0.334841628959276,0.3327433628318584
GA,2018,0.738878523028577,0.3145959757266049,0.3398074232573451,0.3942307692307692,,0.42424242424242425,0.34643510054844606,0.24390243902439024,0.27755102040816326,0.2937563971340839,0.5928345936421702,0.6120747164776518,0.391304347826087,,0.2,0.508421052631579,0.2857142857142857,0.2948717948717949,0.34285714285714286
ID,2018,0.7727767695099819,0.2752498684902683,0.3541666666666667,0.31896551724137934,0.6666666666666666,0.2222222222222222,0.28,0.3333333333333333,0.33505154639175255,0.2823529411764706,0.5954365949978061,0.5,0.45,0.0,0.0,0.6296296296296297,0.0,0.2608695652173913,0.4230769230769231
