state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7973774025507455,0.3489331604385241,0.26428408832233097,0.4044943820224719,0.0,0.3333333333333333,0.30392156862745096,0.6666666666666666,0.1642512077294686,0.27491408934707906,0.7065290933694182,0.6790582403965304,0.6129032258064516,0.0,0.0,0.7346938775510204,1.0,0.6190476190476191,0.7692307692307693
AK,2018,0.7563451776649747,0.36857008022652193,0.3194444444444444,0.3870967741935484,0.0,0.22727272727272727,0.10945273631840796,0.23076923076923078,0.3333333333333333,0.2584745762711864,0.6056475170399221,0.5416666666666666,0.6666666666666666,0.0,0.4444444444444444,0.29545454545454547,0.2,0.55,0.5411764705882353
AZ,2018,0.7988700904528654,0.32380116065974346,0.2996336996336996,0.19806451612903225,0.0,0.1650485436893204,0.3896636587366694,0.24615384615384617,0.20995423340961097,0.25339805825242717,0.6643828506176684,0.6897590361445783,0.47265625,0.0,0.3,0.7405940594059406,0.5,0.5848375451263538,0.6441947565543071
AR,2018,0.799483092827913,0.29572620173703673,0.25892232330300907,0.35443037974683544,,0.13333333333333333,0.30456852791878175,0.09090909090909091,0.15770609318996415,0.2616487455197133,0.6637802329053448,0.6923076923076923,0.7222222222222222,,0.0,0.7090909090909091,0.5,0.5555555555555556,0.5882352941176471
CA,2018,0.780645491017811,0.3222236913872039,0.3249970784153325,0.2581143740340031,0.0,0.2088888888888889,0.3813935002598673,0.260596546310832,0.1743079015487211,0.28844747745552035,0.6118918918918919,0.6265672653337852,0.5803814713896458,0.0,0.375,0.6473881784055482,0.4052631578947368,0.5200993676603433,0.6199249402934153
CO,2018,0.7801060499584744,0.37746928123527496,0.33875,0.2513089005235602,0.0,0.3076923076923077,0.41109969167523125,0.3333333333333333,0.24345549738219896,0.30690826727066817,0.6833149919580124,0.697560975609756,0.5121951219512195,0.0,0.6666666666666666,0.7233560090702947,0.36363636363636365,0.5670731707317073,0.6866197183098591
CT,2018,0.7704826889057367,0.391175196484931,0.24631173829377806,0.21621621621621623,,0.3333333333333333,0.4459308807134894,0.4,0.1867816091954023,0.28776978417266186,0.6503022974607013,0.5484581497797357,0.5555555555555556,,0.0,0.7526427061310782,0.5,0.5447761194029851,0.7
DE,2018,0.7786972204540632,0.33000831255195345,0.2777777777777778,0.1,,0.0,0.5119047619047619,0.0,0.1780821917808219,0.16455696202531644,0.6280936454849498,0.5796460176991151,0.3333333333333333,,0.0,0.8734177215189873,0.0,0.35294117647058826,0.6
FL,2018,0.7915491533990396,0.32952092406741146,0.25676378772112385,0.3333333333333333,0.0,0.19642857142857142,0.3697507681802663,0.1891891891891892,0.27322604242867593,0.27956003666361134,0.665587044534413,0.6637654603756299,0.543859649122807,0.0,0.5,0.7281818181818182,0.3333333333333333,0.6990950226244343,0.6548672566371682
GA,2018,0.7956201512324462,0.37060480241572547,0.3068060241955395,0.3557692307692308,,0.21212121212121213,0.42458866544789764,0.3170731707317073,0.22448979591836735,0.3101330603889457,0.7133837456868072,0.6844563042028019,0.6956521739130435,,0.5,0.7568421052631579,0.8571428571428571,0.6282051282051282,0.7392857142857143
