state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.8069426980420334,0.36832488506424615,0.11495561119963578,0.2247191011235955,0.0,0.08333333333333333,0.2581699346405229,0.6666666666666666,0.043478260869565216,0.17869415807560138,0.7322395128552097,0.40024783147459725,0.4838709677419355,0.0,0.0,0.6836734693877551,1.0,0.3333333333333333,0.5384615384615384
AK,2018,0.76029328821207,0.38603114676734307,0.16666666666666666,0.22580645161290322,0.06580645161290323,0.045454545454545456,0.06467661691542288,0.07692307692307693,0.11904761904761904,0.15677966101694915,0.6338851022395326,0.2916666666666667,0.4166666666666667,0.1793103448275862,0.1111111111111111,0.20454545454545456,0.0,0.25,0.35294117647058826
AZ,2018,0.8073143612705472,0.3397220525351252,0.1663003663003663,0.07612903225806451,0.2,0.06796116504854369,0.35684987694831827,0.12307692307692308,0.07036613272311212,0.1796116504854369,0.6869095816464238,0.5030120481927711,0.28515625,0.0,0.2,0.7148514851485148,0.3333333333333333,0.2779783393501805,0.5318352059925093
AR,2018,0.8070931150836385,0.3158483102588357,0.1112666200139958,0.1518987341772152,,0.13333333333333333,0.26903553299492383,0.09090909090909091,0.017921146953405017,0.17204301075268819,0.6921469095252314,0.4434389140271493,0.6111111111111112,,0.5,0.6545454545454545,1.0,0.1111111111111111,0.47058823529411764
CA,2018,0.7833082053509826,0.3377518470158504,0.17915157181255112,0.13060278207109738,0.15384615384615385,0.06888888888888889,0.3306123696841848,0.09733124018838304,0.05615759224323257,0.20216914452839385,0.6353215284249767,0.4063029481531684,0.3923705722070845,0.4,0.25,0.5908252210981739,0.24210526315789474,0.22425474254742547,0.47731149778232684
CO,2018,0.7844822078834728,0.3945050563630432,0.17,0.12041884816753927,0.4,0.1076923076923077,0.3597122302158273,0.2222222222222222,0.08638743455497382,0.21404303510758776,0.7058325573520697,0.4878048780487805,0.3170731707317073,0.0,0.3333333333333333,0.6666666666666666,0.36363636363636365,0.2621951219512195,0.5246478873239436
CT,2018,0.776800606520091,0.40881242651154154,0.13855035279025016,0.08108108108108109,,0.06666666666666667,0.43701226309921964,0.2,0.05603448275862069,0.18944844124700239,0.6737605804111245,0.35462555066079293,0.3333333333333333,,0.0,0.7610993657505285,0.5,0.23880597014925373,0.525
DE,2018,0.7869722045406323,0.34746467165419787,0.15476190476190477,0.1,,0.0,0.47023809523809523,0.3333333333333333,0.0684931506849315,0.12658227848101267,0.6555183946488294,0.41150442477876104,0.3333333333333333,,0.0,0.8227848101265823,0.5,0.23529411764705882,0.4666666666666667
FL,2018,0.7990598938589841,0.34739632645332325,0.12261533125216788,0.1717171717171717,0.0,0.07142857142857142,0.3246841925571868,0.13513513513513514,0.11228968544257498,0.18285976168652612,0.6904066185530716,0.4113605130554283,0.38596491228070173,0.0,0.5,0.6818181818181818,0.5,0.4072398190045249,0.5221238938053098
GA,2018,0.8068742021015418,0.38790975871780725,0.16327874249033,0.18269230769230768,,0.15151515151515152,0.3907678244972578,0.17073170731707318,0.08979591836734693,0.21494370522006143,0.7365832170912562,0.46364242828552366,0.5217391304347826,,0.4,0.74,0.5714285714285714,0.391025641025641,0.5821428571428572
HI,2018,0.7612210580778683,0.3710144927536232,0.18471337579617833,0.2222222222222222,0.0,0.0,0.2105992379632837,0.06666666666666667,0.1308411214953271,0.16460176991150444,0.6423357664233577,0.45098039215686275,0.8,0.0,0.0,0.4556848701880036,0.185,0.39285714285714285,0.3890784982935154
ID,2018,0.8072595281306715,0.33784850078905837,0.16666666666666666,0.09482758620689655,0.0,0.0,0.25,0.16666666666666666,0.030927835051546393,0.10588235294117647,0.7327775340061431,0.5,0.4,0.0,0.0,0.7037037037037037,0.5,0.13043478260869565,0.4230769230769231
IL,2018,0.7882893637340337,0.3639527817167271,0.14288231148696265,0.1038961038961039,0.0,0.16666666666666666,0.4031351671103224,0.15151515151515152,0.04874892148403796,0.1897133220910624,0.6751818343090297,0.39371657754010697,0.2608695652173913,0.0,0.6,0.7370441458733206,0.5555555555555556,0.1905940594059406,0.5661538461538461
IN,2018,0.8059219918908115,0.33018170123814117,0.12169312169312169,0.12727272727272726,0.0,0.0625,0.30804248861911987,0.1875,0.048327137546468404,0.1705150976909414,0.7058350908908305,0.39892183288409705,0.5555555555555556,0.0,0.3333333333333333,0.7354260089686099,0.5,0.14736842105263157,0.4881889763779528
IA,2018,0.787433079740772,0.33539780848022865,0.08445945945945946,0.1276595744680851,,0.07692307692307693,0.22058823529411764,0.0,0.052980132450331126,0.16463414634146342,0.6852724872713558,0.36666666666666664,0.5555555555555556,,1.0,0.6923076923076923,0.0,0.23529411764705882,0.75
KS,2018,0.7994559372429936,0.35644907870304243,0.1331168831168831,0.15789473684210525,0.0,0.1111111111111111,0.34782608695652173,0.1875,0.05514705882352941,0.16829268292682928,0.7307267506074663,0.472,0.5333333333333333,0.0,0.3333333333333333,0.688,0.2,0.3548387096774194,0.5760869565217391
KY,2018,0.8011451422339362,0.3316388161868331,0.13975155279503104,0.18181818181818182,1.0,0.0,0.3018867924528302,0.0,0.03468208092485549,0.15384615384615385,0.6955437831100031,0.4957627118644068,0.5,0.0,0.0,0.7009345794392523,0.0,0.16666666666666666,0.5645161290322581
ME,2018,0.7936303913167666,0.3241700465675229,0.09333333333333334,0.05,,0.0,0.2236842105263158,0.0,0.2,0.12878787878787878,0.6818401937046005,0.625,0.3333333333333333,,0.0,0.6086956521739131,0.0,0.5,0.5789473684210527
MD,2018,0.7774953090006658,0.4364969760464784,0.2085802628188611,0.22641509433962265,0.5,0.043478260869565216,0.4158371040723982,0.16,0.0643699002719855,0.26936416184971096,0.7070000896298289,0.4385403329065301,0.5238095238095238,1.0,0.1111111111111111,0.7047619047619048,0.375,0.2955665024630542,0.5790960451977402
MI,2018,0.8035514317709167,0.34242935372813604,0.12946306895611884,0.15658362989323843,,0.03508771929824561,0.4190268700072622,0.09090909090909091,0.12056737588652482,0.16136114160263446,0.7010418740460548,0.4360313315926893,0.5,,0.16666666666666666,0.7647058823529411,0.3333333333333333,0.42045454545454547,0.5299539170506913
MN,2018,0.7765384739370104,0.3694012675707255,0.091324200913242,0.11524163568773234,0.0,0.05128205128205128,0.22209302325581395,0.0,0.06015037593984962,0.14130434782608695,0.6780790650963207,0.40458015267175573,0.4375,0.0,1.0,0.6022727272727273,0.0,0.21621621621621623,0.42857142857142855
MS,2018,0.8069603457426643,0.37071937485635487,0.10539460539460539,0.018867924528301886,,0.0,0.20652173913043478,0.0,0.05660377358490566,0.17054263565891473,0.7330973451327434,0.3929712460063898,0.0,,0.0,0.5416666666666666,0.0,0.3125,0.42424242424242425
MO,2018,0.7992988883274381,0.3351151022735372,0.1453965360072926,0.1650485436893204,0.0,0.14285714285714285,0.3720508166969147,0.08108108108108109,0.08717948717948718,0.16071428571428573,0.7033707865168539,0.46153846153846156,0.5,0.0,0.6666666666666666,0.7522522522522522,0.3333333333333333,0.2857142857142857,0.5544554455445545
MT,2018,0.7733845872231375,0.3461615154536391,0.07142857142857142,0.11952191235059761,,0.1,0.13333333333333333,0.0,0.047619047619047616,0.15966386554621848,0.6905710491367862,0.0,0.3541666666666667,,0.0,0.3333333333333333,0.0,0.0,0.5
NE,2018,0.7760778859527121,0.37042296378943096,0.10526315789473684,0.041666666666666664,,0.375,0.23711340206185566,0.0,0.07142857142857142,0.11702127659574468,0.7165674913874099,0.3125,0.16666666666666666,,0.6,0.6078431372549019,0.0,0.3333333333333333,0.3888888888888889
NV,2018,0.7909772404943608,0.3168514633902707,0.12959381044487428,0.11583011583011583,,0.1111111111111111,0.1823402727925341,0.09574468085106383,0.03574033552151714,0.13136288998357964,0.6198410663932326,0.39344262295081966,0.29310344827586204,,0.1111111111111111,0.4157303370786517,0.3076923076923077,0.18125,0.3935483870967742
NH,2018,0.7928696962088878,0.36392700146529905,0.08602150537634409,0.14285714285714285,0.0,0.0,0.36416184971098264,0.3333333333333333,0.1836734693877551,0.216,0.6887133925633432,0.4375,1.0,0.0,0.0,0.7037037037037037,0.6666666666666666,0.6153846153846154,0.65625
NJ,2018,0.763671752370189,0.39176171283194694,0.1418655097613883,0.0625,,0.05,0.461038961038961,0.05263157894736842,0.06583217431617988,0.21473029045643152,0.644527186114001,0.3328973185088293,0.14814814814814814,,0.18181818181818182,0.7158684774839171,0.0,0.22897196261682243,0.4756756756756757
NM,2018,0.8132246584777867,0.3328625235404896,0.1781609195402299,0.07947019867549669,0.0,0.09523809523809523,0.3067484662576687,0.4444444444444444,0.11029411764705882,0.2304147465437788,0.6955916473317866,0.5757575757575758,0.2875,0.0,0.5,0.65625,1.0,0.3904761904761905,0.5492957746478874
NY,2018,0.7612525601576378,0.3477092241905925,0.12174808963681635,0.11740890688259109,0.0,0.06930693069306931,0.26986141965513594,0.21052631578947367,0.058834310850439886,0.18457071754458731,0.6153031266079482,0.30871413390010627,0.2923076923076923,0.0,0.3333333333333333,0.5544863459037711,0.4166666666666667,0.20908311910882604,0.44634146341463415
NC,2018,0.8096875180056465,0.37570222917682067,0.13551020408163264,0.12341197822141561,0.0,0.12790697674418605,0.3989867004433186,0.21739130434782608,0.061224489795918366,0.19117647058823528,0.7342510007725261,0.4560853199498118,0.4157303370786517,0.0,0.6,0.7761413843888071,0.6666666666666666,0.31007751937984496,0.5863636363636363
ND,2018,0.7717171717171717,0.37160493827160496,0.1111111111111111,0.12727272727272726,,0.10714285714285714,0.18867924528301888,0.0,0.19230769230769232,0.11940298507462686,0.6843810758263124,0.36363636363636365,0.3157894736842105,,0.25,0.45454545454545453,0.0,0.5,0.4117647058823529
OH,2018,0.8040074032348917,0.3382654854162428,0.11881378779125747,0.10256410256410256,,0.14285714285714285,0.3738532110091743,0.17647058823529413,0.1295843520782396,0.14591439688715954,0.6891282954368881,0.4246153846153846,0.3,,0.6,0.7751937984496124,0.4,0.39759036144578314,0.5414634146341464
OK,2018,0.8052129262711392,0.32838951310861425,0.13471502590673576,0.12467191601049869,0.0,0.1267605633802817,0.25157232704402516,0.2,0.04228855721393035,0.1546310832025118,0.7015324738506447,0.4942528735632184,0.33815028901734107,0.0,0.13333333333333333,0.6595744680851063,1.0,0.2608695652173913,0.4612546125461255
