state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7271869947907311,0.46504774254391135,0.4898702481220123,0.39325842696629215,0.0,0.75,0.33986928104575165,1.0,0.463768115942029,0.4536082474226804,0.8125845737483085,0.8401486988847584,0.6129032258064516,0.0,1.0,0.8163265306122449,1.0,0.7619047619047619,0.6730769230769231
AK,2018,0.7171460800902425,0.4572911750825861,0.5416666666666666,0.41935483870967744,0.28516129032258064,0.5454545454545454,0.11442786069651742,0.5,0.47619047619047616,0.4661016949152542,0.7049659201557936,0.625,0.5833333333333334,0.46206896551724136,0.7777777777777778,0.36363636363636365,0.6,0.6,0.5764705882352941
AZ,2018,0.7540944195690717,0.43646915088576665,0.5304029304029304,0.30516129032258066,0.4,0.4854368932038835,0.43232157506152585,0.6,0.4776887871853547,0.4436893203883495,0.7902003529533894,0.8614457831325302,0.55078125,0.5,0.6,0.7940594059405941,0.8888888888888888,0.7111913357400722,0.6292134831460674
AR,2018,0.7297724172589561,0.4194685699544243,0.5024492652204339,0.4050632911392405,,0.4666666666666667,0.3197969543147208,0.36363636363636365,0.4444444444444444,0.4838709677419355,0.7945655419528217,0.8823529411764706,0.7222222222222222,,1.0,0.7272727272727273,1.0,0.7222222222222222,0.6029411764705882
CA,2018,0.7583727288988833,0.4281110027601937,0.540610026878579,0.3608964451313756,0.38461538461538464,0.4822222222222222,0.43391727047601575,0.5007849293563579,0.4691352608256921,0.46807214233487693,0.7556383970177074,0.8170111826499492,0.6566757493188011,0.8,0.625,0.7354456957434625,0.6105263157894737,0.6285004516711834,0.6472193790515183
CO,2018,0.7597585127451607,0.49392873971510387,0.5475,0.35602094240837695,0.6,0.4,0.45940390544707094,0.6111111111111112,0.5314136125654451,0.4733861834654587,0.8121560992127317,0.8731707317073171,0.5853658536585366,1.0,0.3333333333333333,0.7936507936507936,0.6363636363636364,0.7073170731707317,0.6267605633802817
CT,2018,0.7774576699519838,0.5052911690079832,0.47145606157793457,0.3783783783783784,,0.6666666666666666,0.5061315496098104,0.6,0.47270114942528735,0.47002398081534774,0.7950423216444982,0.7422907488986784,0.7777777777777778,,1.0,0.8456659619450317,1.0,0.6044776119402985,0.6666666666666666
DE,2018,0.7536600891152132,0.44970906068162925,0.5079365079365079,0.35,,0.8,0.5178571428571429,0.6666666666666666,0.3835616438356164,0.4810126582278481,0.7692307692307693,0.7964601769911505,0.6666666666666666,,1.0,0.8987341772151899,1.0,0.5882352941176471,0.6
FL,2018,0.7421885266616123,0.4401312882661112,0.4893340270551509,0.41414141414141414,0.4,0.4642857142857143,0.4202799590303858,0.527027027027027,0.5084125822970007,0.461961503208066,0.7866572786481253,0.836921667430142,0.6140350877192983,0.0,0.8333333333333334,0.7854545454545454,0.7222222222222222,0.7126696832579186,0.6637168141592921
GA,2018,0.7393302563095355,0.48413228419616156,0.5312319973664719,0.4519230769230769,,0.5757575757575758,0.4638939670932358,0.5365853658536586,0.5204081632653061,0.4759467758444217,0.8311430878790104,0.8502334889926618,0.8695652173913043,,0.9,0.8231578947368421,0.7142857142857143,0.717948717948718,0.6857142857142857
