state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7443865636788216,0.4263232347047035,0.3728659230594127,0.4606741573033708,0.0,0.25,0.33986928104575165,1.0,0.33816425120772947,0.3230240549828179,0.7471244925575101,0.79182156133829,0.7419354838709677,0.0,0.0,0.7346938775510204,1.0,0.8571428571428571,0.7307692307692307
AK,2018,0.7492949802594473,0.4134025483718735,0.4444444444444444,0.41935483870967744,0.0,0.18181818181818182,0.14925373134328357,0.3076923076923077,0.4523809523809524,0.3220338983050847,0.6387536514118792,0.7916666666666666,0.6666666666666666,0.0,0.4444444444444444,0.4318181818181818,0.2,0.8,0.5764705882352941
AZ,2018,0.7645520930372329,0.4013057422113622,0.4307692307692308,0.24838709677419354,0.0,0.1650485436893204,0.42411812961443807,0.4307692307692308,0.3684210526315789,0.31359223300970873,0.7298868472957541,0.8524096385542169,0.58984375,0.0,0.1,0.7128712871287128,0.7222222222222222,0.7689530685920578,0.700374531835206
AR,2018,0.7447052911192477,0.3852437870840141,0.38488453463960814,0.3291139240506329,,0.13333333333333333,0.29949238578680204,0.2727272727272727,0.27956989247311825,0.3727598566308244,0.728277097641087,0.8371040723981901,0.6111111111111112,,0.5,0.6545454545454545,1.0,0.7777777777777778,0.7794117647058824
CA,2018,0.7685891702655048,0.3928565525676413,0.43858829028865254,0.29675425038639874,0.0,0.2111111111111111,0.4310128710752392,0.3579277864992151,0.33115430175931204,0.3604679502802827,0.6919850885368126,0.7756692646560488,0.6348773841961853,0.0,0.34375,0.6789463638098874,0.5,0.7676151761517616,0.6769020812009553
CO,2018,0.7535296748227177,0.4536228206894052,0.42375,0.29842931937172773,0.0,0.2,0.42857142857142855,0.3333333333333333,0.4306282722513089,0.3714609286523216,0.7431643105053755,0.7902439024390244,0.6829268292682927,0.0,0.3333333333333333,0.7074829931972789,0.5454545454545454,0.8048780487804879,0.7394366197183099
CT,2018,0.7697245387920142,0.45943437093879574,0.34060295060936496,0.2702702702702703,,0.3333333333333333,0.47714604236343366,0.6,0.28879310344827586,0.3381294964028777,0.7221281741233374,0.6674008810572687,0.7777777777777778,,0.0,0.7547568710359408,1.0,0.7388059701492538,0.7083333333333334
DE,2018,0.7557818799066413,0.4145192574120255,0.3994708994708995,0.35,,0.0,0.5,0.6666666666666666,0.2602739726027397,0.24050632911392406,0.7023411371237458,0.7610619469026548,0.6666666666666666,,0.0,0.7848101265822784,1.0,0.5882352941176471,0.6666666666666666
FL,2018,0.7527520849128128,0.3987754844410781,0.3608220603537981,0.398989898989899,0.0,0.25,0.4189143052236258,0.2702702702702703,0.41185076810534016,0.36801099908340973,0.7169864460482309,0.7792029317453046,0.6666666666666666,0.0,0.5,0.7154545454545455,0.5555555555555556,0.830316742081448,0.7008849557522124
GA,2018,0.7536678778356084,0.4457187654249296,0.42383342934737883,0.375,,0.3333333333333333,0.4529250457038391,0.24390243902439024,0.37244897959183676,0.37461617195496416,0.7622788341531459,0.8122081387591727,0.8260869565217391,,0.6,0.7273684210526316,0.7142857142857143,0.8589743589743589,0.7857142857142857
