state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7302407041494521,0.43587174348697394,0.3792396995219668,0.449438202247191,1.0,0.5,0.3758169934640523,0.6666666666666666,0.45410628019323673,0.3917525773195876,0.749830852503383,0.7397769516728625,0.5483870967741935,0.0,1.0,0.7653061224489796,0.5,0.6666666666666666,0.7115384615384616
AK,2018,0.6793570219966159,0.44313355356300144,0.4027777777777778,0.2903225806451613,0.48516129032258065,0.5454545454545454,0.12437810945273632,0.5384615384615384,0.6428571428571429,0.3855932203389831,0.6845180136319376,0.6666666666666666,0.25,0.5241379310344828,0.6666666666666666,0.29545454545454547,0.8,0.7,0.5764705882352941
AZ,2018,0.7318868888421433,0.41497403787416004,0.421978021978022,0.48193548387096774,0.0,0.46601941747572817,0.43478260869565216,0.5384615384615384,0.4839816933638444,0.4242718446601942,0.7340392401121146,0.8012048192771084,0.5703125,0.0,0.4,0.7524752475247525,0.7222222222222222,0.5379061371841155,0.7640449438202247
AR,2018,0.7258238208055137,0.39453091409407515,0.37438768369489156,0.4810126582278481,,0.5333333333333333,0.2893401015228426,0.22727272727272727,0.5448028673835126,0.4265232974910394,0.7273813078530905,0.7828054298642534,0.4444444444444444,,0.5,0.6363636363636364,0.0,0.3888888888888889,0.7058823529411765
CA,2018,0.7348376050903329,0.40997967042956546,0.43648474932803555,0.46986089644513135,0.23076923076923078,0.45111111111111113,0.4264575499098108,0.4725274725274725,0.5039266441451323,0.42883256154033633,0.7026840633737186,0.7411047102677059,0.5449591280653951,0.2,0.40625,0.6971432207164218,0.49473684210526314,0.5998193315266486,0.7164790174002047
CO,2018,0.7368555548457165,0.46333683714523904,0.43375,0.5287958115183246,0.8,0.5230769230769231,0.4460431654676259,0.4722222222222222,0.5235602094240838,0.4552661381653454,0.7446034030305596,0.7658536585365854,0.4878048780487805,1.0,0.6666666666666666,0.7505668934240363,0.45454545454545453,0.5853658536585366,0.7535211267605634
CT,2018,0.748091988880465,0.4705736741134971,0.36626042334830017,0.4594594594594595,,0.6,0.49498327759197325,0.8,0.5272988505747126,0.3764988009592326,0.7217654171704958,0.6497797356828194,0.2222222222222222,,1.0,0.8033826638477801,1.0,0.6567164179104478,0.7416666666666667
DE,2018,0.7468703585826437,0.41895261845386533,0.39285714285714285,0.6,,0.6,0.5416666666666666,0.6666666666666666,0.5068493150684932,0.2911392405063291,0.7070234113712375,0.6991150442477876,1.0,,1.0,0.8607594936708861,1.0,0.6470588235294118,0.7333333333333333
FL,2018,0.7302805155420773,0.42414946664141895,0.37851196670135273,0.51010101010101,0.8,0.44642857142857145,0.399795151928986,0.5540540540540541,0.5,0.45142071494042163,0.7282872733673649,0.755382501145213,0.543859649122807,0.0,0.6666666666666666,0.7190909090909091,0.5,0.6289592760180995,0.7557522123893805
GA,2018,0.7381911028184228,0.45646177520977904,0.41543905851370255,0.5288461538461539,,0.3939393939393939,0.46755027422303475,0.6341463414634146,0.5357142857142857,0.4728761514841351,0.7603700168856912,0.7808539026017345,0.4782608695652174,,0.3,0.8063157894736842,0.5714285714285714,0.5769230769230769,0.7928571428571428
HI,2018,0.708446514034407,0.4285024154589372,0.42038216560509556,0.3888888888888889,0.0,1.0,0.32351922410807066,0.4691823899371069,0.48598130841121495,0.4289085545722714,0.6934306569343066,0.7647058823529411,0.6,0.0,0.0,0.5917636526410027,0.455,0.5714285714285714,0.674061433447099
ID,2018,0.7422867513611615,0.3992635455023672,0.3541666666666667,0.6120689655172413,0.3333333333333333,0.2777777777777778,0.29,0.5833333333333334,0.5412371134020618,0.3352941176470588,0.7538394032470381,0.8333333333333334,0.6,0.0,1.0,0.7037037037037037,0.5,0.6521739130434783,0.7692307692307693
IL,2018,0.7435090127730691,0.4361798125264728,0.3821353065539112,0.5064935064935064,0.5,0.5714285714285714,0.47500739426205263,0.48484848484848486,0.49525452976704054,0.41989881956155145,0.7262284903317368,0.7272727272727273,0.6086956521739131,0.0,0.4,0.781829814459373,0.5555555555555556,0.594059405940594,0.7353846153846154
IN,2018,0.74090571640683,0.3959157420807204,0.3645983645983646,0.509090909090909,1.0,0.625,0.36570561456752654,0.5,0.4739776951672863,0.38898756660746003,0.7214020287235111,0.7250673854447439,0.4444444444444444,0.0,0.6666666666666666,0.7623318385650224,0.0,0.5157894736842106,0.7480314960629921
IA,2018,0.7421808960270498,0.39524773701762744,0.2972972972972973,0.40425531914893614,,0.6153846153846154,0.2867647058823529,0.6,0.48344370860927155,0.31097560975609756,0.7188383933622478,0.6,0.6666666666666666,,0.0,0.7538461538461538,1.0,0.6470588235294118,0.7857142857142857
KS,2018,0.730752198393117,0.42786744750749894,0.3782467532467532,0.5037593984962406,0.5,0.1111111111111111,0.42318840579710143,0.6875,0.5073529411764706,0.3926829268292683,0.7528164347249834,0.816,0.7,0.0,0.0,0.752,0.6,0.6129032258064516,0.75
KY,2018,0.7466600018176861,0.40029192671632774,0.35714285714285715,0.6818181818181818,0.0,0.6666666666666666,0.4088050314465409,0.6,0.4277456647398844,0.34615384615384615,0.729666562792147,0.7754237288135594,1.0,0.0,0.0,0.7757009345794392,1.0,0.5,0.7903225806451613
MA,2018,0.7582140898439448,0.4431887043994667,0.35701676963812884,0.46511627906976744,0.0,0.375,0.4544784371544416,0.5294117647058824,0.5306479859894921,0.4391592920353982,0.7117277873492494,0.6860643185298622,0.5,0.0,0.0,0.7633181126331812,0.5714285714285714,0.5866141732283464,0.7612456747404844
ME,2018,0.7369323050556984,0.38876370737569477,0.28,0.575,,0.5,0.27631578947368424,0.0,0.5333333333333333,0.4318181818181818,0.7065375302663438,0.875,0.3333333333333333,,0.0,0.6521739130434783,0.0,0.5,0.8947368421052632
MD,2018,0.7541231653805417,0.49232981783317353,0.47967980295566504,0.3333333333333333,,0.5,0.5224586288416075,0.5,0.5119617224880383,0.4935897435897436,0.7472826086956522,0.7672672672672672,0.5,,0.5,0.8186046511627907,0.6666666666666666,0.5,0.7936507936507936
MI,2018,0.7557790753479443,0.39712100556852054,0.3562278550013628,0.505338078291815,,0.543859649122807,0.47639796659404504,0.18181818181818182,0.5224586288416075,0.3951701427003293,0.7255955936027606,0.7519582245430809,0.48333333333333334,,0.5,0.8018575851393189,0.0,0.6136363636363636,0.7373271889400922
MN,2018,0.7349215047870797,0.4221577027936126,0.2979452054794521,0.5278810408921933,0.0,0.41025641025641024,0.30116279069767443,0.2857142857142857,0.5,0.3804347826086957,0.7028211448918105,0.7709923664122137,0.5416666666666666,0.0,0.5,0.6931818181818182,0.6666666666666666,0.6216216216216216,0.7589285714285714
MS,2018,0.7106679808931685,0.43254424270282693,0.3708791208791209,0.5471698113207547,,0.8,0.29891304347826086,0.5,0.49056603773584906,0.4573643410852713,0.7316814159292035,0.7204472843450479,0.8571428571428571,,0.0,0.7291666666666666,0.0,0.8125,0.696969696969697
MO,2018,0.7381253158160688,0.40107618843988313,0.39881494986326343,0.5339805825242718,0.75,0.5,0.4337568058076225,0.4594594594594595,0.5282051282051282,0.3869047619047619,0.7239325842696629,0.7991452991452992,0.6923076923076923,0.0,0.3333333333333333,0.8063063063063063,0.5555555555555556,0.5,0.7227722772277227
MT,2018,0.7122460186710599,0.41216350947158525,0.07142857142857142,0.5099601593625498,,0.4,0.2,0.0,0.5238095238095238,0.4117647058823529,0.7224435590969456,0.0,0.6458333333333334,,0.0,0.3333333333333333,0.0,0.5,0.71875
NE,2018,0.7162726008344924,0.42641241505223654,0.42857142857142855,0.4375,,0.375,0.32989690721649484,0.6666666666666666,0.5476190476190477,0.3776595744680851,0.7297212652677733,0.7291666666666666,0.3333333333333333,,0.4,0.7254901960784313,1.0,0.6666666666666666,0.75
NV,2018,0.7197271560748295,0.38867246029367697,0.35493230174081236,0.4749034749034749,,0.4444444444444444,0.28858578607322327,0.574468085106383,0.48358862144420134,0.3924466338259442,0.6800820302486542,0.6680327868852459,0.4482758620689655,,0.6666666666666666,0.5415730337078651,0.5384615384615384,0.63125,0.632258064516129
NH,2018,0.760733115741903,0.42893299587052086,0.27956989247311825,0.42857142857142855,0.0,0.6,0.4624277456647399,1.0,0.5918367346938775,0.408,0.7351102336294834,0.75,1.0,0.0,0.0,0.8024691358024691,1.0,0.6923076923076923,0.78125
NJ,2018,0.7438940164500534,0.45353457393591173,0.3759219088937093,0.5375,,0.475,0.533887987012987,0.3157894736842105,0.5104311543810849,0.470954356846473,0.7004325685812846,0.644865925441465,0.6666666666666666,,0.45454545454545453,0.7751965689778413,0.25,0.633177570093458,0.7594594594594595
NM,2018,0.7071518769372058,0.412586315128688,0.39655172413793105,0.4759933774834437,1.0,0.42857142857142855,0.4294478527607362,0.7777777777777778,0.5238970588235294,0.47465437788018433,0.748491879350348,0.8181818181818182,0.525,0.0,1.0,0.78125,1.0,0.6095238095238096,0.7464788732394366
NY,2018,0.7341027557488279,0.4229552704812326,0.34918863226581953,0.5101214574898786,1.0,0.40594059405940597,0.3608378292605522,0.4473684210526316,0.5051319648093842,0.4437992534218167,0.688035352159569,0.6261955366631243,0.5692307692307692,0.0,0.5333333333333333,0.6676202860858258,0.5,0.6126820908311911,0.6939024390243902
NC,2018,0.7292334876217181,0.44288536028525255,0.38495626822157436,0.49364791288566245,0.5,0.47674418604651164,0.4597846738442052,0.5869565217391305,0.4930612244897959,0.42058823529411765,0.7525809396727299,0.7496863237139272,0.5955056179775281,0.0,0.4666666666666667,0.8100147275405007,0.8666666666666667,0.5658914728682171,0.759090909090909
ND,2018,0.7070707070707071,0.4246913580246914,0.2698412698412698,0.5151515151515151,,0.39285714285714285,0.33962264150943394,0.6666666666666666,0.6153846153846154,0.29850746268656714,0.6869734283862605,0.5454545454545454,0.5263157894736842,,0.4166666666666667,0.5454545454545454,0.0,0.75,0.5882352941176471
OH,2018,0.7547115152490544,0.39826511550483656,0.35085692278066627,0.48717948717948717,,0.5428571428571428,0.4434250764525994,0.5294117647058824,0.530562347188264,0.38813229571984437,0.720567669757083,0.7220512820512821,0.3,,0.6,0.8081395348837209,0.4,0.6024096385542169,0.7317073170731707
