state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7429944314711694,0.466698102086526,0.33781015251536534,0.5955056179775281,0.0,0.16666666666666666,0.3758169934640523,1.0,0.357487922705314,0.33676975945017185,0.7980378890392422,0.7397769516728625,0.8709677419354839,0.0,0.0,0.8061224489795918,1.0,0.8095238095238095,0.6538461538461539
AK,2018,0.7323745064861816,0.4672015101462954,0.4305555555555556,0.5161290322580645,0.25548387096774194,0.3409090909090909,0.16417910447761194,0.23076923076923078,0.47619047619047616,0.3855932203389831,0.7185978578383642,0.75,0.8333333333333334,0.3103448275862069,0.4444444444444444,0.45454545454545453,0.6,0.75,0.6823529411764706
AZ,2018,0.7588123929440755,0.43860720830788025,0.38095238095238093,0.3774193548387097,0.4,0.3106796116504854,0.4520098441345365,0.36923076923076925,0.40274599542334094,0.37087378640776697,0.7793003218104433,0.8102409638554217,0.70703125,0.5,0.7,0.7900990099009901,0.7777777777777778,0.7364620938628159,0.7453183520599251
AR,2018,0.7392490487472181,0.42032848912202253,0.3470958712386284,0.5063291139240507,,0.26666666666666666,0.3553299492385787,0.18181818181818182,0.34767025089605735,0.40860215053763443,0.7796357121528814,0.7782805429864253,0.7777777777777778,,0.0,0.7090909090909091,1.0,0.8333333333333334,0.7941176470588235
CA,2018,0.7717374083254542,0.42397071219608945,0.40154259670445247,0.401854714064915,0.23076923076923078,0.37555555555555553,0.4553792534164909,0.30141287284144425,0.3852059842934234,0.4014135998050207,0.7342218080149114,0.7424601829888173,0.779291553133515,0.4,0.7083333333333334,0.7347458166316727,0.6578947368421053,0.7560975609756098,0.7413851927669737
CO,2018,0.7574266913690666,0.4921526695422089,0.38625,0.4293193717277487,0.2,0.46153846153846156,0.4552929085303186,0.3888888888888889,0.47513089005235604,0.4190260475651189,0.7938711588927453,0.7707317073170732,0.9024390243902439,1.0,0.75,0.7596371882086168,0.9090909090909091,0.7926829268292683,0.795774647887324
CT,2018,0.777407126611069,0.4938424407450956,0.3078896728672226,0.32432432432432434,,0.3333333333333333,0.5061315496098104,0.4,0.3620689655172414,0.38848920863309355,0.7642079806529625,0.6453744493392071,0.7777777777777778,,0.0,0.8033826638477801,1.0,0.7910447761194029,0.7916666666666666
DE,2018,0.7608741778060684,0.45054031587697424,0.3584656084656085,0.35,,0.4,0.5297619047619048,0.3333333333333333,0.3287671232876712,0.3670886075949367,0.7545150501672241,0.7168141592920354,0.6666666666666666,,1.0,0.810126582278481,0.5,0.5882352941176471,0.8
FL,2018,0.7463027546120798,0.4498516695070378,0.336888657648283,0.4696969696969697,0.2,0.3392857142857143,0.43632639125981565,0.21621621621621623,0.47329919531821507,0.4161319890009166,0.7766942439711318,0.7654603756298671,0.7368421052631579,0.0,0.8333333333333334,0.7618181818181818,0.6666666666666666,0.7895927601809954,0.7522123893805309
GA,2018,0.7570656977315133,0.482041752562353,0.3808740021397416,0.4230769230769231,,0.48484848484848486,0.473491773308958,0.3170731707317073,0.4091836734693878,0.4278403275332651,0.806108215255855,0.7678452301534356,0.8260869565217391,,0.8,0.7884210526315789,1.0,0.7948717948717948,0.8142857142857143
HI,2018,0.7485448195576252,0.4570048309178744,0.4012738853503185,0.2777777777777778,0.0,0.0,0.3727052303429165,0.23773584905660378,0.3925233644859813,0.41179941002949855,0.7184567257559958,0.8235294117647058,0.8,0.0,0.0,0.6562220232766338,0.54,0.8571428571428571,0.7013651877133106
ID,2018,0.7453115547489413,0.42385586533403474,0.375,0.41379310344827586,0.3333333333333333,0.3333333333333333,0.28,0.3333333333333333,0.42783505154639173,0.32941176470588235,0.7876261518209741,0.8333333333333334,0.95,0.0,0.0,0.7037037037037037,0.75,0.7391304347826086,0.6153846153846154
IL,2018,0.76411603199236,0.46536896189757093,0.3537702607470049,0.4025974025974026,0.5,0.4523809523809524,0.49748595090209996,0.30303030303030304,0.3990509059534081,0.3785834738617201,0.7772751463544438,0.733957219251337,0.782608695652174,0.0,0.8,0.8048624440179143,0.6666666666666666,0.7698019801980198,0.796923076923077
IN,2018,0.7543829592827366,0.4231548480463097,0.31986531986531985,0.509090909090909,0.0,0.3125,0.3884673748103187,0.1875,0.3903345724907063,0.40142095914742454,0.7781460279200563,0.7142857142857143,1.0,0.0,0.6666666666666666,0.7802690582959642,0.5,0.7052631578947368,0.8031496062992126
IA,2018,0.7500704423781347,0.4270485945688423,0.21621621621621623,0.2978723404255319,,0.38461538461538464,0.2757352941176471,0.2,0.3443708609271523,0.2621951219512195,0.7757872902130869,0.5666666666666667,1.0,,1.0,0.7384615384615385,1.0,0.7058823529411765,0.7142857142857143
KS,2018,0.7413804010881255,0.455577774603628,0.31655844155844154,0.45864661654135336,0.25,0.3333333333333333,0.4144927536231884,0.3125,0.3860294117647059,0.35121951219512193,0.7996465650541197,0.792,0.9,0.0,0.6666666666666666,0.744,0.4,0.7741935483870968,0.8260869565217391
KY,2018,0.7510224484231574,0.43210187235755987,0.32142857142857145,0.36363636363636365,1.0,0.5555555555555556,0.42138364779874216,0.13333333333333333,0.37572254335260113,0.3173076923076923,0.7798379557494547,0.7669491525423728,0.75,0.0,0.0,0.8037383177570093,0.6666666666666666,0.9166666666666666,0.8064516129032258
ME,2018,0.7455012853470437,0.42151119122727954,0.21333333333333335,0.275,,0.6666666666666666,0.3157894736842105,0.0,0.26666666666666666,0.3181818181818182,0.7651331719128329,0.75,0.6666666666666666,,1.0,0.6956521739130435,0.0,0.75,0.8421052631578947
MD,2018,0.7795430473596611,0.5261265580057526,0.45566502463054187,0.4666666666666667,,0.75,0.524822695035461,0.3333333333333333,0.37320574162679426,0.4551282051282051,0.8002717391304348,0.7597597597597597,1.0,,0.5,0.813953488372093,0.6666666666666666,0.7619047619047619,0.7142857142857143
MI,2018,0.7679771236602143,0.4265348090297835,0.30307985827200873,0.398576512455516,,0.3333333333333333,0.4880174291938998,0.36363636363636365,0.46099290780141844,0.3512623490669594,0.7760966222045258,0.7545691906005222,0.8,,0.5,0.7941176470588235,1.0,0.7727272727272727,0.7603686635944701
MN,2018,0.7492343896070404,0.45636086817972593,0.23858447488584475,0.38661710037174724,1.0,0.28205128205128205,0.32325581395348835,0.14285714285714285,0.3609022556390977,0.3695652173913043,0.7599744362275176,0.7404580152671756,0.7916666666666666,0.0,0.5,0.7196969696969697,0.3333333333333333,0.6486486486486487,0.8035714285714286
MS,2018,0.725680491318523,0.4677085727418984,0.33916083916083917,0.49056603773584906,,0.6,0.3695652173913043,0.3333333333333333,0.3018867924528302,0.43410852713178294,0.7897345132743363,0.7380191693290735,0.8571428571428571,,0.0,0.8125,0.0,0.6875,0.8181818181818182
MO,2018,0.7456733198585144,0.43097427125650345,0.34001823154056515,0.4854368932038835,0.75,0.42857142857142855,0.46823956442831216,0.10810810810810811,0.4666666666666667,0.38492063492063494,0.7750561797752809,0.7884615384615384,0.8461538461538461,0.0,0.6666666666666666,0.8108108108108109,0.3333333333333333,0.7142857142857143,0.801980198019802
