state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7601940003592599,0.2772014617470235,0.2597313908490781,0.29213483146067415,0.0,0.16666666666666666,0.23202614379084968,0.3333333333333333,0.2560386473429952,0.23711340206185566,0.5808525033829499,0.3680297397769517,0.3870967741935484,0.0,0.0,0.4897959183673469,0.5,0.6190476190476191,0.38461538461538464
AK,2018,0.6959954878736605,0.31052383199622463,0.25,0.22580645161290322,0.23741935483870968,0.1590909090909091,0.14925373134328357,0.46153846153846156,0.2857142857142857,0.2669491525423729,0.5199610516066212,0.2916666666666667,0.4166666666666667,0.2896551724137931,0.4444444444444444,0.1590909090909091,0.6,0.3,0.4
AZ,2018,0.760344983021306,0.28100183262064754,0.2725274725274725,0.24903225806451612,0.4,0.23300970873786409,0.29204265791632483,0.23076923076923078,0.2374141876430206,0.2689320388349515,0.5771826014740995,0.39759036144578314,0.35546875,0.0,0.2,0.500990099009901,0.4444444444444444,0.36823104693140796,0.4419475655430712
AR,2018,0.7836169143513533,0.233812021669963,0.2624212736179146,0.13924050632911392,,0.2,0.25380710659898476,0.18181818181818182,0.23655913978494625,0.2903225806451613,0.5527022991937892,0.38009049773755654,0.3888888888888889,,0.5,0.5454545454545454,1.0,0.2777777777777778,0.5
CA,2018,0.7195206092045077,0.28429995206849246,0.2937945541661797,0.25656877897990726,0.23076923076923078,0.27555555555555555,0.2645143538475649,0.24803767660910517,0.21660158820690562,0.2828418230563003,0.5415657036346692,0.3896984073195527,0.32697547683923706,0.2,0.3541666666666667,0.4049118788572883,0.3631578947368421,0.30600722673893405,0.44387581030365064
CO,2018,0.751772823101003,0.3242596687085433,0.31,0.2670157068062827,0.6,0.23076923076923078,0.2538540596094553,0.19444444444444445,0.2395287958115183,0.27519818799546997,0.5980699229662236,0.47804878048780486,0.4634146341463415,0.0,0.08333333333333333,0.4308390022675737,0.18181818181818182,0.3597560975609756,0.4859154929577465
CT,2018,0.7263583522870862,0.3472987189801349,0.27132777421423987,0.1891891891891892,,0.4666666666666667,0.326644370122631,0.4,0.21982758620689655,0.29256594724220625,0.5836759371221282,0.36123348017621143,0.2222222222222222,,1.0,0.507399577167019,0.5,0.27611940298507465,0.5166666666666667
DE,2018,0.7349883301506471,0.28733721252424493,0.2843915343915344,0.35,,0.2,0.35119047619047616,0.6666666666666666,0.2876712328767123,0.26582278481012656,0.5558528428093645,0.3938053097345133,0.0,,1.0,0.5569620253164557,1.0,0.17647058823529413,0.4
FL,2018,0.7608693454637352,0.2941362115760904,0.2721123829344433,0.3434343434343434,0.4,0.26785714285714285,0.27347217480368724,0.21621621621621623,0.2626188734455011,0.2841429880843263,0.5979581059672593,0.41181859825927625,0.42105263157894735,0.0,0.5,0.47363636363636363,0.3333333333333333,0.4434389140271493,0.4690265486725664
GA,2018,0.7500932927428067,0.31767370285415636,0.2801415521356267,0.2980769230769231,,0.36363636363636365,0.2929616087751371,0.2926829268292683,0.22346938775510203,0.27942681678607983,0.626018647676382,0.4162775183455637,0.391304347826087,,0.7,0.4673684210526316,0.42857142857142855,0.358974358974359,0.475
HI,2018,0.692019143707153,0.32560386473429953,0.3057324840764331,0.2777777777777778,0.0,0.0,0.19847592656737098,0.22641509433962265,0.21495327102803738,0.2519174041297935,0.5641293013555787,0.47058823529411764,0.6,0.0,0.0,0.341987466427932,0.355,0.42857142857142855,0.36689419795221845
ID,2018,0.7897156684815487,0.25907417148869016,0.3125,0.23275862068965517,0.0,0.2777777777777778,0.2,0.4166666666666667,0.20103092783505155,0.18235294117647058,0.5875383940324704,0.5,0.35,0.0,0.0,0.48148148148148145,0.5,0.2608695652173913,0.38461538461538464
IL,2018,0.7478960248298914,0.2966427874256459,0.27219873150105706,0.14285714285714285,0.0,0.2857142857142857,0.29488317065956815,0.30303030303030304,0.22605694564279552,0.2723440134907251,0.572157175802732,0.3663101604278075,0.2608695652173913,0.0,0.4,0.4779270633397313,0.6666666666666666,0.34405940594059403,0.47692307692307695
IN,2018,0.780395180172463,0.24647049364849655,0.2582972582972583,0.2727272727272727,0.0,0.25,0.26403641881638845,0.4375,0.23605947955390336,0.25932504440497334,0.5560911921261424,0.3557951482479784,0.4444444444444444,0.0,0.3333333333333333,0.547085201793722,0.0,0.29473684210526313,0.48031496062992124
IA,2018,0.7817413355874895,0.24398523106241068,0.2533783783783784,0.2765957446808511,,0.23076923076923078,0.20588235294117646,0.2,0.23841059602649006,0.2804878048780488,0.5436545351687724,0.4,0.5555555555555556,,1.0,0.49230769230769234,0.5,0.29411764705882354,0.5714285714285714
KS,2018,0.7753526918453849,0.27431795457791747,0.2711038961038961,0.2932330827067669,0.25,0.1111111111111111,0.28695652173913044,0.1875,0.22794117647058823,0.2682926829268293,0.589573669096532,0.408,0.43333333333333335,0.0,0.0,0.496,0.2,0.2903225806451613,0.5434782608695652
KY,2018,0.7782422975552122,0.25442923293738673,0.2748447204968944,0.18181818181818182,1.0,0.1111111111111111,0.27044025157232704,0.26666666666666666,0.21965317919075145,0.266025641025641,0.5635712059831723,0.3813559322033898,0.5,0.0,0.0,0.514018691588785,0.3333333333333333,0.16666666666666666,0.43548387096774194
LA,2018,0.7396816180384187,0.2794348508634223,0.25241918879967057,0.23232323232323232,0.0,0.3333333333333333,0.2296983758700696,0.3333333333333333,0.23109243697478993,0.23415977961432508,0.5454064538882032,0.36058230683090703,0.32142857142857145,0.0,1.0,0.46825396825396826,0.0,0.25,0.411214953271028
MA,2018,0.7361768958468365,0.3390195127863289,0.2974404236540159,0.27906976744186046,0.0,0.25,0.32841872465904903,0.17647058823529413,0.22679509632224168,0.2809734513274336,0.5881737632291411,0.4119448698315467,0.45,0.0,1.0,0.5273972602739726,0.14285714285714285,0.33858267716535434,0.44982698961937717
ME,2018,0.7894361170592434,0.24792139077853365,0.38095238095238093,0.2857142857142857,,0.5,0.07142857142857142,,0.75,0.25,0.5639810426540285,1.0,0.0,,0.0,0.0,,1.0,0.75
MD,2018,0.7118213183221355,0.3818753273965427,0.3044318474619943,0.32075471698113206,1.0,0.30434782608695654,0.32941176470588235,0.32,0.22393472348141433,0.3225433526011561,0.627767320964417,0.4058898847631242,0.3333333333333333,1.0,0.4444444444444444,0.49523809523809526,0.375,0.33004926108374383,0.4632768361581921
MI,2018,0.7764757638777795,0.273804847616627,0.2698282910874898,0.2526690391459075,,0.24561403508771928,0.3115468409586057,0.2727272727272727,0.2647754137115839,0.2722283205268935,0.5892229079567324,0.41383812010443866,0.43333333333333335,,0.25,0.4953560371517028,0.0,0.45454545454545453,0.5299539170506913
MN,2018,0.7527803745849586,0.2845660871720426,0.2694063926940639,0.2788104089219331,0.0,0.28205128205128205,0.21627906976744185,0.42857142857142855,0.19924812030075187,0.24782608695652175,0.5521774856203779,0.3893129770992366,0.625,0.0,0.5,0.45075757575757575,0.6666666666666666,0.24324324324324326,0.3392857142857143
MS,2018,0.749943134430207,0.28889910365433236,0.2664835164835165,0.3018867924528302,,0.4,0.2391304347826087,0.3333333333333333,0.3584905660377358,0.24806201550387597,0.5936283185840708,0.4073482428115016,0.42857142857142855,,0.0,0.5625,0.0,0.625,0.42424242424242425
MO,2018,0.7780128852956039,0.26202694034637586,0.26207839562443025,0.3106796116504854,0.0,0.2857142857142857,0.32304900181488205,0.2702702702702703,0.18974358974358974,0.2718253968253968,0.5792134831460675,0.3696581196581197,0.38461538461538464,0.0,0.6666666666666666,0.5720720720720721,0.4444444444444444,0.21428571428571427,0.49504950495049505
MT,2018,0.7649643053267435,0.25663010967098704,0.21428571428571427,0.23904382470119523,,0.3,0.1,0.3333333333333333,0.2857142857142857,0.2773109243697479,0.545816733067729,1.0,0.3125,,0.0,0.1111111111111111,0.0,0.5,0.46875
NE,2018,0.7677329624478443,0.2865402170605538,0.2669172932330827,0.2916666666666667,,0.25,0.26804123711340205,0.6666666666666666,0.23809523809523808,0.2393617021276596,0.5916066395239586,0.375,0.4166666666666667,,0.4,0.47058823529411764,1.0,0.47619047619047616,0.4166666666666667
NV,2018,0.7349902073343689,0.25801618219958045,0.2765957446808511,0.277992277992278,,0.2777777777777778,0.1981335247666906,0.20212765957446807,0.20933625091174327,0.24302134646962234,0.5101256088182518,0.38524590163934425,0.3448275862068966,,0.1111111111111111,0.3303370786516854,0.23076923076923078,0.3125,0.4258064516129032
NH,2018,0.7715289982425307,0.3059810843213001,0.26881720430107525,0.2857142857142857,1.0,0.2,0.31213872832369943,0.3333333333333333,0.20408163265306123,0.336,0.6005264889766371,0.5625,1.0,0.0,0.0,0.4691358024691358,0.3333333333333333,0.23076923076923078,0.71875
NJ,2018,0.707708084803583,0.3367921561901495,0.2704989154013015,0.1875,,0.375,0.3443587662337662,0.3157894736842105,0.22902178952248492,0.27800829875518673,0.5626129332530252,0.3655984303466318,0.2962962962962963,,0.5454545454545454,0.48141529664045746,0.5,0.3247663551401869,0.42702702702702705
NM,2018,0.7710940190563655,0.27573760200878844,0.27586206896551724,0.23096026490066227,0.0,0.14285714285714285,0.294478527607362,0.5555555555555556,0.2426470588235294,0.3548387096774194,0.6069605568445475,0.45454545454545453,0.28125,0.0,0.5,0.453125,0.6666666666666666,0.3333333333333333,0.5492957746478874
NY,2018,0.7176400927966143,0.3002511369035499,0.28745599725251136,0.242914979757085,0.0,0.27722772277227725,0.24024119327197715,0.2631578947368421,0.21499266862170088,0.28204064703442555,0.545173885408154,0.37274176408076515,0.4,0.0,0.4,0.39973992197659297,0.16666666666666666,0.2887746358183376,0.4146341463414634
NC,2018,0.7636890928995332,0.31634302131698433,0.2796501457725947,0.30490018148820325,0.5,0.38372093023255816,0.30208993033565545,0.34782608695652173,0.24653061224489795,0.25,0.6366317859400239,0.4397741530740276,0.48314606741573035,0.0,0.7333333333333333,0.49779086892488955,0.5333333333333333,0.4108527131782946,0.5
ND,2018,0.7384960718294051,0.28444444444444444,0.19047619047619047,0.2545454545454545,,0.2857142857142857,0.16981132075471697,0.3333333333333333,0.15384615384615385,0.22388059701492538,0.5385612443292288,0.2727272727272727,0.3157894736842105,,0.16666666666666666,0.2727272727272727,0.0,0.25,0.29411764705882354
OH,2018,0.773509294278587,0.2735309893280559,0.26882341613710764,0.3717948717948718,,0.34285714285714286,0.30198776758409784,0.47058823529411764,0.22982885085574573,0.24319066147859922,0.5809291966644222,0.4041025641025641,0.3,,0.4,0.5387596899224806,0.8,0.3132530120481928,0.3902439024390244
OK,2018,0.7606742200145113,0.2531835205992509,0.27461139896373055,0.2900262467191601,1.0,0.3380281690140845,0.2389937106918239,0.4,0.22885572139303484,0.2645211930926217,0.5597178302116274,0.40804597701149425,0.3988439306358382,1.0,0.4666666666666667,0.48936170212765956,0.0,0.2608695652173913,0.44649446494464945
OR,2018,0.7620785619781925,0.28096947935368044,0.2508038585209003,0.22270742358078602,0.21428571428571427,0.2631578947368421,0.27193932827735645,0.2087912087912088,0.2391304347826087,0.28311057108140947,0.5691533948030176,0.33783783783783783,0.29310344827586204,0.0,0.2,0.46475195822454307,0.29411764705882354,0.3375,0.5165876777251185
PA,2018,0.7669819054869123,0.2681158223352769,0.26043533930857876,0.3220338983050847,0.6666666666666666,0.23809523809523808,0.2792887029288703,0.13333333333333333,0.21556122448979592,0.2640449438202247,0.5580636509923118,0.3745583038869258,0.45,0.5,0.0,0.5012987012987012,0.0,0.3484848484848485,0.5106382978723404
RI,2018,0.7429971988795518,0.2891101178382771,0.29347826086956524,0.4166666666666667,,0.4,0.19801980198019803,0.0,0.16993464052287582,0.2978723404255319,0.54624145785877,0.3194444444444444,0.6,,0.0,0.3611111111111111,0.0,0.15384615384615385,0.6666666666666666
SC,2018,0.763374733711162,0.29933517107183394,0.2608867775138559,0.2112676056338028,0.0,0.35294117647058826,0.2557603686635945,0.5294117647058824,0.24147727272727273,0.24193548387096775,0.612030988910831,0.4007731958762887,0.3333333333333333,0.0,0.3333333333333333,0.45,1.0,0.46511627906976744,0.5
SD,2018,0.7650540926719739,0.2591414944356121,0.3333333333333333,0.2727272727272727,0.0,0.3235294117647059,0.16,,0.17857142857142858,0.2692307692307692,0.5533596837944664,0.25,0.3225806451612903,0.0,1.0,0.375,,0.5,0.375
TN,2018,0.7751963062082757,0.276297730072145,0.271358024691358,0.2,0.5,0.23529411764705882,0.28448275862068967,0.23076923076923078,0.20460358056265984,0.2639175257731959,0.6020738820479585,0.3907766990291262,0.16666666666666666,1.0,0.0,0.497737556561086,1.0,0.39473684210526316,0.5051546391752577
TX,2018,0.7553706483034637,0.29089620635895497,0.29499561018437226,0.3187022900763359,0.125,0.24187725631768953,0.30498406259055344,0.2376237623762376,0.23041880969875092,0.29323819232076115,0.5867030026269917,0.4254821741671537,0.43333333333333335,0.3333333333333333,0.3793103448275862,0.49412884798476675,0.38235294117647056,0.3179765130984643,0.47685683530678147
UT,2018,0.8016159637632368,0.2720060187401683,0.3049645390070922,0.3270440251572327,1.0,0.21052631578947367,0.2658536585365854,0.27350427350427353,0.23279352226720648,0.272,0.6207168176447421,0.3333333333333333,0.4444444444444444,0.0,0.0,0.6048387096774194,0.39285714285714285,0.3108108108108108,0.4444444444444444
VT,2018,0.7719670825590655,0.27995582551076753,0.3333333333333333,0.5,,0.0,0.18,,0.11764705882352941,0.17777777777777778,0.5758538522637013,0.4,1.0,,0.0,0.3125,,0.3333333333333333,0.5555555555555556
VA,2018,0.7454056865464632,0.36089497019702266,0.288594643394523,0.26595744680851063,0.0,0.3333333333333333,0.31297709923664124,0.30612244897959184,0.231990231990232,0.3377125193199382,0.6450278839526286,0.4046875,0.45161290322580644,0.0,0.5,0.4678727386150967,0.4,0.3815028901734104,0.5132743362831859
