state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.8007454643434525,0.29081692797359426,0.12451627589346688,0.24719101123595505,0.0,0.0,0.3137254901960784,0.6666666666666666,0.0821256038647343,0.16151202749140894,0.6123139377537212,0.40892193308550184,0.5483870967741935,0.0,0.0,0.7346938775510204,1.0,0.42857142857142855,0.5
AK,2018,0.7447828539199097,0.32090608777725343,0.18055555555555555,0.25806451612903225,0.07354838709677419,0.022727272727272728,0.13432835820895522,0.038461538461538464,0.19047619047619047,0.1483050847457627,0.5355404089581305,0.2916666666666667,0.5,0.2,0.1111111111111111,0.4318181818181818,0.0,0.35,0.3411764705882353
AZ,2018,0.7972172972323226,0.29780085522296884,0.18315018315018314,0.08774193548387096,0.2,0.10679611650485436,0.3781788351107465,0.18461538461538463,0.10526315789473684,0.17378640776699028,0.6144503270009343,0.5180722891566265,0.31640625,0.0,0.4,0.7366336633663366,0.4444444444444444,0.36823104693140796,0.5056179775280899
AR,2018,0.8101084069208127,0.24395906784762234,0.12526242127361792,0.1518987341772152,,0.06666666666666667,0.29949238578680204,0.09090909090909091,0.05734767025089606,0.17921146953405018,0.5771872200656912,0.4660633484162896,0.5555555555555556,,0.5,0.7090909090909091,1.0,0.16666666666666666,0.45588235294117646
CA,2018,0.7697288733294151,0.2985306513726592,0.19516185579058082,0.14296754250386398,0.15384615384615385,0.11333333333333333,0.35873918493381024,0.11616954474097331,0.0787961216162857,0.201681696319766,0.5684808946877913,0.4235852253473399,0.39509536784741145,0.4,0.3125,0.6181205064579754,0.29473684210526313,0.269873532068654,0.4752644148754691
CO,2018,0.7740688685874912,0.3405342709050709,0.20375,0.13089005235602094,0.2,0.06153846153846154,0.394655704008222,0.19444444444444445,0.11780104712041885,0.21970554926387317,0.6296453060187929,0.5560975609756098,0.3170731707317073,0.0,0.08333333333333333,0.6893424036281179,0.36363636363636365,0.32926829268292684,0.5387323943661971
CT,2018,0.7602729340409401,0.36066588278977657,0.1539448364336113,0.05405405405405406,,0.0,0.47045707915273133,0.2,0.08620689655172414,0.2038369304556355,0.6076178960096735,0.381057268722467,0.2222222222222222,,0.0,0.7970401691331924,0.5,0.27611940298507465,0.5333333333333333
DE,2018,0.7812433694037768,0.2995289553893045,0.17857142857142858,0.1,,0.2,0.5297619047619048,0.3333333333333333,0.0958904109589041,0.13924050632911392,0.5839464882943144,0.4690265486725664,0.3333333333333333,,1.0,0.8987341772151899,0.5,0.29411764705882354,0.6
FL,2018,0.7928026282537276,0.30913337120494855,0.1495837669094693,0.20202020202020202,0.2,0.07142857142857142,0.3639467395015364,0.14864864864864866,0.1506949524506218,0.20531622364802934,0.6280936454849498,0.4745762711864407,0.43859649122807015,0.0,0.5,0.7227272727272728,0.5555555555555556,0.48868778280542985,0.5504424778761062
GA,2018,0.8018658548561328,0.330362068464911,0.18089046169039585,0.21153846153846154,,0.24242424242424243,0.43007312614259596,0.17073170731707318,0.11632653061224489,0.240532241555783,0.6564863079069084,0.5016677785190127,0.5217391304347826,,0.6,0.7589473684210526,0.5714285714285714,0.40384615384615385,0.6357142857142857
HI,2018,0.7506144095201138,0.34009661835748795,0.19745222929936307,0.2222222222222222,0.0,0.0,0.2348458607551091,0.09182389937106918,0.14018691588785046,0.15693215339233038,0.5860271115745568,0.43137254901960786,0.8,0.0,0.0,0.4726947179946285,0.255,0.42857142857142855,0.36860068259385664
ID,2018,0.8006049606775559,0.26735928458705943,0.14583333333333334,0.1206896551724138,0.0,0.1111111111111111,0.28,0.25,0.10824742268041238,0.10588235294117647,0.6059675296182536,0.6666666666666666,0.45,0.0,0.0,0.7037037037037037,0.75,0.21739130434782608,0.4230769230769231
IL,2018,0.7801122120090724,0.30680834607097474,0.15081042988019733,0.07792207792207792,0.0,0.16666666666666666,0.4306418219461698,0.24242424242424243,0.08455565142364108,0.1905564924114671,0.594598190526876,0.4124331550802139,0.17391304347826086,0.0,0.8,0.7587971849008317,0.6666666666666666,0.30445544554455445,0.5507692307692308
IN,2018,0.8013534349837245,0.25383502170767,0.1341991341991342,0.2,0.0,0.1875,0.3490136570561457,0.1875,0.0724907063197026,0.1847246891651865,0.580194837802551,0.41509433962264153,0.7777777777777778,0.0,0.6666666666666666,0.7802690582959642,0.5,0.17894736842105263,0.5039370078740157
IA,2018,0.7947590870667793,0.25119104335397807,0.08108108108108109,0.14893617021276595,,0.23076923076923078,0.22058823529411764,0.1,0.08609271523178808,0.1524390243902439,0.5645860833490477,0.4,0.6666666666666666,,1.0,0.6923076923076923,0.5,0.23529411764705882,0.6785714285714286
KS,2018,0.7958499399000443,0.28288815883445223,0.16071428571428573,0.15789473684210525,0.0,0.2222222222222222,0.37971014492753624,0.125,0.09558823529411764,0.17804878048780487,0.6123260437375746,0.536,0.5,0.0,0.3333333333333333,0.728,0.4,0.41935483870967744,0.5652173913043478
KY,2018,0.8004635099518314,0.26676062009261126,0.14363354037267081,0.18181818181818182,1.0,0.0,0.3584905660377358,0.06666666666666667,0.057803468208092484,0.14743589743589744,0.5953568089747585,0.4872881355932203,0.5,0.0,0.0,0.7570093457943925,0.0,0.25,0.5483870967741935
