state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7791449613795581,0.33584816692207947,0.302754381971318,0.3595505617977528,0.0,0.5,0.20915032679738563,0.6666666666666666,0.17391304347826086,0.3161512027491409,0.6843707713125846,0.6034696406443618,0.41935483870967744,0.0,0.0,0.5102040816326531,0.5,0.38095238095238093,0.5384615384615384
AK,2018,0.7216582064297801,0.3449740443605474,0.4305555555555556,0.2903225806451613,0.28516129032258064,0.18181818181818182,0.04975124378109453,0.038461538461538464,0.2619047619047619,0.2796610169491525,0.5861733203505355,0.6666666666666666,0.16666666666666666,0.4,0.2222222222222222,0.18181818181818182,0.2,0.35,0.47058823529411764
AZ,2018,0.7765423565826246,0.32479383017715335,0.3487179487179487,0.2793548387096774,0.4,0.39805825242718446,0.25676784249384743,0.2,0.26887871853546913,0.3116504854368932,0.6612685560053981,0.6897590361445783,0.375,0.5,0.5,0.49504950495049505,0.4444444444444444,0.3935018050541516,0.5692883895131086
AR,2018,0.7930935458396152,0.2794737294694299,0.2834149755073478,0.27848101265822783,,0.3333333333333333,0.18274111675126903,0.13636363636363635,0.2078853046594982,0.3010752688172043,0.6386981188414452,0.6153846153846154,0.5,,0.5,0.43636363636363634,1.0,0.2777777777777778,0.6029411764705882
CA,2018,0.7484782664247566,0.3282316579343173,0.3526937010634568,0.31452859350850076,0.38461538461538464,0.2911111111111111,0.2414320217677092,0.18681318681318682,0.26214188566665203,0.33646112600536193,0.6243988816402609,0.592680447305998,0.45231607629427795,0.6,0.4583333333333333,0.4306801552459121,0.3105263157894737,0.3507226738934056,0.5916069600818833
CO,2018,0.773046700313039,0.3752220087716119,0.34875,0.31413612565445026,0.4,0.47692307692307695,0.2620760534429599,0.3055555555555556,0.29450261780104714,0.33748584371460927,0.6821298569372725,0.6780487804878049,0.6341463414634146,0.0,0.5,0.48072562358276644,0.45454545454545453,0.45121951219512196,0.5985915492957746
CT,2018,0.7593631539044731,0.39148462157311714,0.31173829377806284,0.2702702702702703,,0.4666666666666667,0.3166109253065775,0.2,0.28304597701149425,0.290167865707434,0.656590084643289,0.5374449339207048,0.4444444444444444,,0.0,0.5560253699788583,0.5,0.44776119402985076,0.5416666666666666
DE,2018,0.772756206238065,0.33582709891936824,0.3425925925925926,0.25,,0.4,0.36904761904761907,0.3333333333333333,0.273972602739726,0.27848101265822783,0.6434782608695652,0.6061946902654868,0.0,,1.0,0.6962025316455697,0.5,0.47058823529411764,0.7333333333333333
FL,2018,0.7773768006065201,0.3335731868964211,0.2994276795005203,0.3434343434343434,0.2,0.2857142857142857,0.2502560600887675,0.25675675675675674,0.2944403803950256,0.3208065994500458,0.6677345537757438,0.6262024736601007,0.42105263157894735,0.0,0.5,0.52,0.5555555555555556,0.4683257918552036,0.5946902654867257
GA,2018,0.7783560836688599,0.3633750471821376,0.3337996872685376,0.41346153846153844,,0.3333333333333333,0.28153564899451555,0.17073170731707318,0.30306122448979594,0.34083930399181167,0.7039130753982821,0.6501000667111407,0.5652173913043478,,0.4,0.5294736842105263,0.42857142857142855,0.5192307692307693,0.6357142857142857
