state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.801643614154841,0.31256630908876576,0.22763487366264512,0.34831460674157305,0.0,0.16666666666666666,0.22549019607843138,0.3333333333333333,0.12560386473429952,0.25773195876288657,0.6557848443843031,0.6220570012391574,0.7096774193548387,0.0,0.0,0.5510204081632653,0.5,0.6666666666666666,0.7115384615384616
AK,2018,0.7498589960518894,0.3124115148655026,0.3333333333333333,0.3225806451612903,0.0,0.20454545454545456,0.09950248756218906,0.15384615384615385,0.30952380952380953,0.2627118644067797,0.5384615384615384,0.625,0.5,0.0,0.4444444444444444,0.2727272727272727,0.0,0.55,0.5058823529411764
AZ,2018,0.7985395318087568,0.3025351252290776,0.273992673992674,0.1503225806451613,0.0,0.24271844660194175,0.31091058244462677,0.16923076923076924,0.16132723112128147,0.2504854368932039,0.6325132357521022,0.6716867469879518,0.44921875,0.0,0.6,0.6039603960396039,0.3888888888888889,0.4693140794223827,0.6067415730337079
AR,2018,0.8100366142580229,0.25659987961131653,0.21413575927221834,0.25316455696202533,,0.26666666666666666,0.23857868020304568,0.045454545454545456,0.0967741935483871,0.2867383512544803,0.6091370558375635,0.6380090497737556,0.6111111111111112,,0.5,0.5636363636363636,0.5,0.3888888888888889,0.6764705882352942
CA,2018,0.7704341604272609,0.3066955357585574,0.28234194226948695,0.20401854714064915,0.0,0.26666666666666666,0.2839279708948607,0.15855572998430142,0.139648137586101,0.277845478917865,0.5940354147250699,0.579464588275161,0.5286103542234333,0.0,0.6458333333333334,0.48896099764586115,0.22631578947368422,0.4150858175248419,0.5759126577959741
CO,2018,0.7784450265124896,0.35177063322338614,0.27625,0.23036649214659685,0.0,0.35384615384615387,0.3103802672147996,0.19444444444444445,0.18848167539267016,0.3103057757644394,0.6514009988995175,0.6585365853658537,0.5365853658536586,0.0,0.6666666666666666,0.5510204081632653,0.45454545454545453,0.4878048780487805,0.6690140845070423
CT,2018,0.7649734647460197,0.36734946469459745,0.2155227710070558,0.21621621621621623,,0.26666666666666666,0.35451505016722407,0.2,0.15660919540229884,0.2565947242206235,0.6229746070133011,0.5308370044052864,0.5555555555555556,,0.0,0.5983086680761099,0.0,0.44776119402985076,0.625
DE,2018,0.7833651601952047,0.31033527292878915,0.24338624338624337,0.25,,0.2,0.375,0.6666666666666666,0.1643835616438356,0.17721518987341772,0.6080267558528428,0.5796460176991151,0.6666666666666666,,1.0,0.620253164556962,0.5,0.35294117647058826,0.6666666666666666
FL,2018,0.7925802375537023,0.31091333712049485,0.22329171002428028,0.2676767676767677,0.0,0.21428571428571427,0.2792762034824172,0.0945945945945946,0.22713972201901975,0.2923923006416132,0.6397465234993839,0.6202473660100779,0.5263157894736842,0.0,0.8333333333333334,0.5536363636363636,0.2777777777777778,0.6108597285067874,0.6371681415929203
GA,2018,0.8006284984778552,0.34101797276501844,0.2649164677804296,0.2980769230769231,,0.24242424242424243,0.329981718464351,0.14634146341463414,0.18571428571428572,0.2835209825997953,0.6785845385801336,0.6440960640426951,0.6956521739130435,,0.5,0.6063157894736843,0.2857142857142857,0.5705128205128205,0.6428571428571429
