state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.8041584336267289,0.3487563362018154,0.17436831322558616,0.34831460674157305,0.0,0.08333333333333333,0.3300653594771242,1.0,0.06763285024154589,0.23367697594501718,0.7041610284167794,0.5254027261462205,0.7096774193548387,0.0,0.0,0.7959183673469388,1.0,0.47619047619047616,0.6346153846153846
AK,2018,0.7681895093062606,0.3506370929683813,0.2222222222222222,0.2903225806451613,0.08903225806451613,0.022727272727272728,0.12437810945273632,0.07692307692307693,0.16666666666666666,0.1906779661016949,0.5959104186952289,0.375,0.5833333333333334,0.296551724137931,0.0,0.4090909090909091,0.2,0.35,0.4235294117647059
AZ,2018,0.8061724314090813,0.33609499083689676,0.22490842490842491,0.12645161290322582,0.4,0.0970873786407767,0.4142739950779327,0.2153846153846154,0.11384439359267734,0.21941747572815534,0.6814076611647462,0.5993975903614458,0.40234375,0.5,0.2,0.8,0.6111111111111112,0.3898916967509025,0.6142322097378277
AR,2018,0.8091033096417546,0.29271648465044287,0.16445066480055984,0.189873417721519,,0.2,0.30456852791878175,0.09090909090909091,0.05734767025089606,0.22580645161290322,0.6610928635413557,0.5610859728506787,0.6666666666666666,,0.5,0.7454545454545455,1.0,0.2777777777777778,0.5441176470588235
CA,2018,0.7946541282293716,0.3370989868270995,0.2334930466284913,0.17542503863987635,0.3076923076923077,0.13777777777777778,0.4045981228408083,0.16326530612244897,0.08467511955424911,0.24128686327077747,0.6408946877912395,0.5154185022026432,0.49591280653950953,0.8,0.4375,0.6979703505758096,0.41578947368421054,0.31842818428184283,0.5632889798703514
CO,2018,0.787580655465406,0.3875457609916996,0.2325,0.18324607329842932,0.6,0.16923076923076924,0.4316546762589928,0.25,0.12958115183246074,0.2548131370328426,0.6999915347498519,0.6292682926829268,0.4878048780487805,1.0,0.3333333333333333,0.764172335600907,0.45454545454545453,0.3597560975609756,0.6232394366197183
CT,2018,0.7803891837250442,0.40157187944798567,0.17447081462475947,0.16216216216216217,,0.06666666666666667,0.48606465997770343,0.2,0.09770114942528736,0.22302158273381295,0.667956469165659,0.44493392070484583,0.5555555555555556,,0.0,0.828752642706131,0.5,0.3656716417910448,0.575
DE,2018,0.7950350095480586,0.34497090606816294,0.21031746031746032,0.15,,0.2,0.5357142857142857,0.3333333333333333,0.1095890410958904,0.13924050632911392,0.6581939799331104,0.5309734513274337,0.6666666666666666,,1.0,0.9113924050632911,0.5,0.35294117647058826,0.6
FL,2018,0.7980490270406874,0.34458120305497697,0.1729101630246271,0.2474747474747475,0.2,0.08928571428571429,0.39638101741208603,0.17567567567567569,0.17154352596927577,0.23556370302474794,0.6863580355571203,0.5355016032982135,0.47368421052631576,0.0,0.6666666666666666,0.7672727272727272,0.6111111111111112,0.5588235294117647,0.6230088495575221
GA,2018,0.8094078365903957,0.3746987601986005,0.21668998436342687,0.25961538461538464,,0.15151515151515152,0.4538391224862888,0.1951219512195122,0.11938775510204082,0.27328556806550663,0.7223405036340944,0.5810540360240161,0.6521739130434783,,0.4,0.8136842105263158,0.5714285714285714,0.47435897435897434,0.7035714285714286
