state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7583977007364828,0.33614287398326065,0.3375825176417027,0.4044943820224719,0.0,0.5,0.3758169934640523,1.0,0.33816425120772947,0.33676975945017185,0.6657645466847091,0.5749690210656754,0.4838709677419355,0.0,1.0,0.8163265306122449,1.0,0.3333333333333333,0.46153846153846156
AK,2018,0.7030456852791879,0.33270410571024067,0.4027777777777778,0.3548387096774194,0.3329032258064516,0.3409090909090909,0.15422885572139303,0.4230769230769231,0.47619047619047616,0.3220338983050847,0.5618305744888024,0.5,0.4166666666666667,0.41379310344827586,0.4444444444444444,0.4318181818181818,0.4,0.65,0.5294117647058824
AZ,2018,0.7681882381224269,0.32154856444715946,0.3684981684981685,0.3161290322580645,0.4,0.32038834951456313,0.45036915504511893,0.46153846153846156,0.34553775743707094,0.3485436893203884,0.6468389909685456,0.7048192771084337,0.4609375,0.5,0.4,0.7900990099009901,0.6111111111111112,0.51985559566787,0.550561797752809
AR,2018,0.7765812333979467,0.2836013414739015,0.34079776067179846,0.3291139240506329,,0.2,0.3604060913705584,0.5454545454545454,0.2903225806451613,0.36917562724014336,0.6288444311734847,0.6425339366515838,0.5555555555555556,,0.0,0.7818181818181819,0.5,0.5,0.5882352941176471
CA,2018,0.7494697569825978,0.32138902203196534,0.398270421876826,0.357032457496136,0.23076923076923078,0.38222222222222224,0.4484698401051698,0.3877551020408163,0.32567016189180886,0.38423105045088957,0.6103261882572227,0.6048797017960014,0.5395095367847411,0.2,0.5833333333333334,0.7238022523382325,0.48947368421052634,0.44760614272809396,0.5581712726032071
CO,2018,0.7652846099789178,0.37525825510167093,0.4,0.34554973821989526,0.4,0.3230769230769231,0.4624871531346352,0.4166666666666667,0.3599476439790576,0.38505096262740657,0.6752730043172775,0.6341463414634146,0.5121951219512195,1.0,0.5,0.780045351473923,0.45454545454545453,0.5,0.5880281690140845
CT,2018,0.756027293404094,0.3850485797388452,0.354073123797306,0.24324324324324326,,0.6666666666666666,0.5139353400222966,0.2,0.3175287356321839,0.3932853717026379,0.6482466747279323,0.5594713656387665,0.4444444444444444,,1.0,0.8224101479915433,0.5,0.44776119402985076,0.5666666666666667
DE,2018,0.7638446849140674,0.3250207813798836,0.3412698412698413,0.35,,0.6,0.5476190476190477,1.0,0.2876712328767123,0.25316455696202533,0.6207357859531772,0.6017699115044248,0.3333333333333333,,0.0,0.9113924050632911,1.0,0.35294117647058826,0.4
FL,2018,0.7638514025777103,0.3270213974626018,0.35267082899757196,0.36363636363636365,0.4,0.3392857142857143,0.4298395356777057,0.43243243243243246,0.3397951719092904,0.3684692942254812,0.6495335328287274,0.614292258360055,0.43859649122807015,0.0,0.6666666666666666,0.7854545454545454,0.6111111111111112,0.5497737556561086,0.5557522123893806
GA,2018,0.7614259059216341,0.36291048459684677,0.383919019010781,0.4326923076923077,,0.5757575757575758,0.4990859232175503,0.5853658536585366,0.35918367346938773,0.38485158648925283,0.6940753248660158,0.6537691794529686,0.6521739130434783,,0.6,0.84,0.8571428571428571,0.532051282051282,0.5821428571428572
