state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7846685827195976,0.26340917128374397,0.19348964261324836,0.21348314606741572,0.0,0.25,0.18627450980392157,0.6666666666666666,0.1932367149758454,0.2646048109965636,0.5639377537212449,0.4795539033457249,0.5161290322580645,0.0,1.0,0.5,0.5,0.38095238095238093,0.5192307692307693
AK,2018,0.6990975747320926,0.2873997168475696,0.3333333333333333,0.3225806451612903,0.2503225806451613,0.20454545454545456,0.03980099502487562,0.2692307692307692,0.23809523809523808,0.24152542372881355,0.48880233690360275,0.5833333333333334,0.5,0.3310344827586207,0.1111111111111111,0.13636363636363635,0.2,0.3,0.3764705882352941
AZ,2018,0.7697809297713135,0.2660736102626756,0.2652014652014652,0.13806451612903226,0.2,0.2815533980582524,0.21739130434782608,0.27692307692307694,0.2294050343249428,0.24271844660194175,0.5573549257759784,0.5843373493975904,0.3046875,0.0,0.3,0.4297029702970297,0.3888888888888889,0.3212996389891697,0.43820224719101125
AR,2018,0.7956062890372604,0.22065525840570988,0.18754373687893633,0.22784810126582278,,0.13333333333333333,0.17766497461928935,0.36363636363636365,0.1863799283154122,0.26881720430107525,0.5285159749178859,0.5158371040723982,0.4444444444444444,,0.0,0.41818181818181815,1.0,0.3333333333333333,0.47058823529411764
CA,2018,0.7253980016865561,0.27511858916086807,0.2676171555451677,0.16383307573415765,0.23076923076923078,0.23555555555555555,0.20902503898009722,0.24332810047095763,0.22730662922827183,0.2659029978064831,0.5294687791239515,0.4981362250084717,0.3460490463215259,0.4,0.3125,0.3649551441114717,0.3263157894736842,0.3021680216802168,0.42988741044012285
CO,2018,0.752379735513959,0.3175178513175541,0.2825,0.17801047120418848,0.0,0.23076923076923078,0.23227132579650564,0.3333333333333333,0.2081151832460733,0.2718006795016987,0.5874883602810463,0.6,0.3902439024390244,0.0,0.25,0.42857142857142855,0.5454545454545454,0.2804878048780488,0.43309859154929575
CT,2018,0.7299974728329542,0.33417909524104217,0.21103271327774215,0.16216216216216217,,0.3333333333333333,0.2931995540691193,0.2,0.1925287356321839,0.22302158273381295,0.5637243047158403,0.43392070484581496,0.5555555555555556,,0.0,0.5052854122621564,0.0,0.1865671641791045,0.4
DE,2018,0.7504774029280713,0.27043502355223054,0.24603174603174602,0.2,,0.0,0.2916666666666667,0.0,0.2191780821917808,0.189873417721519,0.5290969899665552,0.49557522123893805,0.6666666666666666,,0.0,0.5189873417721519,0.0,0.29411764705882354,0.2
FL,2018,0.772534748546879,0.27788928864482737,0.2153139091224419,0.1919191919191919,0.6,0.14285714285714285,0.20723796517582793,0.32432432432432434,0.2538405267008047,0.2685609532538955,0.5738778384087309,0.5213009619789281,0.38596491228070173,0.0,0.3333333333333333,0.4290909090909091,0.5555555555555556,0.39592760180995473,0.4336283185840708
GA,2018,0.7763920259255622,0.30655323596875816,0.25347708007571396,0.21153846153846154,,0.15151515151515152,0.2586837294332724,0.3902439024390244,0.22653061224489796,0.263050153531218,0.608545628074297,0.5757171447631755,0.6086956521739131,,0.1,0.4842105263157895,0.5714285714285714,0.3974358974358974,0.48928571428571427
ID,2018,0.79491833030853,0.24171488690163073,0.20833333333333334,0.16379310344827586,0.0,0.2222222222222222,0.14,0.25,0.18556701030927836,0.20588235294117646,0.564282580078982,0.6666666666666666,0.3,0.0,0.0,0.3333333333333333,0.5,0.17391304347826086,0.5384615384615384
IL,2018,0.7529694401336994,0.2847645531389845,0.22692036645525018,0.23376623376623376,0.5,0.2619047619047619,0.25643300798580304,0.21212121212121213,0.21268334771354616,0.25126475548060706,0.5507362072024127,0.47459893048128343,0.34782608695652173,0.0,0.6,0.4523352527191299,0.3333333333333333,0.30198019801980197,0.49538461538461537
IN,2018,0.7887042430472274,0.23534330278179771,0.2025012025012025,0.2,1.0,0.1875,0.18816388467374812,0.375,0.19330855018587362,0.27175843694493784,0.5416290047202973,0.48517520215633425,0.4444444444444444,0.0,0.3333333333333333,0.4618834080717489,0.5,0.30526315789473685,0.41732283464566927
IA,2018,0.7828684136376444,0.23797046212482134,0.16216216216216217,0.19148936170212766,,0.07692307692307693,0.12867647058823528,0.3,0.2052980132450331,0.20121951219512196,0.5312087497642843,0.36666666666666664,0.6666666666666666,,0.0,0.4,0.5,0.29411764705882354,0.4642857142857143
KS,2018,0.7826912127538432,0.2607484645050707,0.2353896103896104,0.18796992481203006,0.0,0.4444444444444444,0.2318840579710145,0.375,0.21323529411764705,0.25365853658536586,0.5712392312789927,0.544,0.4,0.0,0.6666666666666666,0.456,0.4,0.5161290322580645,0.4891304347826087
KY,2018,0.7862401163319095,0.24063821220052345,0.21894409937888198,0.22727272727272727,1.0,0.3333333333333333,0.20125786163522014,0.3333333333333333,0.21965317919075145,0.2467948717948718,0.54191336865067,0.5932203389830508,0.25,0.0,0.0,0.4205607476635514,0.0,0.25,0.4838709677419355
LA,2018,0.7635844583151885,0.2709030100334448,0.19765287214329832,0.20202020202020202,0.0,0.19047619047619047,0.14849187935034802,0.3333333333333333,0.25210084033613445,0.2534435261707989,0.5312995944277905,0.5061590145576708,0.32142857142857145,0.0,0.25,0.3412698412698413,0.0,0.425,0.40186915887850466
MA,2018,0.7365757590866032,0.322688159011029,0.23036187113857018,0.2558139534883721,0.0,0.20833333333333334,0.27349797272392184,0.17647058823529413,0.23555166374781086,0.2721238938053097,0.5636844696037411,0.47013782542113325,0.3,0.0,1.0,0.4809741248097412,0.2857142857142857,0.2952755905511811,0.5259515570934256
ME,2018,0.7842045129962868,0.23103500075108907,0.26666666666666666,0.1,,0.16666666666666666,0.11842105263157894,0.0,0.2,0.17424242424242425,0.5220338983050847,1.0,0.6666666666666666,,0.0,0.34782608695652173,0.0,0.75,0.3157894736842105
MD,2018,0.7338538829368683,0.36220772417734176,0.306364339087864,0.24528301886792453,0.5,0.30434782608695654,0.2832579185520362,0.16,0.21940163191296463,0.2971098265895954,0.5996235547190105,0.5483354673495519,0.3333333333333333,1.0,0.2222222222222222,0.4701298701298701,0.375,0.3497536945812808,0.4406779661016949
