state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.8078408478534219,0.2753742779677001,0.11882540405190076,0.2247191011235955,0.0,0.08333333333333333,0.30718954248366015,0.6666666666666666,0.05314009661835749,0.16838487972508592,0.6001353179972937,0.4076827757125155,0.5483870967741935,0.0,0.0,0.7653061224489796,1.0,0.3333333333333333,0.5769230769230769
AK,2018,0.7374506486181613,0.2911750825861255,0.19444444444444445,0.25806451612903225,0.04516129032258064,0.0,0.0945273631840796,0.07692307692307693,0.11904761904761904,0.13559322033898305,0.49269717624148,0.3333333333333333,0.5,0.15172413793103448,0.0,0.2727272727272727,0.0,0.25,0.3176470588235294
AZ,2018,0.8031373020404483,0.2784819792302993,0.1838827838827839,0.08387096774193549,0.2,0.06796116504854369,0.36505332239540605,0.16923076923076924,0.08066361556064074,0.17572815533980582,0.5961797986089484,0.5240963855421686,0.30078125,0.0,0.3,0.7346534653465346,0.5555555555555556,0.3176895306859206,0.5205992509363296
AR,2018,0.8192978677579151,0.23011436924929057,0.1224632610216935,0.16455696202531644,,0.06666666666666667,0.28426395939086296,0.09090909090909091,0.035842293906810034,0.16845878136200718,0.5682293221857271,0.4751131221719457,0.5555555555555556,,0.5,0.7090909090909091,1.0,0.2222222222222222,0.5
CA,2018,0.7750747451000435,0.28716757846718344,0.196914806591095,0.1391035548686244,0.15384615384615385,0.09555555555555556,0.3604818245742762,0.14285714285714285,0.06607291712367833,0.2035096271021204,0.5581733457595527,0.4425618434429007,0.4032697547683924,0.4,0.28125,0.6342177260291404,0.3684210526315789,0.25248419150858176,0.48993517570794953
CO,2018,0.78109627547435,0.3338649461741999,0.19625,0.1518324607329843,0.0,0.1076923076923077,0.3751284686536485,0.16666666666666666,0.10078534031413612,0.21177802944507362,0.6291373910099043,0.5317073170731708,0.4146341463414634,0.0,0.25,0.7074829931972789,0.36363636363636365,0.3170731707317073,0.528169014084507
CT,2018,0.7601718473591105,0.34927903954452627,0.13983322642719692,0.08108108108108109,,0.06666666666666667,0.45707915273132665,0.4,0.06752873563218391,0.18465227817745802,0.5954050785973398,0.36784140969163,0.3333333333333333,,0.0,0.7843551797040169,1.0,0.23880597014925373,0.5083333333333333
DE,2018,0.7744536388712073,0.286783042394015,0.1693121693121693,0.05,,0.0,0.4880952380952381,0.3333333333333333,0.0684931506849315,0.13924050632911392,0.5605351170568562,0.43805309734513276,0.0,,0.0,0.8734177215189873,0.5,0.23529411764705882,0.5333333333333333
FL,2018,0.7996461966135961,0.288973048033832,0.14177939646201873,0.19696969696969696,0.0,0.07142857142857142,0.3574598839194264,0.14864864864864866,0.13752743233357717,0.19569202566452795,0.6093997535645133,0.4699954191479615,0.40350877192982454,0.0,0.5,0.7290909090909091,0.6111111111111112,0.4841628959276018,0.5380530973451327
GA,2018,0.807541981734263,0.31996748061902963,0.18360628754834993,0.18269230769230768,,0.18181818181818182,0.43007312614259596,0.21951219512195122,0.11020408163265306,0.23132036847492324,0.6484105425446003,0.5200133422281521,0.4782608695652174,,0.4,0.7852631578947369,0.7142857142857143,0.4358974358974359,0.6357142857142857
HI,2018,0.7592808174880352,0.32367149758454106,0.1910828025477707,0.2222222222222222,0.0,0.0,0.2341531001039141,0.08553459119496855,0.1588785046728972,0.16342182890855458,0.5735140771637122,0.47058823529411764,0.8,0.0,0.0,0.4941808415398389,0.24,0.5,0.378839590443686
ID,2018,0.8125831820931639,0.254471330878485,0.125,0.10344827586206896,0.0,0.0,0.26,0.16666666666666666,0.06701030927835051,0.12352941176470589,0.604212373848179,0.6666666666666666,0.4,0.0,0.0,0.7037037037037037,0.5,0.21739130434782608,0.4230769230769231
IL,2018,0.7829921212844694,0.29868694867497836,0.1529245947850599,0.14285714285714285,0.0,0.11904761904761904,0.4356699201419698,0.18181818181818182,0.060396893874029335,0.18549747048903878,0.5877239666489268,0.4157754010695187,0.30434782608695654,0.0,0.6,0.7760716570697377,0.6666666666666666,0.2524752475247525,0.556923076923077
IN,2018,0.807235452001599,0.24511979417912846,0.13083213083213083,0.2,0.0,0.125,0.32473444613050073,0.1875,0.05390334572490706,0.17939609236234458,0.5752736768102842,0.42048517520215634,0.7777777777777778,0.0,0.3333333333333333,0.7668161434977578,0.5,0.16842105263157894,0.5118110236220472
IA,2018,0.7952662721893491,0.24088851834206765,0.09121621621621621,0.1702127659574468,,0.07692307692307693,0.21323529411764705,0.2,0.07947019867549669,0.1524390243902439,0.5496888553648878,0.3333333333333333,0.6666666666666666,,1.0,0.6461538461538462,1.0,0.23529411764705882,0.7142857142857143
KS,2018,0.804390459922819,0.2731752606770461,0.14935064935064934,0.18796992481203006,0.0,0.0,0.37971014492753624,0.25,0.058823529411764705,0.16829268292682928,0.6096752816434725,0.536,0.5666666666666667,0.0,0.0,0.752,0.4,0.3870967741935484,0.5652173913043478
KY,2018,0.8056893574479688,0.25543587678679286,0.14673913043478262,0.2727272727272727,1.0,0.0,0.3333333333333333,0.0,0.05202312138728324,0.14743589743589744,0.5849174197569337,0.5423728813559322,0.5,0.0,0.0,0.719626168224299,0.0,0.25,0.5645161290322581
ME,2018,0.800628391888032,0.242000901306895,0.13333333333333333,0.075,,0.0,0.23684210526315788,0.0,0.2,0.12121212121212122,0.5612590799031477,0.75,0.6666666666666666,,0.0,0.6086956521739131,0.0,0.5,0.5789473684210527
MD,2018,0.7713818776103142,0.3853040620981952,0.24001545993300696,0.2641509433962264,0.5,0.043478260869565216,0.4588235294117647,0.24,0.07252946509519492,0.2728323699421965,0.6433629111768396,0.4964788732394366,0.47619047619047616,1.0,0.1111111111111111,0.7584415584415585,0.5,0.3251231527093596,0.5790960451977402
MI,2018,0.8051311790113582,0.2665727026964579,0.14281820659580266,0.17437722419928825,,0.05263157894736842,0.4408133623819898,0.09090909090909091,0.11583924349881797,0.16245883644346873,0.593602760634415,0.4751958224543081,0.6,,0.25,0.7879256965944272,0.3333333333333333,0.4318181818181818,0.5576036866359447
MN,2018,0.7739918119983237,0.27982154870233333,0.1095890410958904,0.12267657992565056,0.0,0.07692307692307693,0.24186046511627907,0.0,0.06015037593984962,0.13478260869565217,0.5590249246781703,0.4580152671755725,0.4375,0.0,1.0,0.6287878787878788,0.0,0.2972972972972973,0.41964285714285715
MS,2018,0.8134051103192054,0.2747644219719605,0.12112887112887114,0.07547169811320754,,0.2,0.2391304347826087,0.0,0.0660377358490566,0.20155038759689922,0.6021238938053097,0.4329073482428115,0.2857142857142857,,0.0,0.6458333333333334,0.0,0.3125,0.48484848484848486
MO,2018,0.8125690825832939,0.26340160284951025,0.14988290398126464,0.15789473684210525,,,0.4406779661016949,0.16666666666666666,0.043478260869565216,0.14705882352941177,0.6058951965065502,0.5421686746987951,1.0,,,0.8297872340425532,1.0,0.0,0.6086956521739131
MT,2018,0.7827201171517482,0.2576271186440678,0.07142857142857142,0.1553784860557769,,0.1,0.13333333333333333,0.0,0.09523809523809523,0.15126050420168066,0.5624169986719787,0.0,0.375,,0.0,0.3333333333333333,0.0,0.5,0.46875
NE,2018,0.7890588780713954,0.28938026168982656,0.14661654135338345,0.041666666666666664,,0.5,0.2422680412371134,0.0,0.08333333333333333,0.13829787234042554,0.6122768556216724,0.4791666666666667,0.25,,0.6,0.6274509803921569,0.0,0.38095238095238093,0.4444444444444444
NV,2018,0.778820827986763,0.2490260713215463,0.13249516441005801,0.10810810810810811,,0.1111111111111111,0.2024407753050969,0.11702127659574468,0.04230488694383661,0.1330049261083744,0.5091002307100744,0.4139344262295082,0.3103448275862069,,0.1111111111111111,0.44269662921348313,0.46153846153846156,0.19375,0.4
NH,2018,0.7833291488827517,0.3006527241241508,0.11827956989247312,0.14285714285714285,0.0,0.0,0.3930635838150289,0.3333333333333333,0.16326530612244897,0.264,0.5972359328726555,0.5625,1.0,0.0,0.0,0.7530864197530864,0.6666666666666666,0.46153846153846156,0.8125
NJ,2018,0.7500680186685084,0.33859303090072324,0.15162689804772234,0.0875,,0.075,0.497362012987013,0.05263157894736842,0.08020398701900788,0.22302904564315354,0.5733997700268302,0.3629823413996076,0.18518518518518517,,0.2727272727272727,0.7541100786275912,0.0,0.26869158878504673,0.4891891891891892
NM,2018,0.8221788543221215,0.2740112994350282,0.21264367816091953,0.08774834437086093,0.0,0.14285714285714285,0.31901840490797545,0.4444444444444444,0.11764705882352941,0.2488479262672811,0.6250580046403712,0.6060606060606061,0.35,0.0,0.5,0.6875,1.0,0.41904761904761906,0.5633802816901409
NY,2018,0.7554479183855719,0.29392520192764543,0.14407143470421568,0.1214574898785425,0.0,0.07920792079207921,0.2982122077647308,0.15789473684210525,0.07019794721407624,0.19701368726669433,0.5446593419897696,0.3557385759829968,0.2923076923076923,0.0,0.3333333333333333,0.5924577373211963,0.3333333333333333,0.23479005998286204,0.4609756097560976
