state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7609125202083707,0.2260403159259696,0.21716366947416343,0.29213483146067415,0.0,0.25,0.19607843137254902,0.0,0.24154589371980675,0.2268041237113402,0.4868064952638701,0.40396530359355637,0.2903225806451613,0.0,1.0,0.5,0.0,0.42857142857142855,0.4807692307692308
AK,2018,0.6830231246474902,0.23265691363850874,0.2361111111111111,0.2903225806451613,0.21548387096774194,0.20454545454545456,0.07462686567164178,0.34615384615384615,0.2619047619047619,0.1652542372881356,0.39922103213242455,0.375,0.25,0.2482758620689655,0.3333333333333333,0.18181818181818182,0.4,0.4,0.3411764705882353
AZ,2018,0.7492862938365838,0.21701282834453267,0.25860805860805863,0.22064516129032258,0.6,0.24271844660194175,0.23707957342083674,0.2923076923076923,0.232837528604119,0.2203883495145631,0.46340703830582375,0.46686746987951805,0.328125,1.0,0.4,0.45544554455445546,0.3888888888888889,0.30324909747292417,0.4606741573033708
AR,2018,0.7884988154210639,0.18453865336658354,0.21413575927221834,0.26582278481012656,,0.3333333333333333,0.16751269035532995,0.22727272727272727,0.25089605734767023,0.21863799283154123,0.46461630337414156,0.4253393665158371,0.4444444444444444,,0.5,0.41818181818181815,1.0,0.3333333333333333,0.39705882352941174
CA,2018,0.7029003654204891,0.22488141083913193,0.2700712866658876,0.2689335394126739,0.38461538461538464,0.24444444444444444,0.2228438656027393,0.24175824175824176,0.2313868292896942,0.23495003655861565,0.43362534948741843,0.43849542527956625,0.3923705722070845,0.2,0.3125,0.3810523636826366,0.28421052631578947,0.31052393857271904,0.43193449334698053
CO,2018,0.7243978790008305,0.2547392076552249,0.27875,0.2513089005235602,0.4,0.2,0.23843782117163412,0.3055555555555556,0.2696335078534031,0.22310305775764439,0.47820198086853466,0.4926829268292683,0.36585365853658536,0.0,0.16666666666666666,0.43537414965986393,0.36363636363636365,0.3719512195121951,0.4507042253521127
CT,2018,0.6892089967146828,0.2706231821276069,0.23091725465041693,0.24324324324324326,,0.13333333333333333,0.3032329988851728,0.2,0.25287356321839083,0.19904076738609114,0.45949214026602175,0.3788546255506608,0.2222222222222222,,0.0,0.507399577167019,0.5,0.27611940298507465,0.35833333333333334
DE,2018,0.7250159134309357,0.21640343585480742,0.2261904761904762,0.35,,0.2,0.35714285714285715,0.3333333333333333,0.2465753424657534,0.24050632911392406,0.43411371237458196,0.3938053097345133,0.6666666666666666,,0.0,0.569620253164557,0.5,0.35294117647058826,0.5333333333333333
FL,2018,0.7525802375537023,0.22647225904184815,0.22580645161290322,0.3484848484848485,0.2,0.21428571428571427,0.23523386821440764,0.2702702702702703,0.2556693489392831,0.23189734188817598,0.47477556768174617,0.42968392120934495,0.47368421052631576,0.0,0.3333333333333333,0.46545454545454545,0.3888888888888889,0.40497737556561086,0.4761061946902655
GA,2018,0.7475203770990867,0.24717633053627944,0.2505143609579458,0.22115384615384615,,0.30303030303030304,0.27696526508226693,0.2926829268292683,0.25816326530612244,0.24257932446264074,0.5031935981205492,0.4639759839893262,0.34782608695652173,,0.4,0.5126315789473684,0.42857142857142855,0.3782051282051282,0.4928571428571429
ID,2018,0.7840290381125227,0.19950026301946344,0.2916666666666667,0.29310344827586204,0.0,0.3333333333333333,0.2,0.25,0.20103092783505155,0.15294117647058825,0.47520842474769637,0.5,0.65,0.0,0.0,0.48148148148148145,0.5,0.34782608695652173,0.3076923076923077
IL,2018,0.7229915244120807,0.22727021601812122,0.22973925299506695,0.2597402597402597,0.0,0.3333333333333333,0.2638272700384502,0.2727272727272727,0.22605694564279552,0.19983136593591905,0.4428330672343445,0.3917112299465241,0.43478260869565216,0.0,0.4,0.45873320537428025,0.3333333333333333,0.3193069306930693,0.44
IN,2018,0.7747701444806122,0.19331082167551053,0.20634920634920634,0.36363636363636365,1.0,0.125,0.2094081942336874,0.4375,0.20260223048327136,0.19538188277087035,0.45365069800140606,0.41509433962264153,0.4444444444444444,0.0,0.3333333333333333,0.48878923766816146,0.5,0.23157894736842105,0.4330708661417323
IA,2018,0.768160045083122,0.186576941400667,0.1858108108108108,0.2765957446808511,,0.38461538461538464,0.16176470588235295,0.2,0.1986754966887417,0.11585365853658537,0.42485385630775035,0.36666666666666664,0.5555555555555556,,1.0,0.5076923076923077,0.5,0.29411764705882354,0.42857142857142855
KS,2018,0.7704814322768394,0.21446936151978288,0.22402597402597402,0.2631578947368421,0.0,0.1111111111111111,0.2028985507246377,0.1875,0.2426470588235294,0.16097560975609757,0.4804506295559973,0.496,0.3333333333333333,0.0,0.0,0.432,0.0,0.3225806451612903,0.3804347826086957
KY,2018,0.7686540034536036,0.19564123213207169,0.22826086956521738,0.18181818181818182,1.0,0.5555555555555556,0.2169811320754717,0.26666666666666666,0.2658959537572254,0.125,0.44780305391087566,0.4152542372881356,0.0,0.0,0.0,0.45794392523364486,0.3333333333333333,0.3333333333333333,0.3870967741935484
ME,2018,0.7724935732647815,0.1853687847378699,0.17333333333333334,0.325,,0.16666666666666666,0.17105263157894737,0.0,0.13333333333333333,0.15151515151515152,0.43099273607748184,0.625,0.6666666666666666,,0.0,0.43478260869565216,0.0,0.0,0.3157894736842105
MD,2018,0.6906058955269051,0.2942044859279013,0.29476938933264624,0.1509433962264151,0.5,0.2608695652173913,0.31402714932126696,0.36,0.24478694469628287,0.26936416184971096,0.48839293716949,0.46318822023047374,0.38095238095238093,1.0,0.1111111111111111,0.5064935064935064,0.25,0.4088669950738916,0.4858757062146893
MI,2018,0.7597184450487922,0.20363224658610413,0.21967838648133006,0.27402135231316727,,0.19298245614035087,0.27814088598402326,0.45454545454545453,0.2576832151300236,0.2030735455543359,0.4518548012475944,0.4151436031331593,0.3,,0.4166666666666667,0.4969040247678019,0.3333333333333333,0.4431818181818182,0.48847926267281105
MN,2018,0.7306018503594339,0.21931097971178698,0.2054794520547945,0.26765799256505574,0.0,0.20512820512820512,0.14767441860465116,0.5714285714285714,0.21804511278195488,0.1782608695652174,0.4312973614534831,0.3816793893129771,0.4791666666666667,0.0,0.5,0.4015151515151515,0.6666666666666666,0.35135135135135137,0.35714285714285715
MS,2018,0.7740712661106899,0.22045454545454546,0.19404915912031048,0.0,,0.0,0.07142857142857142,1.0,0.24,0.23076923076923078,0.4934086629001883,0.3983050847457627,0.0,,0.0,0.1111111111111111,0.0,0.5,0.375
MO,2018,0.7682541687721072,0.18982966288931652,0.23837739288969917,0.3106796116504854,0.0,0.2857142857142857,0.2631578947368421,0.2702702702702703,0.24615384615384617,0.21825396825396826,0.4402247191011236,0.4358974358974359,0.3076923076923077,0.0,0.6666666666666666,0.4954954954954955,0.4444444444444444,0.32142857142857145,0.5346534653465347
MT,2018,0.7488559399597291,0.20757726819541375,0.07142857142857142,0.26294820717131473,,0.3,0.1,0.0,0.09523809523809523,0.2689075630252101,0.43293492695883135,0.0,0.3333333333333333,,0.0,0.1111111111111111,0.0,0.5,0.53125
NE,2018,0.7575336114974501,0.2137133583527741,0.16541353383458646,0.21875,,0.0,0.17010309278350516,0.6666666666666666,0.22023809523809523,0.19680851063829788,0.4538051988725337,0.3541666666666667,0.5,,0.0,0.4117647058823529,1.0,0.2857142857142857,0.4722222222222222
NV,2018,0.7268183967042615,0.19258815303166515,0.2263056092843327,0.27413127413127414,,0.2777777777777778,0.1414213926776741,0.2127659574468085,0.22902990517870167,0.1839080459770115,0.39425788259420663,0.4098360655737705,0.3275862068965517,,0.0,0.30786516853932583,0.3076923076923077,0.3375,0.3935483870967742
NH,2018,0.736128546321868,0.2344478486745704,0.1827956989247312,0.2857142857142857,0.0,0.4,0.23121387283236994,0.5,0.22448979591836735,0.264,0.4633102994406055,0.3125,1.0,0.0,1.0,0.4444444444444444,0.6666666666666666,0.38461538461538464,0.5625
NJ,2018,0.6736150352650635,0.25966898207700884,0.24164859002169198,0.2,,0.325,0.31737012987012986,0.3157894736842105,0.23922114047287898,0.24688796680497926,0.4361824453813722,0.38194898626553303,0.2222222222222222,,0.5454545454545454,0.4764117226590422,0.5,0.32242990654205606,0.42702702702702705
NM,2018,0.7546779933417518,0.21217827997489014,0.27011494252873564,0.25,0.3333333333333333,0.2857142857142857,0.25766871165644173,0.5555555555555556,0.24448529411764705,0.30414746543778803,0.47238979118329466,0.5757575757575758,0.35,0.0,0.5,0.515625,1.0,0.3904761904761905,0.4788732394366197
NY,2018,0.694140029702682,0.22076970067196092,0.22151627028419335,0.2874493927125506,0.6666666666666666,0.21782178217821782,0.17994287527768962,0.2631578947368421,0.23552052785923755,0.21277478224802987,0.40685250764248315,0.3626461211477152,0.38461538461538464,0.0,0.3333333333333333,0.33966189856957085,0.5,0.3093401885175664,0.3926829268292683
NC,2018,0.757063014961492,0.23615422107072315,0.22402332361516036,0.24319419237749546,0.0,0.313953488372093,0.29195693476884105,0.391304347826087,0.24081632653061225,0.21666666666666667,0.49357398693728494,0.44604767879548307,0.3146067415730337,0.0,0.5333333333333333,0.5463917525773195,0.6,0.3488372093023256,0.4863636363636364
ND,2018,0.7248035914702582,0.2162962962962963,0.2222222222222222,0.296969696969697,,0.17857142857142858,0.20754716981132076,0.0,0.2692307692307692,0.11940298507462686,0.42579390797148414,0.45454545454545453,0.34210526315789475,,0.16666666666666666,0.5454545454545454,0.0,0.5,0.29411764705882354
OH,2018,0.7565462299831013,0.1981430447407846,0.2199114192181783,0.20512820512820512,,0.17142857142857143,0.2652905198776758,0.23529411764705882,0.2591687041564792,0.1857976653696498,0.4355933081265862,0.4338461538461538,0.2,,0.6,0.5465116279069767,0.4,0.4457831325301205,0.45365853658536587
OK,2018,0.7650276273929787,0.19198501872659177,0.22072538860103627,0.260498687664042,0.0,0.28169014084507044,0.2169811320754717,0.4,0.21890547263681592,0.206436420722135,0.4470931646801265,0.46551724137931033,0.37283236994219654,0.0,0.13333333333333333,0.5212765957446809,0.0,0.30434782608695654,0.44280442804428044
OR,2018,0.7410922031114558,0.21749920794170452,0.26366559485530544,0.2576419213973799,0.42857142857142855,0.34210526315789475,0.21776814734561215,0.2087912087912088,0.2246376811594203,0.20534629404617255,0.4477507683710534,0.5,0.39655172413793105,0.6666666666666666,0.2,0.42297650130548303,0.35294117647058826,0.2625,0.4549763033175355
PA,2018,0.744275926685015,0.20019490923506383,0.20819462227912933,0.3898305084745763,0.3333333333333333,0.19047619047619047,0.22541841004184102,0.13333333333333333,0.22831632653061223,0.1891385767790262,0.4262023958519578,0.3674911660777385,0.5,0.5,0.0,0.45064935064935063,0.2,0.3106060606060606,0.42127659574468085
RI,2018,0.7064075630252101,0.22267370987403495,0.22826086956521738,0.25,,0.4,0.1782178217821782,0.0,0.28104575163398693,0.20567375886524822,0.4191343963553531,0.3055555555555556,0.6,,0.0,0.3888888888888889,0.0,0.38461538461538464,0.48484848484848486
SC,2018,0.7632139555448371,0.22252851197232582,0.20328582739509105,0.29577464788732394,0.0,0.23529411764705882,0.1774193548387097,0.35294117647058826,0.2840909090909091,0.18202764976958524,0.4769861765152666,0.42783505154639173,0.26666666666666666,0.0,0.3333333333333333,0.4142857142857143,0.5,0.4186046511627907,0.46153846153846156
SD,2018,0.7650540926719739,0.1982739041562571,0.2,0.23076923076923078,0.0,0.17647058823529413,0.08,,0.25,0.17307692307692307,0.43399209486166007,0.25,0.3870967741935484,0.0,0.6666666666666666,0.5,,0.5,0.375
TN,2018,0.7712848866276505,0.20770719690304418,0.22839506172839505,0.16,0.0,0.17647058823529413,0.2620689655172414,0.38461538461538464,0.23273657289002558,0.20618556701030927,0.47267228343054657,0.44538834951456313,0.25,0.0,0.0,0.5158371040723982,0.6666666666666666,0.4473684210526316,0.5463917525773195
TX,2018,0.7397001265413025,0.21661076203524354,0.24479208236890415,0.2881679389312977,0.375,0.22743682310469315,0.2768762677484787,0.27722772277227725,0.2414401175606172,0.2436289500509684,0.45093417789889767,0.4386323787258913,0.4666666666666667,0.6666666666666666,0.3620689655172414,0.4966677245318946,0.29411764705882354,0.34959349593495936,0.46609257265877285
UT,2018,0.7748056558731713,0.20497913959373504,0.28368794326241137,0.2641509433962264,0.0,0.3157894736842105,0.18536585365853658,0.26495726495726496,0.22469635627530365,0.16,0.4767625049231981,0.47619047619047616,0.4166666666666667,0.0,0.3333333333333333,0.47580645161290325,0.39285714285714285,0.28378378378378377,0.34444444444444444
VT,2018,0.7525882665250863,0.20817228050800662,0.25925925925925924,0.75,,0.5,0.18,,0.23529411764705882,0.1111111111111111,0.4416203335980937,0.8,1.0,,0.0,0.3125,,0.6666666666666666,0.4444444444444444
VA,2018,0.7286321081830791,0.2767125701030625,0.2631658140234728,0.2765957446808511,1.0,0.23076923076923078,0.27067430025445294,0.2653061224489796,0.2612942612942613,0.2604327666151468,0.5102450028197255,0.48854166666666665,0.41935483870967744,0.0,0.42857142857142855,0.4535246412975671,0.4666666666666667,0.45664739884393063,0.4911504424778761
WA,2018,0.7039855798117365,0.23380767021887564,0.2585616438356164,0.26527050610820246,0.4,0.27692307692307694,0.2328567259994164,0.21333333333333335,0.2428998505231689,0.20722755505364202,0.43408154567410145,0.43478260869565216,0.3170731707317073,0.45454545454545453,0.3,0.4038346315158778,0.2916666666666667,0.3282051282051282,0.4189655172413793
WV,2018,0.7794643959027521,0.18031074552813683,0.23735408560311283,0.5,,0.0,0.2711864406779661,0.0,0.22727272727272727,0.23232323232323232,0.43129432624113473,0.45652173913043476,1.0,,0.0,0.5769230769230769,0.0,1.0,0.6666666666666666
WI,2018,0.747629244417253,0.19521846661170653,0.20853080568720378,0.30357142857142855,0.0,0.2222222222222222,0.17267552182163187,0.2727272727272727,0.1908831908831909,0.20051413881748073,0.4180658474814745,0.4,0.5333333333333333,0.0,0.5,0.379746835443038,0.25,0.24242424242424243,0.5054945054945055
