state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.8036644512304653,0.2810326535423789,0.08194855451855224,0.15730337078651685,0.0,0.0,0.22875816993464052,0.6666666666666666,0.04830917874396135,0.13058419243986255,0.6033491204330176,0.29615861214374223,0.3870967741935484,0.0,0.0,0.6020408163265306,1.0,0.3333333333333333,0.40384615384615385
AK,2018,0.7413987591652567,0.3015573383671543,0.1527777777777778,0.1935483870967742,0.02967741935483871,0.0,0.04975124378109453,0.038461538461538464,0.14285714285714285,0.11016949152542373,0.5141187925998053,0.2916666666666667,0.3333333333333333,0.09655172413793103,0.0,0.1590909090909091,0.0,0.3,0.25882352941176473
AZ,2018,0.7928899840730835,0.2697006719609041,0.12454212454212454,0.05870967741935484,0.4,0.04854368932038835,0.27891714520098443,0.12307692307692308,0.05606407322654462,0.141747572815534,0.572614969376103,0.37650602409638556,0.22265625,0.5,0.3,0.5702970297029702,0.3333333333333333,0.21660649819494585,0.41198501872659177
AR,2018,0.8134826620719362,0.22676068449565742,0.08047585724282715,0.10126582278481013,,0.06666666666666667,0.2131979695431472,0.09090909090909091,0.02867383512544803,0.10752688172043011,0.5535980889817856,0.3167420814479638,0.3333333333333333,,0.5,0.5818181818181818,1.0,0.1111111111111111,0.3235294117647059
CA,2018,0.754192114072522,0.27676313571227873,0.14561177982937945,0.09505409582689335,0.07692307692307693,0.06666666666666667,0.2683665046317527,0.07849293563579278,0.042907910323344886,0.15318059956129662,0.5314818266542405,0.3341240257539817,0.3024523160762943,0.2,0.25,0.4821530826493606,0.2,0.17231255645889793,0.3688161037188673
CO,2018,0.7629208458442471,0.3144006669324731,0.13625,0.06806282722513089,0.2,0.07692307692307693,0.2857142857142857,0.19444444444444445,0.0693717277486911,0.15175537938844846,0.5864725302632693,0.3853658536585366,0.21951219512195122,0.0,0.25,0.5532879818594104,0.36363636363636365,0.2073170731707317,0.3908450704225352
CT,2018,0.7424816780389184,0.33368401509994433,0.10519563822963438,0.08108108108108109,,0.06666666666666667,0.3745819397993311,0.2,0.035919540229885055,0.13908872901678657,0.5650544135429263,0.28193832599118945,0.1111111111111111,,0.0,0.6553911205073996,0.5,0.12686567164179105,0.36666666666666664
DE,2018,0.7636325058349247,0.26960376835688554,0.09259259259259259,0.15,,0.0,0.40476190476190477,0.3333333333333333,0.0547945205479452,0.13924050632911392,0.5331103678929766,0.2610619469026549,0.6666666666666666,,0.0,0.7215189873417721,0.5,0.17647058823529413,0.5333333333333333
FL,2018,0.7893757897397018,0.28062866881272486,0.09295872355185571,0.14646464646464646,0.0,0.07142857142857142,0.27517924206213723,0.13513513513513514,0.08924652523774688,0.14161319890009166,0.582749515930294,0.3298213467704993,0.3508771929824561,0.0,0.5,0.5754545454545454,0.5,0.3438914027149321,0.41061946902654867
GA,2018,0.794913090444859,0.3043755988502076,0.12287054563410418,0.11538461538461539,,0.12121212121212122,0.33089579524680074,0.12195121951219512,0.0673469387755102,0.16376663254861823,0.6135379193891785,0.3742494996664443,0.30434782608695654,,0.3,0.6368421052631579,0.42857142857142855,0.27564102564102566,0.48214285714285715
HI,2018,0.74375889276937,0.329951690821256,0.1464968152866242,0.2222222222222222,0.0,0.0,0.17526844475233808,0.05911949685534591,0.09345794392523364,0.12684365781710916,0.5776850886339937,0.37254901960784315,0.8,0.0,0.0,0.38675022381378693,0.185,0.2857142857142857,0.295221843003413
ID,2018,0.8104053236539625,0.2497369805365597,0.08333333333333333,0.06896551724137931,0.0,0.0,0.17,0.16666666666666666,0.041237113402061855,0.06470588235294118,0.5910487055726196,0.5,0.3,0.0,0.0,0.5185185185185185,0.5,0.21739130434782608,0.2692307692307692
IL,2018,0.7648472006684971,0.28183643026831917,0.10359408033826638,0.03896103896103896,0.5,0.11904761904761904,0.32712215320910976,0.15151515151515152,0.038395168248490076,0.13237774030354132,0.5476317189994678,0.2914438502673797,0.08695652173913043,0.0,0.4,0.6052463211772233,0.4444444444444444,0.16584158415841585,0.40307692307692305
IN,2018,0.8006681514476615,0.24103553625984886,0.08128908128908129,0.18181818181818182,0.0,0.0625,0.2488619119878604,0.1875,0.026022304832713755,0.1172291296625222,0.557898965551873,0.3018867924528302,0.3333333333333333,0.0,0.3333333333333333,0.6053811659192825,0.5,0.08421052631578947,0.3858267716535433
IA,2018,0.787433079740772,0.23779180562172464,0.05405405405405406,0.0851063829787234,,0.07692307692307693,0.1801470588235294,0.1,0.033112582781456956,0.08536585365853659,0.5312087497642843,0.3,0.3333333333333333,,1.0,0.5846153846153846,0.5,0.17647058823529413,0.39285714285714285
KS,2018,0.7979376225722781,0.2678188830167119,0.10714285714285714,0.08270676691729323,0.0,0.0,0.26666666666666666,0.0625,0.04044117647058824,0.08048780487804878,0.5926662248729844,0.408,0.3,0.0,0.0,0.584,0.2,0.25806451612903225,0.31521739130434784
KY,2018,0.7978733072798327,0.24682907187437084,0.09394409937888198,0.09090909090909091,1.0,0.0,0.279874213836478,0.0,0.03468208092485549,0.07371794871794872,0.5601433468370208,0.3601694915254237,0.25,0.0,0.0,0.6448598130841121,0.0,0.08333333333333333,0.3064516129032258
ME,2018,0.7940588403313339,0.23599218867357669,0.06666666666666667,0.05,,0.0,0.18421052631578946,0.0,0.0,0.11363636363636363,0.5418886198547216,0.375,0.3333333333333333,,0.0,0.5217391304347826,0.0,0.0,0.47368421052631576
MD,2018,0.7457478360874039,0.3632553931139578,0.1766297346044834,0.1509433962264151,0.5,0.043478260869565216,0.36923076923076925,0.2,0.06255666364460562,0.21502890173410405,0.6032983777000986,0.3761203585147247,0.38095238095238093,1.0,0.1111111111111111,0.625974025974026,0.375,0.2660098522167488,0.4576271186440678
MI,2018,0.792733162693969,0.25384135492964255,0.09512128645407468,0.099644128113879,,0.017543859649122806,0.3478576615831518,0.09090909090909091,0.09456264775413711,0.12294182217343579,0.558829384829783,0.33550913838120106,0.3333333333333333,,0.08333333333333333,0.6486068111455109,0.3333333333333333,0.375,0.43317972350230416
MN,2018,0.7601302343573708,0.2723506709627164,0.07876712328767123,0.08178438661710037,0.0,0.02564102564102564,0.18372093023255814,0.14285714285714285,0.04887218045112782,0.0891304347826087,0.5307221765726285,0.35877862595419846,0.3333333333333333,0.0,0.5,0.5113636363636364,0.3333333333333333,0.21621621621621623,0.2857142857142857
MS,2018,0.8119787717968158,0.2727272727272727,0.062095730918499355,0.0,,0.0,0.14285714285714285,0.0,0.12,0.11538461538461539,0.60075329566855,0.2711864406779661,0.0,,0.0,0.3333333333333333,0.0,0.5,0.25
MO,2018,0.796677614957049,0.24110897298838288,0.10300820419325434,0.10679611650485436,0.0,0.21428571428571427,0.3121597096188748,0.05405405405405406,0.046153846153846156,0.11904761904761904,0.5538202247191011,0.33547008547008544,0.3076923076923077,0.0,0.6666666666666666,0.6351351351351351,0.2222222222222222,0.17857142857142858,0.39603960396039606
MT,2018,0.7790591250228812,0.2612163509471585,0.07142857142857142,0.11553784860557768,,0.0,0.13333333333333333,0.0,0.047619047619047616,0.15126050420168066,0.5604249667994687,0.0,0.3125,,0.0,0.3333333333333333,0.0,0.5,0.4375
NE,2018,0.7794158553546593,0.2719342732528654,0.06766917293233082,0.03125,,0.25,0.1958762886597938,0.16666666666666666,0.047619047619047616,0.10638297872340426,0.569370497964297,0.2708333333333333,0.16666666666666666,,0.4,0.49019607843137253,0.5,0.23809523809523808,0.3888888888888889
