state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7570055685288306,0.26830130849935163,0.26769861142727064,0.3595505617977528,0.0,0.25,0.27124183006535946,1.0,0.2753623188405797,0.18900343642611683,0.5571718538565629,0.4312267657992565,0.5483870967741935,0.0,0.0,0.4489795918367347,1.0,0.47619047619047616,0.4230769230769231
AK,2018,0.7067117879300621,0.26757904672015104,0.3333333333333333,0.2903225806451613,0.1367741935483871,0.18181818181818182,0.17412935323383086,0.2692307692307692,0.23809523809523808,0.2245762711864407,0.4498539435248296,0.375,0.5,0.2827586206896552,0.1111111111111111,0.25,0.2,0.25,0.4588235294117647
AZ,2018,0.7534934038525107,0.24793830177153328,0.28424908424908424,0.15935483870967743,0.4,0.21359223300970873,0.26579163248564397,0.15384615384615385,0.2305491990846682,0.22815533980582525,0.5136509913837849,0.4578313253012048,0.36328125,0.5,0.2,0.3722772277227723,0.3333333333333333,0.3140794223826715,0.50187265917603
AR,2018,0.7794529399095412,0.22375096740906356,0.2617214835549335,0.24050632911392406,,0.4,0.22842639593908629,0.22727272727272727,0.2114695340501792,0.24014336917562723,0.5180650940579278,0.4751131221719457,0.7222222222222222,,0.5,0.38181818181818183,1.0,0.3333333333333333,0.5294117647058824
CA,2018,0.6995732501980426,0.2421946019205659,0.3050134392894706,0.20788253477588872,0.3076923076923077,0.2088888888888889,0.2814821608731542,0.30612244897959184,0.24178475847848024,0.23385327808920303,0.46945013979496736,0.44052863436123346,0.44959128065395093,0.6,0.2916666666666667,0.369727047146402,0.3526315789473684,0.31458897922312556,0.47117024906175364
CO,2018,0.7392832044975404,0.2867084707673348,0.29125,0.20418848167539266,0.2,0.3076923076923077,0.30318602261048305,0.3611111111111111,0.2630890052356021,0.2582106455266138,0.5375433844070092,0.4634146341463415,0.34146341463414637,1.0,0.25,0.41043083900226757,0.5454545454545454,0.3902439024390244,0.5669014084507042
CT,2018,0.7070002527167045,0.3078779627452194,0.2617062219371392,0.24324324324324326,,0.13333333333333333,0.2976588628762542,0.6,0.25862068965517243,0.21103117505995203,0.5228536880290205,0.36784140969163,0.5555555555555556,,0.0,0.4186046511627907,1.0,0.30597014925373134,0.5166666666666667
DE,2018,0.7290473159346489,0.256580770296481,0.291005291005291,0.1,,0.0,0.2916666666666667,0.6666666666666666,0.136986301369863,0.20253164556962025,0.5030100334448161,0.42035398230088494,0.0,,0.0,0.3924050632911392,1.0,0.11764705882352941,0.7333333333333333
FL,2018,0.7464948193075562,0.24337562330366724,0.27315296566077,0.2474747474747475,0.2,0.32142857142857145,0.2683509730283373,0.35135135135135137,0.25274323335771764,0.2153987167736022,0.5035029044182362,0.42968392120934495,0.40350877192982454,0.0,0.5,0.3618181818181818,0.5,0.3212669683257919,0.4761061946902655
GA,2018,0.7376411666502996,0.29203565517842106,0.3049954736235701,0.2403846153846154,,0.24242424242424243,0.2961608775137112,0.3170731707317073,0.24387755102040817,0.24564994882292732,0.5716173555539241,0.4769846564376251,0.6086956521739131,,0.3,0.40210526315789474,0.42857142857142855,0.28205128205128205,0.5357142857142857
HI,2018,0.6704177984736774,0.2806763285024155,0.3248407643312102,0.3333333333333333,0.0,0.0,0.2618635261517146,0.2968553459119497,0.2616822429906542,0.22713864306784662,0.4807090719499479,0.5098039215686274,0.8,0.0,0.0,0.3410922112802149,0.37,0.5,0.4453924914675768
ID,2018,0.7869328493647912,0.2425039452919516,0.3125,0.1810344827586207,0.0,0.2777777777777778,0.22,0.3333333333333333,0.24742268041237114,0.2,0.5541904344010531,0.5,0.35,0.0,1.0,0.48148148148148145,0.5,0.30434782608695654,0.5
