state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7957158253996767,0.27390074266179415,0.11040291372638288,0.2808988764044944,0.0,0.0,0.2549019607843137,0.6666666666666666,0.05314009661835749,0.14776632302405499,0.5801759133964818,0.3618339529120198,0.5483870967741935,0.0,0.0,0.6326530612244898,1.0,0.3333333333333333,0.4423076923076923
AK,2018,0.7309644670050761,0.26569136385087305,0.125,0.22580645161290322,0.05419354838709677,0.022727272727272728,0.08955223880597014,0.07692307692307693,0.19047619047619047,0.1483050847457627,0.4527750730282376,0.16666666666666666,0.4166666666666667,0.15862068965517243,0.1111111111111111,0.3181818181818182,0.0,0.4,0.36470588235294116
AZ,2018,0.7827328184632029,0.2509926695174099,0.15164835164835164,0.08193548387096775,0.4,0.04854368932038835,0.2723543888433142,0.16923076923076924,0.08237986270022883,0.1766990291262136,0.5300529430084086,0.41566265060240964,0.2734375,0.5,0.2,0.5425742574257426,0.5,0.34657039711191334,0.49063670411985016
AR,2018,0.805226505851102,0.23149023991744777,0.12036389083275018,0.16455696202531644,,0.06666666666666667,0.22842639593908629,0.09090909090909091,0.043010752688172046,0.20430107526881722,0.5470289638698119,0.4253393665158371,0.6111111111111112,,0.5,0.5636363636363636,1.0,0.1111111111111111,0.5
CA,2018,0.7476196560447704,0.24848354627043287,0.1579992988196798,0.125193199381762,0.15384615384615385,0.08,0.2700785716469473,0.1130298273155416,0.06532707410169789,0.184255422861321,0.48587138863000934,0.36360555743815653,0.37329700272479566,0.4,0.25,0.480753324425781,0.3105263157894737,0.23757904245709124,0.4332992152848857
CO,2018,0.7616431355011819,0.2975461234550002,0.16125,0.11518324607329843,0.2,0.09230769230769231,0.29907502569373073,0.19444444444444445,0.1099476439790576,0.20951302378255945,0.5636163548632862,0.43902439024390244,0.3170731707317073,1.0,0.16666666666666666,0.5578231292517006,0.36363636363636365,0.3231707317073171,0.545774647887324
CT,2018,0.7396512509476877,0.31567547496751036,0.1077613855035279,0.10810810810810811,,0.06666666666666667,0.37681159420289856,0.4,0.06465517241379311,0.16546762589928057,0.543409915356711,0.28193832599118945,0.4444444444444444,,0.0,0.6490486257928119,1.0,0.23134328358208955,0.45
DE,2018,0.7606619987269255,0.25879745081740096,0.15343915343915343,0.05,,0.0,0.43452380952380953,0.0,0.0684931506849315,0.16455696202531644,0.5137123745819397,0.38495575221238937,0.0,,0.0,0.7341772151898734,0.0,0.17647058823529413,0.6666666666666666
FL,2018,0.7797017942886024,0.24938458625260368,0.11151578217134929,0.1717171717171717,0.0,0.07142857142857142,0.25571867531580744,0.14864864864864866,0.10863204096561814,0.1691109074243813,0.525682098222144,0.3637196518552451,0.3508771929824561,0.0,0.5,0.5218181818181818,0.5,0.35294117647058826,0.45309734513274336
GA,2018,0.7862712363743494,0.3010365552684301,0.16015142786601927,0.16346153846153846,,0.15151515151515152,0.3194698354661792,0.1951219512195122,0.09693877551020408,0.22006141248720573,0.5970193084208207,0.4372915276851234,0.4782608695652174,,0.3,0.611578947368421,0.5714285714285714,0.358974358974359,0.5714285714285714
HI,2018,0.7468632777131031,0.28840579710144926,0.17197452229299362,0.2222222222222222,0.0,0.0,0.20401801177693107,0.09433962264150944,0.12149532710280374,0.18230088495575222,0.5036496350364964,0.43137254901960786,0.8,0.0,0.0,0.4315129811996419,0.275,0.42857142857142855,0.41638225255972694
ID,2018,0.801935874168179,0.24171488690163073,0.125,0.0603448275862069,0.0,0.1111111111111111,0.13,0.16666666666666666,0.08762886597938144,0.10588235294117647,0.564282580078982,0.5,0.2,0.0,0.0,0.4074074074074074,0.5,0.34782608695652173,0.46153846153846156
IL,2018,0.7682344514742748,0.2824625697500967,0.12878787878787878,0.09090909090909091,0.0,0.11904761904761904,0.31765749778172137,0.15151515151515152,0.06169111302847282,0.1736930860033727,0.5517562533262373,0.3602941176470588,0.21739130434782608,0.0,0.6,0.582853486884197,0.5555555555555556,0.2524752475247525,0.52
