state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7702532782468116,0.25639514322763174,0.24539039380833144,0.30337078651685395,0.0,0.25,0.18627450980392157,0.3333333333333333,0.28019323671497587,0.29553264604810997,0.5512516914749662,0.47335811648079307,0.45161290322580644,0.0,0.0,0.4489795918367347,0.5,0.38095238095238093,0.5
AK,2018,0.6880992667794699,0.2633317602642756,0.3055555555555556,0.2903225806451613,0.20129032258064516,0.25,0.03980099502487562,0.23076923076923078,0.21428571428571427,0.2542372881355932,0.4430379746835443,0.3333333333333333,0.25,0.2620689655172414,0.3333333333333333,0.11363636363636363,0.2,0.25,0.4
AZ,2018,0.7606755416654145,0.2574832009773977,0.29304029304029305,0.2903225806451613,0.4,0.24271844660194175,0.2387202625102543,0.2153846153846154,0.2826086956521739,0.30097087378640774,0.543859649122807,0.5843373493975904,0.375,0.5,0.3,0.4752475247524752,0.3333333333333333,0.4368231046931408,0.49812734082397003
AR,2018,0.7839758776653026,0.21222805056324706,0.2561231630510847,0.25316455696202533,,0.3333333333333333,0.20304568527918782,0.2727272727272727,0.2616487455197133,0.2939068100358423,0.5070170200059719,0.5701357466063348,0.3333333333333333,,1.0,0.509090909090909,0.5,0.2777777777777778,0.38235294117647056
CA,2018,0.7181918074259577,0.26129282845478735,0.30489657590276964,0.2982998454404946,0.07692307692307693,0.21333333333333335,0.22678773426274115,0.1664050235478807,0.26354582547273286,0.30538630270533756,0.5045479962721342,0.49610301592680445,0.4196185286103542,0.2,0.25,0.40389387287650313,0.2578947368421053,0.3471093044263776,0.4520641419310815
CO,2018,0.7496646010349454,0.30697016927036136,0.2925,0.2879581151832461,0.2,0.26153846153846155,0.24665981500513876,0.3333333333333333,0.2630890052356021,0.32163080407701017,0.5734360450351308,0.5951219512195122,0.43902439024390244,0.0,0.08333333333333333,0.4467120181405896,0.45454545454545453,0.35365853658536583,0.5246478873239436
CT,2018,0.7173616376042456,0.31771768054953897,0.2944194996792816,0.2702702702702703,,0.26666666666666666,0.3110367892976589,0.4,0.26436781609195403,0.2805755395683453,0.5390568319226119,0.4779735682819383,0.3333333333333333,,0.0,0.5391120507399577,0.5,0.30597014925373134,0.4583333333333333
DE,2018,0.7375344791003607,0.2601828761429759,0.2843915343915344,0.25,,0.2,0.30357142857142855,0.3333333333333333,0.3424657534246575,0.3291139240506329,0.5023411371237458,0.5221238938053098,0.3333333333333333,,1.0,0.5443037974683544,0.5,0.47058823529411764,0.6
FL,2018,0.7642052059641142,0.2598750236697595,0.25797780090183836,0.29292929292929293,0.2,0.2857142857142857,0.2304540798907477,0.1891891891891892,0.2885881492318947,0.2997250229147571,0.545713782784721,0.49748053137883647,0.45614035087719296,0.0,0.6666666666666666,0.47363636363636363,0.3333333333333333,0.4411764705882353,0.4778761061946903
GA,2018,0.7587744279681823,0.2927905693795186,0.29989301292074727,0.3557692307692308,,0.15151515151515152,0.2856489945155393,0.3170731707317073,0.2693877551020408,0.2917093142272262,0.5860069011085823,0.5503669112741828,0.2608695652173913,,0.4,0.5378947368421053,0.5714285714285714,0.4358974358974359,0.48214285714285715
