state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.8105352972875876,0.30148532358835317,0.10357386751650353,0.1797752808988764,0.0,0.0,0.2908496732026144,0.6666666666666666,0.05314009661835749,0.16838487972508592,0.6425913396481732,0.36926889714993805,0.4838709677419355,0.0,0.0,0.7346938775510204,1.0,0.3333333333333333,0.5384615384615384
AK,2018,0.7467569091934574,0.3109957527135441,0.1527777777777778,0.1935483870967742,0.04516129032258064,0.0,0.07960199004975124,0.07692307692307693,0.047619047619047616,0.16101694915254236,0.5296981499513145,0.20833333333333334,0.3333333333333333,0.14482758620689656,0.0,0.2727272727272727,0.2,0.1,0.3764705882352941
AZ,2018,0.8084863419178412,0.3018478924862553,0.1523809523809524,0.07419354838709677,0.4,0.05825242718446602,0.3757178014766202,0.16923076923076924,0.06578947368421052,0.1766990291262136,0.6374961071317347,0.4578313253012048,0.26171875,0.5,0.2,0.7465346534653465,0.5,0.26714801444043323,0.5318352059925093
AR,2018,0.8195132457462847,0.2505804454381288,0.10496850944716585,0.12658227848101267,,0.06666666666666667,0.28426395939086296,0.09090909090909091,0.021505376344086023,0.14336917562724014,0.603762317109585,0.4298642533936652,0.4444444444444444,,0.5,0.7090909090909091,1.0,0.16666666666666666,0.4264705882352941
CA,2018,0.77999642245675,0.3049435565178586,0.16746523314245648,0.11823802163833076,0.15384615384615385,0.05555555555555555,0.3570882631691583,0.11459968602825746,0.0522528846575703,0.19583231781623203,0.5881640260950606,0.3873263300576076,0.36239782016348776,0.4,0.20833333333333334,0.6319272125723738,0.30526315789473685,0.21476964769647697,0.47151142954622993
CO,2018,0.7852168913307354,0.3586211896045525,0.165,0.12041884816753927,0.2,0.09230769230769231,0.3823227132579651,0.2222222222222222,0.08638743455497382,0.20385050962627407,0.6635909591128418,0.4878048780487805,0.34146341463414637,0.0,0.25,0.7120181405895691,0.36363636363636365,0.2804878048780488,0.5105633802816901
CT,2018,0.7715946424058631,0.3723002661055758,0.12315586914688903,0.05405405405405406,,0.0,0.4604236343366778,0.2,0.04597701149425287,0.18705035971223022,0.6313180169286579,0.32599118942731276,0.2222222222222222,,0.0,0.8033826638477801,0.5,0.20149253731343283,0.5
DE,2018,0.78527477190749,0.30950401773344416,0.1349206349206349,0.1,,0.2,0.49404761904761907,0.3333333333333333,0.0821917808219178,0.12658227848101267,0.6053511705685619,0.37168141592920356,0.3333333333333333,,1.0,0.8860759493670886,0.5,0.29411764705882354,0.4666666666666667
FL,2018,0.8038817285822593,0.3062803761913779,0.1095213319458897,0.15151515151515152,0.0,0.07142857142857142,0.35609423011266644,0.14864864864864866,0.1005852231163131,0.18285976168652612,0.6402041894032741,0.3879981676591846,0.3508771929824561,0.0,0.5,0.7236363636363636,0.5555555555555556,0.40271493212669685,0.5168141592920354
GA,2018,0.8104291466169106,0.3412792892192445,0.15142786601925767,0.17307692307692307,,0.15151515151515152,0.4264168190127971,0.17073170731707318,0.07653061224489796,0.22210849539406347,0.6802731077013435,0.45196797865243493,0.4782608695652174,,0.4,0.7936842105263158,0.5714285714285714,0.358974358974359,0.6107142857142858
HI,2018,0.7597982149786574,0.34202898550724636,0.17834394904458598,0.2222222222222222,0.0,0.0,0.22722549359196398,0.08050314465408805,0.14018691588785046,0.16106194690265488,0.5912408759124088,0.49019607843137253,0.8,0.0,0.0,0.4897045658012534,0.25,0.42857142857142855,0.3651877133105802
ID,2018,0.8142770719903206,0.2760389268805892,0.08333333333333333,0.08620689655172414,0.0,0.0,0.25,0.16666666666666666,0.03608247422680412,0.10588235294117647,0.6406318560772268,0.5,0.35,0.0,0.0,0.7037037037037037,0.5,0.21739130434782608,0.46153846153846156
