state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7314981138853961,0.35535777437227395,0.36307762349191897,0.3707865168539326,0.0,0.3333333333333333,0.32679738562091504,0.3333333333333333,0.36231884057971014,0.39862542955326463,0.6776048714479026,0.45724907063197023,0.4838709677419355,0.0,0.0,0.37755102040816324,0.0,0.38095238095238093,0.2692307692307692
AK,2018,0.6830231246474902,0.37989617744218973,0.375,0.5806451612903226,0.3793548387096774,0.4090909090909091,0.3681592039800995,0.38461538461538464,0.2857142857142857,0.4110169491525424,0.6280428432327166,0.4583333333333333,0.6666666666666666,0.47586206896551725,0.4444444444444444,0.4772727272727273,0.2,0.35,0.4117647058823529
AZ,2018,0.7329086155602968,0.3288790470372633,0.37216117216117217,0.36258064516129035,0.6,0.44660194174757284,0.39622641509433965,0.27692307692307694,0.34553775743707094,0.36893203883495146,0.6332399044949653,0.39759036144578314,0.47265625,0.5,0.4,0.4415841584158416,0.3888888888888889,0.38267148014440433,0.45318352059925093
AR,2018,0.7472898269796827,0.3118066901711239,0.36529041287613717,0.43037974683544306,,0.3333333333333333,0.38578680203045684,0.5,0.35125448028673834,0.3835125448028674,0.6518363690653927,0.4343891402714932,0.5,,0.5,0.38181818181818183,0.0,0.2222222222222222,0.47058823529411764
CA,2018,0.6840773771497202,0.33200833016544634,0.38015659693817927,0.3384853168469861,0.23076923076923078,0.32,0.38555137729676847,0.3626373626373626,0.3567323301013469,0.3760662929563734,0.603205964585275,0.41782446628261605,0.40054495912806537,0.2,0.25,0.4192912133358783,0.42105263157894735,0.37601626016260165,0.40736949846468784
CO,2018,0.7342362486424328,0.3763456450034434,0.385,0.3193717277486911,0.4,0.3384615384615385,0.40184994861253853,0.3055555555555556,0.3900523560209424,0.39184597961494905,0.6569034114958097,0.424390243902439,0.4146341463414634,0.0,0.25,0.41723356009070295,0.2727272727272727,0.4146341463414634,0.40492957746478875
CT,2018,0.7203942380591357,0.3956928027724488,0.372674791533034,0.35135135135135137,,0.3333333333333333,0.3857302118171683,0.4,0.3635057471264368,0.40047961630695444,0.6443772672309552,0.4251101321585903,0.4444444444444444,,1.0,0.4439746300211416,1.0,0.373134328358209,0.475
DE,2018,0.7175896456609379,0.3405375450263231,0.3531746031746032,0.2,,0.2,0.4107142857142857,0.3333333333333333,0.3561643835616438,0.379746835443038,0.6260869565217392,0.3584070796460177,0.0,,1.0,0.46835443037974683,0.5,0.35294117647058826,0.3333333333333333
FL,2018,0.7319383371240838,0.3297734015022407,0.36229621921609434,0.3686868686868687,0.2,0.42857142857142855,0.38682144076476616,0.32432432432432434,0.35698610095098754,0.3758020164986251,0.6344305580003521,0.40174072377462205,0.40350877192982454,0.0,0.8333333333333334,0.41,0.3888888888888889,0.41402714932126694,0.42123893805309737
GA,2018,0.7097515466954728,0.3730147208269214,0.3708336762406386,0.3076923076923077,,0.2727272727272727,0.38482632541133455,0.3902439024390244,0.3806122448979592,0.36438075742067555,0.6828426694075325,0.40360240160106736,0.391304347826087,,0.3,0.43473684210526314,0.2857142857142857,0.47435897435897434,0.4
