state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7895634991916651,0.3885417894612755,0.17755520145686318,0.30337078651685395,0.0,0.0,0.27450980392156865,0.6666666666666666,0.0821256038647343,0.27491408934707906,0.7374830852503383,0.5105328376703842,0.6129032258064516,0.0,0.0,0.6836734693877551,1.0,0.47619047619047616,0.7692307692307693
AK,2018,0.7597292724196277,0.389806512505899,0.2777777777777778,0.25806451612903225,0.1135483870967742,0.11363636363636363,0.1890547263681592,0.07692307692307693,0.3333333333333333,0.2457627118644068,0.6426484907497566,0.5,0.5,0.2620689655172414,0.1111111111111111,0.38636363636363635,0.0,0.5,0.5294117647058824
AZ,2018,0.7888331279862968,0.34682345754428834,0.20512820512820512,0.14967741935483872,0.4,0.07766990291262135,0.3420836751435603,0.2153846153846154,0.10640732265446225,0.24854368932038834,0.670196200560573,0.5512048192771084,0.42578125,0.5,0.3,0.6693069306930693,0.5,0.3898916967509025,0.6329588014981273
AR,2018,0.7915141072582382,0.33786224094935075,0.1847445766270119,0.2911392405063291,,0.06666666666666667,0.25888324873096447,0.13636363636363635,0.06451612903225806,0.2939068100358423,0.7058823529411765,0.6108597285067874,0.7222222222222222,,0.0,0.6727272727272727,1.0,0.16666666666666666,0.6764705882352942
CA,2018,0.77999642245675,0.34546220848552966,0.22940282809395815,0.18547140649149924,0.07692307692307693,0.13555555555555557,0.34186309578403495,0.15070643642072212,0.09353748958013425,0.2707774798927614,0.6371109040074557,0.49169772958319213,0.5040871934604905,0.2,0.4375,0.5978240122160717,0.3631578947368421,0.32362240289069555,0.5922893210508359
CO,2018,0.7716092761770906,0.3998695132117873,0.2325,0.17277486910994763,0.6,0.18461538461538463,0.35354573484069884,0.2222222222222222,0.14267015706806283,0.28199320498301245,0.696182172183188,0.5951219512195122,0.36585365853658536,1.0,0.3333333333333333,0.6394557823129252,0.36363636363636365,0.3597560975609756,0.6619718309859155
CT,2018,0.7766995198382614,0.41760009901602824,0.17831943553559973,0.1891891891891892,,0.2,0.45707915273132665,0.4,0.08333333333333333,0.2517985611510791,0.6813784764207981,0.44493392070484583,0.5555555555555556,,0.0,0.7801268498942917,1.0,0.2835820895522388,0.6416666666666667
DE,2018,0.7867600254614895,0.35910224438902744,0.2037037037037037,0.1,,0.2,0.4642857142857143,0.0,0.1095890410958904,0.22784810126582278,0.6695652173913044,0.4823008849557522,0.3333333333333333,,1.0,0.8354430379746836,0.0,0.35294117647058826,0.7333333333333333
FL,2018,0.7834217841799342,0.3483683645774159,0.16831425598335067,0.2676767676767677,0.0,0.10714285714285714,0.3270740867190167,0.16216216216216217,0.14374542794440381,0.26397800183318054,0.6703749339904946,0.49931287219422815,0.5263157894736842,0.0,0.5,0.6454545454545455,0.5555555555555556,0.4751131221719457,0.6159292035398231
GA,2018,0.7929490327015615,0.4010046165906913,0.21850053493539626,0.25961538461538464,,0.21212121212121213,0.40036563071297987,0.21951219512195122,0.13163265306122449,0.2835209825997953,0.7330592467513398,0.5580386924616411,0.6521739130434783,,0.6,0.7368421052631579,0.5714285714285714,0.4551282051282051,0.6892857142857143
HI,2018,0.770663562281723,0.385024154589372,0.2484076433121019,0.2222222222222222,0.0,0.0,0.26359542777970213,0.13459119496855346,0.17757009345794392,0.2920353982300885,0.6308654848800834,0.5294117647058824,0.8,0.0,0.0,0.5416293643688451,0.38,0.5,0.6262798634812287
ID,2018,0.7891107078039927,0.351788532351394,0.2916666666666667,0.10344827586206896,0.0,0.1111111111111111,0.2,0.16666666666666666,0.10309278350515463,0.2,0.7283896445809566,0.6666666666666666,0.35,0.0,0.0,0.48148148148148145,0.5,0.34782608695652173,0.6538461538461539
IL,2018,0.7828279813775815,0.3820739949540524,0.18886539816772374,0.14285714285714285,0.0,0.21428571428571427,0.4075717243419107,0.18181818181818182,0.09232096635030199,0.2630691399662732,0.6898616285258116,0.4879679144385027,0.34782608695652173,0.0,0.8,0.7229686500319897,0.5555555555555556,0.3316831683168317,0.6707692307692308
IN,2018,0.7933584603963223,0.34860910114166266,0.1693121693121693,0.2727272727272727,0.0,0.25,0.3110773899848255,0.1875,0.09479553903345725,0.2557726465364121,0.7147735261624988,0.5067385444743935,0.8888888888888888,0.0,0.6666666666666666,0.7040358744394619,0.5,0.29473684210526313,0.6377952755905512
IA,2018,0.7834319526627219,0.3529656979514054,0.10810810810810811,0.19148936170212766,,0.07692307692307693,0.21323529411764705,0.0,0.11258278145695365,0.18292682926829268,0.7071468979822741,0.4,0.8888888888888888,,1.0,0.6153846153846154,0.0,0.5882352941176471,0.7857142857142857
KS,2018,0.7869931043208706,0.37530352806741896,0.19805194805194806,0.21052631578947367,0.0,0.1111111111111111,0.36231884057971014,0.1875,0.10661764705882353,0.22439024390243903,0.7384581400485973,0.624,0.6,0.0,0.3333333333333333,0.704,0.4,0.4838709677419355,0.7391304347826086
KY,2018,0.7847859674634191,0.3516206965975438,0.18245341614906832,0.22727272727272727,1.0,0.0,0.3238993710691824,0.06666666666666667,0.07514450867052024,0.20512820512820512,0.7005297600498598,0.5550847457627118,0.5,0.0,0.0,0.7383177570093458,0.0,0.4166666666666667,0.7096774193548387
ME,2018,0.7753499000285633,0.33468529367582994,0.14666666666666667,0.1,,0.16666666666666666,0.23684210526315788,0.0,0.26666666666666666,0.18181818181818182,0.6702179176755448,0.75,0.6666666666666666,,1.0,0.6086956521739131,0.0,0.5,0.5789473684210527
MD,2018,0.7749530900066582,0.44402114386399355,0.25856737954135534,0.3018867924528302,1.0,0.08695652173913043,0.4321266968325792,0.24,0.08612873980054397,0.3202312138728324,0.7073586089450569,0.515044814340589,0.5714285714285714,1.0,0.2222222222222222,0.7212121212121212,0.375,0.32019704433497537,0.6299435028248588
MI,2018,0.7928331466965286,0.3565239492594561,0.17170891251022077,0.23843416370106763,,0.14035087719298245,0.4103122730573711,0.36363636363636365,0.17257683215130024,0.2327113062568606,0.705089919702701,0.5326370757180157,0.6333333333333333,,0.5,0.7368421052631579,1.0,0.5454545454545454,0.6497695852534562
MN,2018,0.771541858740853,0.3832099989377899,0.1267123287671233,0.20074349442379183,0.0,0.10256410256410256,0.2441860465116279,0.14285714285714285,0.07518796992481203,0.2,0.6890349675887885,0.5038167938931297,0.5625,0.0,1.0,0.6363636363636364,0.3333333333333333,0.32432432432432434,0.5892857142857143
MS,2018,0.7789824854045038,0.39048494598942773,0.1848151848151848,0.07547169811320754,,0.2,0.24456521739130435,0.0,0.11320754716981132,0.29457364341085274,0.7235398230088496,0.5319488817891374,0.2857142857142857,,0.0,0.6458333333333334,0.0,0.5,0.6363636363636364
MO,2018,0.7795288024254674,0.355035279025016,0.18915223336371922,0.2524271844660194,0.0,0.21428571428571427,0.3811252268602541,0.08108108108108109,0.09230769230769231,0.23412698412698413,0.7031460674157304,0.5448717948717948,0.6153846153846154,0.0,0.6666666666666666,0.7342342342342343,0.3333333333333333,0.25,0.6138613861386139
MT,2018,0.7675269998169504,0.353938185443669,0.14285714285714285,0.20318725099601595,,0.2,0.16666666666666666,0.6666666666666666,0.09523809523809523,0.29411764705882354,0.6958831341301461,1.0,0.5208333333333334,,0.0,0.4444444444444444,0.0,0.0,0.71875
NE,2018,0.7679184051923968,0.37681306420529465,0.16165413533834586,0.11458333333333333,,0.5,0.2422680412371134,0.3333333333333333,0.1130952380952381,0.22340425531914893,0.7153147510178516,0.4375,0.5,,0.6,0.49019607843137253,1.0,0.47619047619047616,0.6388888888888888
NV,2018,0.7820625379887891,0.32594146438917193,0.1595744680851064,0.16988416988416988,,0.1388888888888889,0.19669777458722182,0.1595744680851064,0.05470459518599562,0.20853858784893267,0.6188156882850551,0.46311475409836067,0.41379310344827586,,0.2222222222222222,0.4134831460674157,0.46153846153846156,0.2125,0.5548387096774193
