state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.761675947548051,0.31734056347990097,0.3018438424766674,0.34831460674157305,1.0,0.08333333333333333,0.31699346405228757,0.3333333333333333,0.2946859903381642,0.31958762886597936,0.648680649526387,0.43370508054522927,0.5806451612903226,0.0,0.0,0.7040816326530612,0.5,0.47619047619047616,0.4423076923076923
AK,2018,0.6968415115623238,0.3171307220386975,0.3333333333333333,0.3870967741935484,0.3109677419354839,0.09090909090909091,0.12935323383084577,0.2692307692307692,0.30952380952380953,0.2245762711864407,0.5365141187925998,0.3333333333333333,0.3333333333333333,0.4068965517241379,0.1111111111111111,0.29545454545454547,0.6,0.45,0.3058823529411765
AZ,2018,0.7635303663190792,0.29291386682956627,0.31794871794871793,0.31483870967741934,1.0,0.11650485436893204,0.37735849056603776,0.36923076923076925,0.2906178489702517,0.3087378640776699,0.6039655351396243,0.4457831325301205,0.44140625,1.0,0.2,0.6633663366336634,0.5,0.4404332129963899,0.4756554307116105
AR,2018,0.7869193768396869,0.24714076876773583,0.2638208537438768,0.27848101265822783,,0.0,0.3197969543147208,0.3181818181818182,0.26523297491039427,0.27956989247311825,0.5867423111376531,0.3755656108597285,0.3888888888888889,,0.0,0.6727272727272727,1.0,0.2777777777777778,0.45588235294117646
CA,2018,0.7314696036593157,0.29536551906517033,0.3147131003856492,0.3369397217928903,0.5384615384615384,0.08888888888888889,0.34987312360512396,0.29513343799058084,0.27131136752511736,0.3173287838167195,0.5646784715750233,0.4222297526262284,0.4250681198910082,0.6,0.20833333333333334,0.5666475790545269,0.3526315789473684,0.3584010840108401,0.43841692255203
CO,2018,0.7581294320577525,0.3392294030229439,0.30625,0.3036649214659686,0.4,0.046153846153846156,0.3771839671120247,0.3055555555555556,0.2892670157068063,0.31483578708946774,0.6271057309743503,0.4292682926829268,0.3902439024390244,0.0,0.0,0.6258503401360545,0.45454545454545453,0.3597560975609756,0.4225352112676056
CT,2018,0.7389941875157948,0.3619035831425212,0.2873636946760744,0.32432432432432434,,0.06666666666666667,0.45484949832775917,0.2,0.27873563218390807,0.2997601918465228,0.609552599758162,0.3964757709251101,0.3333333333333333,,0.0,0.7378435517970402,0.0,0.34328358208955223,0.4083333333333333
DE,2018,0.7500530447697857,0.29537267941257966,0.2830687830687831,0.4,,0.2,0.4880952380952381,0.6666666666666666,0.2465753424657534,0.34177215189873417,0.5752508361204013,0.4336283185840708,0.3333333333333333,,1.0,0.8354430379746836,0.5,0.29411764705882354,0.4666666666666667
FL,2018,0.7630224917867071,0.30133181846872437,0.29448491155046824,0.3686868686868687,0.2,0.08928571428571429,0.36360532604984636,0.2702702702702703,0.3108997805413314,0.3010999083409716,0.6134483365604647,0.4434264773247824,0.45614035087719296,0.0,0.3333333333333333,0.6763636363636364,0.3888888888888889,0.4502262443438914,0.4672566371681416
GA,2018,0.7552587646076795,0.32693591939839145,0.3096041478067649,0.33653846153846156,,0.15151515151515152,0.4319012797074954,0.24390243902439024,0.26326530612244897,0.3285568065506653,0.6456941487409148,0.45697131420947296,0.4782608695652174,,0.1,0.7494736842105263,0.5714285714285714,0.3782051282051282,0.4928571428571429
ID,2018,0.8001209921355112,0.25907417148869016,0.16666666666666666,0.31896551724137934,0.6666666666666666,0.05555555555555555,0.26,0.16666666666666666,0.24742268041237114,0.2235294117647059,0.6064063185607723,0.16666666666666666,0.5,0.0,0.0,0.6296296296296297,0.25,0.43478260869565216,0.46153846153846156
IL,2018,0.7552673988301302,0.30356715345942065,0.2942212825933756,0.22077922077922077,0.5,0.23809523809523808,0.4418811002661934,0.30303030303030304,0.270060396893874,0.2951096121416526,0.5883892141209863,0.42045454545454547,0.13043478260869565,0.0,0.4,0.7293666026871402,0.2222222222222222,0.32673267326732675,0.4369230769230769
IN,2018,0.7815658728799041,0.24971860427721498,0.2837902837902838,0.34545454545454546,0.0,0.0625,0.34294385432473445,0.1875,0.29182156133828996,0.3019538188277087,0.5667369689665562,0.3881401617250674,0.5555555555555556,0.0,0.3333333333333333,0.7354260089686099,0.5,0.23157894736842105,0.4251968503937008
IA,2018,0.7867004790081713,0.24273463554073368,0.25675675675675674,0.23404255319148937,,0.07692307692307693,0.29044117647058826,0.4,0.25165562913907286,0.2865853658536585,0.5493117103526306,0.4,0.4444444444444444,,1.0,0.6923076923076923,1.0,0.23529411764705882,0.7142857142857143
KS,2018,0.779717846523692,0.2751035566347665,0.288961038961039,0.24060150375939848,0.5,0.0,0.3739130434782609,0.5625,0.25735294117647056,0.28780487804878047,0.5975259553788381,0.472,0.3333333333333333,0.0,0.0,0.68,0.6,0.3870967741935484,0.532608695652174
KY,2018,0.7873761701354176,0.26213005838534326,0.2833850931677019,0.36363636363636365,1.0,0.0,0.3710691823899371,0.2,0.2658959537572254,0.3333333333333333,0.5889685260205672,0.4364406779661017,0.5,0.0,0.0,0.7383177570093458,0.3333333333333333,0.5,0.5967741935483871
ME,2018,0.7840616966580977,0.24710830704521555,0.2,0.525,,0.0,0.25,0.0,0.4666666666666667,0.3333333333333333,0.5583535108958838,0.375,0.3333333333333333,,0.0,0.5652173913043478,0.0,0.5,0.47368421052631576
