state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7807167235494881,0.3658493457503242,0.27612110175278853,0.5056179775280899,0.0,0.16666666666666666,0.35947712418300654,0.3333333333333333,0.19806763285024154,0.3436426116838488,0.7178619756427604,0.6022304832713755,0.8064516129032258,0.0,0.0,0.7346938775510204,0.5,0.5714285714285714,0.7692307692307693
AK,2018,0.7470389170896785,0.32751297781972627,0.3194444444444444,0.45161290322580644,0.0,0.22727272727272727,0.18407960199004975,0.11538461538461539,0.35714285714285715,0.2966101694915254,0.5472249269717624,0.625,0.8333333333333334,0.0,0.4444444444444444,0.4772727272727273,0.2,0.55,0.5411764705882353
AZ,2018,0.7891636866304054,0.3170815516188149,0.2703296703296703,0.24064516129032257,0.0,0.1553398058252427,0.43232157506152585,0.3076923076923077,0.244279176201373,0.31359223300970873,0.6484999480950898,0.5873493975903614,0.56640625,0.0,0.1,0.7564356435643564,0.5,0.5740072202166066,0.6891385767790262
AR,2018,0.8044367865604135,0.26459712786998024,0.22463261021693492,0.45569620253164556,,0.06666666666666667,0.3350253807106599,0.13636363636363635,0.2007168458781362,0.34767025089605735,0.6225739026575097,0.5610859728506787,0.8333333333333334,,0.5,0.7636363636363637,0.5,0.6666666666666666,0.7794117647058824
CA,2018,0.7700406306697672,0.31652149480191066,0.2843286198434031,0.30525502318392583,0.0,0.23777777777777778,0.41719404445259717,0.271585557299843,0.22366516035624973,0.3384109188398733,0.6022180801491146,0.5249068112504236,0.6566757493188011,0.0,0.4166666666666667,0.671438569701597,0.4263157894736842,0.5487804878048781,0.6591606960081884
CO,2018,0.7776464575480738,0.36587045561636883,0.29875,0.3298429319371728,0.0,0.2,0.42857142857142855,0.3333333333333333,0.2931937172774869,0.3408833522083805,0.6687547617032084,0.6585365853658537,0.7073170731707317,0.0,0.3333333333333333,0.7165532879818595,0.45454545454545453,0.6158536585365854,0.6936619718309859
CT,2018,0.7656305281779126,0.38319202920972834,0.23027581783194356,0.35135135135135137,,0.13333333333333333,0.49052396878483834,0.0,0.22126436781609196,0.3117505995203837,0.6428053204353084,0.46255506607929514,0.7777777777777778,,0.0,0.7780126849894292,0.0,0.5671641791044776,0.675
DE,2018,0.775726713346064,0.32058742033804377,0.2552910052910053,0.3,,0.2,0.5059523809523809,0.0,0.2191780821917808,0.21518987341772153,0.6173913043478261,0.5309734513274337,1.0,,1.0,0.810126582278481,0.0,0.4117647058823529,0.6666666666666666
FL,2018,0.7823401566843569,0.32421889793599695,0.23794658342004857,0.41414141414141414,0.0,0.17857142857142858,0.41447593035165586,0.24324324324324326,0.3266276517922458,0.3510540788267644,0.6519274775567682,0.5716903344021989,0.7192982456140351,0.0,0.16666666666666666,0.7345454545454545,0.5555555555555556,0.7013574660633484,0.6920353982300885
GA,2018,0.7878228419915545,0.35260300223570745,0.2709242037692371,0.4230769230769231,,0.3333333333333333,0.4584095063985375,0.2926829268292683,0.26632653061224487,0.33265097236438074,0.6877615446736657,0.5837224816544363,0.8695652173913043,,0.5,0.7568421052631579,0.5714285714285714,0.6025641025641025,0.7392857142857143
HI,2018,0.7464752295951365,0.3570048309178744,0.267515923566879,0.3333333333333333,0.0,0.0,0.3321787322480083,0.21635220125786164,0.24299065420560748,0.3238938053097345,0.6141814389989573,0.5686274509803921,0.8,0.0,0.0,0.603401969561325,0.35,0.5714285714285714,0.6109215017064846
ID,2018,0.8038717483363581,0.28274592319831665,0.3333333333333333,0.20689655172413793,0.0,0.2222222222222222,0.31,0.25,0.26288659793814434,0.2235294117647059,0.645458534444932,0.8333333333333334,0.75,0.0,0.0,0.8148148148148148,0.25,0.5652173913043478,0.5384615384615384
IL,2018,0.7784558911304763,0.32693688882341027,0.24506694855532066,0.37662337662337664,0.0,0.16666666666666666,0.4821058858325939,0.30303030303030304,0.2351164797238999,0.30438448566610454,0.6285701614333865,0.5260695187165776,0.6521739130434783,0.0,0.4,0.7690339091490723,0.4444444444444444,0.551980198019802,0.676923076923077
IN,2018,0.7973273942093542,0.2726804952564721,0.21645021645021645,0.38181818181818183,0.0,0.125,0.37177541729893776,0.25,0.22862453531598512,0.2966252220248668,0.6118308727528372,0.5148247978436657,0.8888888888888888,0.0,0.3333333333333333,0.7937219730941704,1.0,0.4421052631578947,0.6062992125984252
IA,2018,0.7958861651169343,0.2694735588375417,0.16216216216216217,0.2978723404255319,,0.15384615384615385,0.2867647058823529,0.2,0.2582781456953642,0.29878048780487804,0.6006034320196115,0.43333333333333335,0.8888888888888888,,1.0,0.7538461538461538,1.0,0.8235294117647058,0.8214285714285714
KS,2018,0.7904725754412602,0.3023853735180688,0.25,0.3458646616541353,0.0,0.3333333333333333,0.391304347826087,0.3125,0.21323529411764705,0.28536585365853656,0.642588910978573,0.6,0.8,0.0,0.3333333333333333,0.752,0.4,0.45161290322580644,0.7608695652173914
KY,2018,0.8000090884304281,0.2855345278840346,0.234472049689441,0.36363636363636365,0.0,0.1111111111111111,0.39622641509433965,0.4666666666666667,0.1791907514450867,0.266025641025641,0.6307260828918666,0.6186440677966102,0.5,0.0,0.0,0.794392523364486,0.3333333333333333,0.5,0.7741935483870968
LA,2018,0.7740842889630812,0.31615589379564535,0.21391805641342393,0.26262626262626265,0.0,0.19047619047619047,0.3665893271461717,0.5,0.2605042016806723,0.34710743801652894,0.6065949567977429,0.5363941769316909,0.5357142857142857,0.0,0.5,0.746031746031746,1.0,0.575,0.6728971962616822
MA,2018,0.7683352445530239,0.3678039025572658,0.2436010591350397,0.4186046511627907,0.0,0.16666666666666666,0.4404718024327313,0.23529411764705882,0.2373029772329247,0.31305309734513276,0.6364755107063746,0.5099540581929556,0.7,0.0,1.0,0.7328767123287672,0.2857142857142857,0.547244094488189,0.643598615916955
ME,2018,0.7936303913167666,0.2715938110259877,0.22666666666666666,0.3,,0.3333333333333333,0.32894736842105265,1.0,0.3333333333333333,0.2727272727272727,0.6038740920096852,0.875,0.6666666666666666,,1.0,0.7391304347826086,0.0,1.0,0.7368421052631579
MD,2018,0.7687791295926397,0.41625791704366877,0.3254315897964442,0.5471698113207547,0.0,0.2608695652173913,0.497737556561086,0.4,0.19673617407071622,0.40115606936416187,0.6833378148247737,0.5768245838668374,0.8095238095238095,0.0,0.4444444444444444,0.7515151515151515,0.875,0.5320197044334976,0.7175141242937854
MI,2018,0.8009318509038554,0.2933986459945932,0.21995094031071136,0.3274021352313167,,0.17543859649122806,0.4662309368191721,0.2727272727272727,0.28132387706855794,0.2843029637760702,0.6354104452850222,0.5430809399477807,0.75,,0.16666666666666666,0.7863777089783281,0.3333333333333333,0.6590909090909091,0.7511520737327189
MN,2018,0.7744431191773314,0.300782494777467,0.19292237442922375,0.3271375464684015,0.0,0.1794871794871795,0.2988372093023256,0.2857142857142857,0.18421052631578946,0.29130434782608694,0.5926230256550716,0.5419847328244275,0.7083333333333334,0.0,1.0,0.7045454545454546,0.3333333333333333,0.43243243243243246,0.6785714285714286
MS,2018,0.7839866555462885,0.3175132153527925,0.22227772227772227,0.2830188679245283,,0.2,0.3532608695652174,0.16666666666666666,0.20754716981132076,0.3798449612403101,0.6470796460176991,0.5702875399361023,0.14285714285714285,,0.0,0.7291666666666666,0.0,0.625,0.7575757575757576
MO,2018,0.7944984840828702,0.2858313733874991,0.23792160437556972,0.4077669902912621,0.0,0.5714285714285714,0.4482758620689655,0.21621621621621623,0.3230769230769231,0.2996031746031746,0.6289887640449439,0.5769230769230769,0.7692307692307693,0.0,0.6666666666666666,0.7972972972972973,0.4444444444444444,0.5,0.7029702970297029
MT,2018,0.7728354384038074,0.2761714855433699,0.14285714285714285,0.350597609561753,,0.6,0.23333333333333334,0.3333333333333333,0.3333333333333333,0.31092436974789917,0.5849933598937583,0.0,0.7916666666666666,,0.0,0.5555555555555556,0.0,0.0,0.65625
NE,2018,0.779323133982383,0.3090909090909091,0.3508771929824561,0.18181818181818182,,0.0,0.4666666666666667,,0.19230769230769232,0.2564102564102564,0.635670731707317,0.8,0.3333333333333333,,0.0,0.8,,0.3333333333333333,0.6666666666666666
NV,2018,0.7680151279800095,0.28069123963639997,0.23887814313346228,0.2702702702702703,,0.25,0.2770997846374731,0.20212765957446807,0.16630196936542668,0.270935960591133,0.5565239682132787,0.5245901639344263,0.5172413793103449,,0.4444444444444444,0.5415730337078651,0.23076923076923078,0.46875,0.5806451612903226
NH,2018,0.7875972884760231,0.3303583322232583,0.1935483870967742,0.14285714285714285,0.0,0.0,0.4393063583815029,0.16666666666666666,0.32653061224489793,0.336,0.6429746627179993,0.625,1.0,0.0,0.0,0.7530864197530864,0.3333333333333333,0.8461538461538461,0.8125
