state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.8020477815699659,0.3364375810444418,0.16708399726838152,0.29213483146067415,0.0,0.08333333333333333,0.30718954248366015,0.6666666666666666,0.06280193236714976,0.21305841924398625,0.6808186738836265,0.5130111524163569,0.6451612903225806,0.0,0.0,0.7653061224489796,1.0,0.42857142857142855,0.6346153846153846
AK,2018,0.7450648618161309,0.30438886267107124,0.20833333333333334,0.22580645161290322,0.08258064516129032,0.0,0.1044776119402985,0.07692307692307693,0.14285714285714285,0.13983050847457626,0.5199610516066212,0.3333333333333333,0.4166666666666667,0.2206896551724138,0.0,0.36363636363636365,0.2,0.25,0.3411764705882353
AZ,2018,0.799861766385191,0.29043219303604156,0.19047619047619047,0.08967741935483871,0.4,0.07766990291262135,0.3675143560295324,0.15384615384615385,0.08695652173913043,0.19029126213592232,0.6082217377763937,0.5271084337349398,0.30859375,0.5,0.3,0.7267326732673267,0.4444444444444444,0.3212996389891697,0.5617977528089888
AR,2018,0.8176466365137482,0.2393155043425918,0.1231630510846746,0.16455696202531644,,0.06666666666666667,0.28426395939086296,0.09090909090909091,0.02867383512544803,0.17204301075268819,0.5792773962376829,0.4796380090497738,0.6111111111111112,,0.5,0.7454545454545455,1.0,0.2777777777777778,0.5
CA,2018,0.7731173178647177,0.29301026395385354,0.19527871917728176,0.13833075734157652,0.23076923076923078,0.1,0.34678528845271944,0.15070643642072212,0.06686263326459878,0.2055812819887887,0.565591798695247,0.43239579803456457,0.4087193460490463,0.6,0.3229166666666667,0.6051409302029649,0.3684210526315789,0.26129177958446254,0.4882292732855681
CO,2018,0.7780617134095701,0.33785204248069883,0.19625,0.13612565445026178,0.6,0.09230769230769231,0.36793422404933196,0.2777777777777778,0.10078534031413612,0.22423556058890148,0.6307457885380513,0.551219512195122,0.34146341463414637,1.0,0.16666666666666666,0.6689342403628118,0.45454545454545453,0.3048780487804878,0.5598591549295775
CT,2018,0.7644174879959565,0.35788105699610123,0.15779345734445158,0.16216216216216217,,0.06666666666666667,0.4492753623188406,0.2,0.06896551724137931,0.2014388489208633,0.6089480048367594,0.3986784140969163,0.5555555555555556,,0.0,0.7780126849894292,0.5,0.26119402985074625,0.5083333333333333
DE,2018,0.7823042647994908,0.2931559988916597,0.17989417989417988,0.1,,0.2,0.4583333333333333,0.3333333333333333,0.0958904109589041,0.1518987341772152,0.5806020066889632,0.4557522123893805,0.3333333333333333,,1.0,0.8227848101265823,0.5,0.29411764705882354,0.6
FL,2018,0.7948344705585039,0.29904689768351955,0.14386056191467222,0.1919191919191919,0.0,0.07142857142857142,0.3605326049846364,0.16216216216216217,0.13057790782735917,0.193858845096242,0.6161943319838057,0.47045350435180944,0.40350877192982454,0.0,0.5,0.7181818181818181,0.6111111111111112,0.45701357466063347,0.5309734513274337
GA,2018,0.8043602081901208,0.32818443134636044,0.18442926508106328,0.17307692307692307,,0.21212121212121213,0.40585009140767825,0.14634146341463414,0.09795918367346938,0.23439099283520984,0.6558255634681741,0.513675783855904,0.5217391304347826,,0.5,0.748421052631579,0.42857142857142855,0.3717948717948718,0.6214285714285714
HI,2018,0.7652308886301902,0.3386473429951691,0.2229299363057325,0.16666666666666666,0.0,0.0,0.2518184967093869,0.10062893081761007,0.16822429906542055,0.18053097345132743,0.5870698644421272,0.5294117647058824,0.6,0.0,0.0,0.5273052820053715,0.3,0.5,0.4180887372013652
ID,2018,0.8093163944343618,0.254471330878485,0.14583333333333334,0.09482758620689655,0.0,0.0,0.24,0.16666666666666666,0.05154639175257732,0.12352941176470589,0.5971917507678807,0.5,0.4,0.0,0.0,0.6666666666666666,0.5,0.21739130434782608,0.5
IL,2018,0.782201265369464,0.30062061472164414,0.15627202255109232,0.1038961038961039,0.5,0.11904761904761904,0.42502218278615794,0.18181818181818182,0.06082830025884383,0.18549747048903878,0.5897640588965762,0.4324866310160428,0.21739130434782608,0.0,0.4,0.746641074856046,0.5555555555555556,0.24257425742574257,0.556923076923077
IN,2018,0.8010964536577009,0.2465348126708474,0.13083213083213083,0.18181818181818182,0.0,0.125,0.32473444613050073,0.125,0.06133828996282528,0.1847246891651865,0.5679421512503766,0.40700808625336926,0.6666666666666666,0.0,0.3333333333333333,0.7533632286995515,0.5,0.16842105263157894,0.5039370078740157
IA,2018,0.7997182304874613,0.2386850881372082,0.09797297297297297,0.14893617021276595,,0.07692307692307693,0.21691176470588236,0.2,0.06622516556291391,0.16463414634146342,0.5530831604752027,0.3333333333333333,0.6666666666666666,,1.0,0.6923076923076923,1.0,0.29411764705882354,0.7142857142857143
KS,2018,0.8010375150249889,0.2723896586201971,0.14123376623376624,0.15037593984962405,0.0,0.1111111111111111,0.3536231884057971,0.1875,0.05514705882352941,0.18292682926829268,0.602606582725867,0.504,0.4666666666666667,0.0,0.3333333333333333,0.728,0.4,0.3225806451612903,0.6086956521739131
KY,2018,0.8042352085794783,0.2583551439500705,0.1327639751552795,0.2727272727272727,1.0,0.0,0.3490566037735849,0.0,0.046242774566473986,0.14743589743589744,0.5872545964474915,0.4788135593220339,0.5,0.0,0.0,0.7757009345794392,0.0,0.3333333333333333,0.5483870967741935
