state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7995778695886474,0.3756925615937758,0.1891645800136581,0.3707865168539326,0.0,0.0,0.37254901960784315,1.0,0.10628019323671498,0.24742268041237114,0.7346075778078485,0.563816604708798,0.6774193548387096,0.0,0.0,0.8469387755102041,1.0,0.5714285714285714,0.75
AK,2018,0.772419627749577,0.4110429447852761,0.3611111111111111,0.3225806451612903,0.10709677419354839,0.06818181818181818,0.16417910447761194,0.19230769230769232,0.23809523809523808,0.19915254237288135,0.667964946445959,0.5833333333333334,0.6666666666666666,0.31724137931034485,0.1111111111111111,0.4772727272727273,0.4,0.4,0.47058823529411764
AZ,2018,0.8005228836734081,0.3809941967012828,0.2725274725274725,0.14387096774193547,0.4,0.13592233009708737,0.4372436423297785,0.2923076923076923,0.14759725400457666,0.24854368932038834,0.7347659088549777,0.6867469879518072,0.44921875,0.5,0.3,0.80990099009901,0.6111111111111112,0.48736462093862815,0.6704119850187266
AR,2018,0.797329312944217,0.3290910654398487,0.1861441567529741,0.2911392405063291,,0.2,0.3299492385786802,0.18181818181818182,0.0931899641577061,0.23655913978494625,0.7037921767691848,0.6063348416289592,0.6666666666666666,,0.5,0.7636363636363637,1.0,0.4444444444444444,0.5735294117647058
CA,2018,0.7982265607032428,0.3817000809877196,0.2781348603482529,0.21638330757341576,0.38461538461538464,0.17777777777777778,0.4405209575346235,0.22448979591836735,0.12367832229193174,0.2804045820131611,0.697017707362535,0.5757370382921043,0.553133514986376,0.8,0.5208333333333334,0.7381179614430234,0.5473684210526316,0.41779584462511293,0.6223132036847492
CO,2018,0.7879000830511723,0.4353909166696872,0.2825,0.2513089005235602,0.4,0.18461538461538463,0.4624871531346352,0.3333333333333333,0.17015706806282724,0.29898074745186864,0.7567933632438839,0.6829268292682927,0.5853658536585366,1.0,0.3333333333333333,0.800453514739229,0.6363636363636364,0.4451219512195122,0.7112676056338029
CT,2018,0.7898407884761183,0.4411164057181756,0.20718409236690186,0.21621621621621623,,0.06666666666666667,0.5206243032329989,0.4,0.13505747126436782,0.2541966426858513,0.7178960096735187,0.5022026431718062,0.6666666666666666,,0.0,0.8604651162790697,1.0,0.44776119402985076,0.6416666666666667
DE,2018,0.7931253978357734,0.38431698531449154,0.24867724867724866,0.15,,0.0,0.5535714285714286,0.6666666666666666,0.136986301369863,0.17721518987341772,0.705685618729097,0.5973451327433629,0.6666666666666666,,0.0,0.8987341772151899,1.0,0.29411764705882354,0.6666666666666666
FL,2018,0.7868385140257771,0.39366281638578554,0.2193028095733611,0.29797979797979796,0.2,0.125,0.43325367019460564,0.20270270270270271,0.2099487929773226,0.2763519706691109,0.7401513817989791,0.6289509848831882,0.5263157894736842,0.0,0.8333333333333334,0.7927272727272727,0.6111111111111112,0.6153846153846154,0.6690265486725664
GA,2018,0.8009427477167829,0.42124212421242124,0.2586618385318081,0.3076923076923077,,0.24242424242424243,0.48171846435100546,0.2926829268292683,0.17142857142857143,0.30808597748208805,0.7713090081491815,0.6477651767845231,0.7391304347826086,,0.6,0.8357894736842105,0.8571428571428571,0.5512820512820513,0.7535714285714286
HI,2018,0.7741559953434226,0.427536231884058,0.2802547770700637,0.2222222222222222,0.0,0.0,0.31693799792171806,0.1559748427672956,0.205607476635514,0.25545722713864305,0.7028154327424401,0.6078431372549019,0.8,0.0,0.0,0.6141450313339302,0.4,0.6071428571428571,0.5494880546075085
ID,2018,0.7899576527525711,0.36546554445028934,0.25,0.19827586206896552,0.0,0.1111111111111111,0.32,0.16666666666666666,0.1134020618556701,0.17647058823529413,0.7525230364194823,0.8333333333333334,0.7,0.0,0.0,0.7777777777777778,0.5,0.21739130434782608,0.5384615384615384
IL,2018,0.7927808284588755,0.3985009484171562,0.2255109231853418,0.2077922077922078,0.5,0.19047619047619047,0.5016267376515824,0.21212121212121213,0.12208800690250216,0.25126475548060706,0.7224587546567323,0.5635026737967914,0.43478260869565216,0.0,0.8,0.8432501599488164,0.6666666666666666,0.42574257425742573,0.6584615384615384
IN,2018,0.7953286505625036,0.3483196655410838,0.20442520442520443,0.2545454545454545,0.0,0.25,0.38543247344461307,0.25,0.1171003717472119,0.24866785079928952,0.7200964145827057,0.5606469002695418,0.7777777777777778,0.0,0.6666666666666666,0.820627802690583,1.0,0.29473684210526313,0.6062992125984252
IA,2018,0.787433079740772,0.35314435445450215,0.13851351351351351,0.23404255319148937,,0.07692307692307693,0.2867647058823529,0.1,0.12582781456953643,0.2073170731707317,0.7156326607580614,0.43333333333333335,0.7777777777777778,,1.0,0.7692307692307693,0.5,0.47058823529411764,0.8571428571428571
KS,2018,0.7887012083254255,0.37973146693329524,0.23376623376623376,0.2781954887218045,0.0,0.1111111111111111,0.42318840579710143,0.25,0.11397058823529412,0.23414634146341465,0.7488402915838304,0.696,0.7666666666666667,0.0,0.3333333333333333,0.784,0.6,0.4838709677419355,0.7608695652173914
KY,2018,0.7980550758883941,0.3566539158445742,0.21739130434782608,0.3181818181818182,1.0,0.0,0.4088050314465409,0.13333333333333333,0.10404624277456648,0.19230769230769232,0.732315363041446,0.6398305084745762,0.75,0.0,0.0,0.822429906542056,0.6666666666666666,0.5,0.6612903225806451
ME,2018,0.7893459011710939,0.34670271894246657,0.2,0.15,,0.3333333333333333,0.32894736842105265,0.0,0.2,0.1893939393939394,0.711864406779661,0.875,0.6666666666666666,,1.0,0.8695652173913043,0.0,0.5,0.7368421052631579
MD,2018,0.8001634283639005,0.47687985142149625,0.336640041226488,0.3584905660377358,0.5,0.21739130434782608,0.5262443438914027,0.32,0.1242067089755213,0.35722543352601155,0.7581787218786412,0.6568501920614597,0.6666666666666666,1.0,0.4444444444444444,0.8329004329004329,0.625,0.5073891625615764,0.7033898305084746
MI,2018,0.8054111342185251,0.3689087086115668,0.20605069501226492,0.24199288256227758,,0.10526315789473684,0.5025417574437182,0.2727272727272727,0.20803782505910165,0.23161361141602635,0.7416550534209304,0.6201044386422977,0.65,,0.4166666666666667,0.8637770897832817,1.0,0.6363636363636364,0.6820276497695853
MN,2018,0.7806324747751523,0.386361222249761,0.1872146118721461,0.2342007434944238,0.0,0.10256410256410256,0.3174418604651163,0.0,0.09398496240601503,0.2217391304347826,0.7067470099516114,0.6335877862595419,0.6666666666666666,0.0,1.0,0.7537878787878788,0.0,0.40540540540540543,0.6428571428571429
MS,2018,0.786943665175525,0.3982992415536658,0.1993006993006993,0.1509433962264151,,0.2,0.30978260869565216,0.3333333333333333,0.14150943396226415,0.31007751937984496,0.7515044247787611,0.5942492012779552,0.42857142857142855,,0.0,0.75,0.0,0.5625,0.696969696969697
MO,2018,0.7916245578575037,0.35710213099565247,0.22060164083865086,0.2912621359223301,0.0,0.2857142857142857,0.47368421052631576,0.08108108108108109,0.13333333333333333,0.23809523809523808,0.7271910112359551,0.6132478632478633,0.7692307692307693,0.0,0.6666666666666666,0.8603603603603603,0.3333333333333333,0.32142857142857145,0.693069306930693
MT,2018,0.7697235950942706,0.35413758723828515,0.07142857142857142,0.24701195219123506,,0.1,0.2,0.3333333333333333,0.09523809523809523,0.24369747899159663,0.6992031872509961,0.0,0.6041666666666666,,0.0,0.5555555555555556,0.0,0.5,0.65625
NE,2018,0.7727399165507649,0.3872603712344051,0.22932330827067668,0.09375,,0.5,0.30412371134020616,0.3333333333333333,0.13095238095238096,0.22340425531914893,0.7394300031318509,0.625,0.3333333333333333,,0.6,0.7254901960784313,1.0,0.5238095238095238,0.5277777777777778
NV,2018,0.7884108867427568,0.3534112476276096,0.19922630560928434,0.1969111969111969,,0.16666666666666666,0.29576453697056715,0.1595744680851064,0.08388037928519329,0.21839080459770116,0.6664957703153037,0.5204918032786885,0.4827586206896552,,0.3333333333333333,0.5842696629213483,0.5384615384615384,0.3125,0.5741935483870968
NH,2018,0.8023839397741531,0.3745863666446062,0.2,,0.0,0.0,0.6060606060606061,,0.125,0.35,0.7191201353637902,1.0,,0.0,0.0,0.8571428571428571,,1.0,1.0
NJ,2018,0.7824867625206672,0.43561158276877343,0.23015184381778742,0.15,,0.15,0.5566152597402597,0.2631578947368421,0.14510894761242465,0.3049792531120332,0.7037178995783825,0.5042511445389143,0.3333333333333333,,0.5454545454545454,0.815939957112223,0.5,0.4485981308411215,0.6486486486486487
NM,2018,0.8062220181379864,0.3757062146892655,0.3045977011494253,0.15149006622516556,0.0,0.14285714285714285,0.44171779141104295,0.5555555555555556,0.19117647058823528,0.3456221198156682,0.7554524361948955,0.7878787878787878,0.48125,0.0,0.5,0.84375,1.0,0.5523809523809524,0.704225352112676
NY,2018,0.7798798303258558,0.3974207561257042,0.21825362754357344,0.21862348178137653,0.0,0.10891089108910891,0.37628266158891355,0.3157894736842105,0.13288123167155425,0.26669431771049357,0.6916674233481643,0.5015940488841658,0.5076923076923077,0.0,0.4,0.7027308192457737,0.6666666666666666,0.40359897172236503,0.5792682926829268
NC,2018,0.7955518850711583,0.41820793679296103,0.22658892128279884,0.22141560798548093,0.0,0.2558139534883721,0.4876504116529449,0.34782608695652173,0.12326530612244897,0.2607843137254902,0.7772315471592106,0.6373902132998746,0.550561797752809,0.0,0.8666666666666667,0.8630338733431517,0.8666666666666667,0.4728682170542636,0.7227272727272728
