state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7055415843362672,0.5008841211835435,0.5037559754154336,0.5393258426966292,0.0,0.5833333333333334,0.30718954248366015,0.3333333333333333,0.5555555555555556,0.49828178694158076,0.8371109607577808,0.80545229244114,0.6129032258064516,0.0,1.0,0.7448979591836735,0.5,0.8095238095238095,0.6538461538461539
AK,2018,0.6720248166948675,0.49646059462010383,0.5,0.6774193548387096,0.5135483870967742,0.5,0.0945273631840796,0.46153846153846156,0.35714285714285715,0.4788135593220339,0.7546251217137293,0.6666666666666666,0.6666666666666666,0.5448275862068965,0.5555555555555556,0.25,0.6,0.35,0.5176470588235295
AZ,2018,0.7265678997505784,0.4665546731826512,0.5347985347985348,0.5219354838709678,0.6,0.5533980582524272,0.4200164068908942,0.5076923076923077,0.5051487414187643,0.49902912621359224,0.8128308938025537,0.8343373493975904,0.58984375,0.5,0.6,0.7782178217821782,0.4444444444444444,0.5884476534296029,0.5692883895131086
AR,2018,0.7012707301313805,0.464700318170092,0.5122463261021694,0.6455696202531646,,0.6,0.29949238578680204,0.5454545454545454,0.5089605734767025,0.4767025089605735,0.8253209913406987,0.8416289592760181,0.7222222222222222,,0.5,0.7272727272727273,0.0,0.6111111111111112,0.6176470588235294
CA,2018,0.7427133110162778,0.4552336247789366,0.5429472946125978,0.5200927357032458,0.46153846153846156,0.5244444444444445,0.41331132104313795,0.5557299843014128,0.5054183301890931,0.4990251035827443,0.7779496738117427,0.8048119281599457,0.5885558583106267,0.2,0.5729166666666666,0.7028695043583381,0.5578947368421052,0.6065943992773261,0.6281132719208461
CO,2018,0.7456078706957133,0.5235782377034325,0.53875,0.5445026178010471,0.0,0.5692307692307692,0.4398766700924974,0.5833333333333334,0.5353403141361257,0.5062287655719139,0.8318801320579023,0.8146341463414634,0.5365853658536586,0.0,0.5833333333333334,0.782312925170068,0.9090909090909091,0.6036585365853658,0.6619718309859155
CT,2018,0.7669446550416983,0.535119747509128,0.47273893521488136,0.5135135135135135,,0.5333333333333333,0.5083612040133779,0.4,0.5158045977011494,0.47002398081534774,0.8160822249093108,0.7202643171806168,0.6666666666666666,,0.0,0.8393234672304439,0.5,0.6268656716417911,0.6166666666666667
DE,2018,0.7438998514746445,0.48794679966749793,0.5238095238095238,0.45,,0.6,0.5297619047619048,0.3333333333333333,0.5068493150684932,0.46835443037974683,0.808695652173913,0.7920353982300885,0.6666666666666666,,0.0,0.9113924050632911,0.5,0.5882352941176471,0.6
FL,2018,0.7201617386909275,0.4785078583601591,0.4981789802289282,0.5555555555555556,0.4,0.5,0.398429498122226,0.43243243243243246,0.535844915874177,0.5036663611365719,0.8110895969019539,0.8117269812185066,0.6140350877192983,0.0,0.8333333333333334,0.7627272727272727,0.5,0.6493212669683258,0.5964601769911504
GA,2018,0.7186880094274771,0.5181034232455504,0.5366636490823801,0.5480769230769231,,0.5151515151515151,0.4556672760511883,0.5121951219512195,0.5204081632653061,0.4841351074718526,0.8465604581161442,0.8335557038025351,0.6086956521739131,,0.6,0.8021052631578948,0.7142857142857143,0.6410256410256411,0.5857142857142857
