state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7757319920962816,0.2746669810208653,0.1755064875938994,0.43820224719101125,1.0,0.25,0.17320261437908496,0.6666666666666666,0.15942028985507245,0.16494845360824742,0.5571718538565629,0.46964064436183395,0.7096774193548387,0.0,1.0,0.3877551020408163,1.0,0.47619047619047616,0.46153846153846156
AK,2018,0.7086858432036097,0.3025011798017933,0.2222222222222222,0.25806451612903225,0.1935483870967742,0.3181818181818182,0.05970149253731343,0.11538461538461539,0.3333333333333333,0.13559322033898305,0.495618305744888,0.375,0.5,0.2896551724137931,0.5555555555555556,0.18181818181818182,0.2,0.35,0.3176470588235294
AZ,2018,0.7606755416654145,0.26901343921808185,0.2205128205128205,0.25290322580645164,0.0,0.27184466019417475,0.1985233798195242,0.15384615384615385,0.1950800915331808,0.15728155339805824,0.5400186857676736,0.5271084337349398,0.48828125,0.0,0.4,0.3900990099009901,0.16666666666666666,0.4151624548736462,0.4044943820224719
AR,2018,0.7867757915141073,0.2365637630062774,0.19384184744576627,0.3291139240506329,,0.13333333333333333,0.14213197969543148,0.18181818181818182,0.15053763440860216,0.16845878136200718,0.5329949238578681,0.5113122171945701,0.6666666666666666,,0.5,0.36363636363636365,1.0,0.3888888888888889,0.4411764705882353
CA,2018,0.7272481026243836,0.27486240351718094,0.251723734953839,0.3029366306027821,0.38461538461538464,0.2688888888888889,0.18918340517900273,0.11773940345368916,0.19677093844601412,0.19217645625152327,0.5174650512581547,0.48322602507624535,0.5667574931880109,0.6,0.3229166666666667,0.3287523064198002,0.2789473684210526,0.39069557362240287,0.42033435687478676
CO,2018,0.7411039417364084,0.3112834825473921,0.26,0.3193717277486911,0.2,0.4153846153846154,0.18499486125385406,0.1388888888888889,0.24476439790575916,0.1812004530011325,0.5620926098366207,0.5707317073170731,0.5853658536585366,0.0,0.5833333333333334,0.3378684807256236,0.2727272727272727,0.4634146341463415,0.44366197183098594
CT,2018,0.7236290118776851,0.33368401509994433,0.20076972418216807,0.2702702702702703,,0.4,0.25195094760312153,0.2,0.1882183908045977,0.18225419664268586,0.5525997581620314,0.44273127753303965,0.4444444444444444,,0.0,0.4376321353065539,0.5,0.35074626865671643,0.375
DE,2018,0.7426267769997879,0.2781934053754503,0.20899470899470898,0.45,,0.6,0.30952380952380953,0.3333333333333333,0.2054794520547945,0.13924050632911392,0.517056856187291,0.47345132743362833,1.0,,0.0,0.5189873417721519,0.5,0.47058823529411764,0.4
FL,2018,0.7659944402324994,0.2782806286688127,0.18973291710024281,0.3686868686868687,0.0,0.19642857142857142,0.19699556162512802,0.14864864864864866,0.26152158010241405,0.18331805682859761,0.5548671008625242,0.49473202015574896,0.6140350877192983,0.0,0.5,0.4072727272727273,0.5555555555555556,0.5090497737556561,0.46194690265486726
GA,2018,0.7658843169989198,0.3035335791643681,0.22969302938029793,0.3942307692307692,,0.5454545454545454,0.226691042047532,0.14634146341463414,0.22142857142857142,0.2047082906857728,0.5857866529623376,0.5203468979319547,0.782608695652174,,0.5,0.4147368421052632,0.2857142857142857,0.46153846153846156,0.5142857142857142
HI,2018,0.7181477169835726,0.3120772946859903,0.25477707006369427,0.3888888888888889,0.0,0.0,0.12400415656390718,0.0779874213836478,0.2523364485981308,0.18525073746312684,0.5265901981230449,0.5882352941176471,1.0,0.0,0.0,0.26410026857654434,0.19,0.42857142857142855,0.3856655290102389
ID,2018,0.779189352692075,0.2475013150973172,0.22916666666666666,0.27586206896551724,0.0,0.3333333333333333,0.14,0.16666666666666666,0.18556701030927836,0.12941176470588237,0.5427819218955683,0.6666666666666666,0.65,0.0,0.0,0.2962962962962963,0.5,0.30434782608695654,0.46153846153846156
IL,2018,0.74330010743703,0.284304156461207,0.20260747004933052,0.2727272727272727,0.0,0.19047619047619047,0.22685595977521444,0.18181818181818182,0.21613459879206212,0.17790893760539628,0.5325971261309207,0.44786096256684493,0.5217391304347826,0.0,0.2,0.39859245041586694,0.5555555555555556,0.4084158415841584,0.4646153846153846
IN,2018,0.7790246131003369,0.2394918797234282,0.18518518518518517,0.3090909090909091,1.0,0.25,0.17754172989377845,0.125,0.20446096654275092,0.16518650088809947,0.5274681128854073,0.4716981132075472,0.5555555555555556,0.0,0.0,0.4170403587443946,0.5,0.3473684210526316,0.41732283464566927
IA,2018,0.7749788672865596,0.24398523106241068,0.14864864864864866,0.3191489361702128,,0.46153846153846156,0.11764705882352941,0.0,0.1986754966887417,0.13414634146341464,0.5253630020742975,0.4,0.6666666666666666,,1.0,0.4,0.0,0.4117647058823529,0.5714285714285714
KS,2018,0.7744037451761878,0.2763176689044422,0.19967532467532467,0.38345864661654133,0.0,0.3333333333333333,0.1826086956521739,0.125,0.21691176470588236,0.17560975609756097,0.5756571681024961,0.584,0.7333333333333333,0.0,0.0,0.36,0.2,0.45161290322580644,0.5
KY,2018,0.781423248205035,0.2556372055566741,0.18167701863354038,0.36363636363636365,1.0,0.3333333333333333,0.18238993710691823,0.06666666666666667,0.17341040462427745,0.14743589743589744,0.5515736989716422,0.5211864406779662,0.75,0.0,0.0,0.42990654205607476,0.0,0.25,0.5
LA,2018,0.757439396138772,0.2831888608286124,0.17253448630842083,0.36363636363636365,0.0,0.38095238095238093,0.1554524361948956,0.3333333333333333,0.23529411764705882,0.18732782369146006,0.528478222535708,0.46808510638297873,0.5357142857142857,0.0,1.0,0.3412698412698413,1.0,0.425,0.42990654205607476
MA,2018,0.7268534676172907,0.32059750333292936,0.19549867608120036,0.37209302325581395,0.0,0.20833333333333334,0.22631772945079248,0.11764705882352941,0.22066549912434325,0.20464601769911506,0.5457789810484863,0.450229709035222,0.5,0.0,0.0,0.4140030441400304,0.2857142857142857,0.4448818897637795,0.4602076124567474
ME,2018,0.7742073693230506,0.24740874267688148,0.21333333333333335,0.225,,0.3333333333333333,0.11842105263157894,0.0,0.3333333333333333,0.13636363636363635,0.5307506053268766,0.75,0.6666666666666666,,0.0,0.30434782608695654,0.0,0.75,0.5263157894736842
MD,2018,0.7340959990315357,0.36996999857136054,0.2939963926822984,0.37735849056603776,0.5,0.30434782608695654,0.27692307692307694,0.2,0.2157751586582049,0.22890173410404624,0.601416151295151,0.5355313700384123,0.6190476190476191,1.0,0.4444444444444444,0.4623376623376623,0.375,0.47783251231527096,0.4350282485875706
MI,2018,0.7733562629979204,0.2612583470043208,0.19242300354319977,0.31316725978647686,,0.21052631578947367,0.24618736383442266,0.09090909090909091,0.2789598108747045,0.14709110867178923,0.5486760899860641,0.5143603133159269,0.65,,0.16666666666666666,0.43653250773993807,0.0,0.45454545454545453,0.41935483870967744
MN,2018,0.7412075690661165,0.27380235810643344,0.18036529680365296,0.30855018587360594,0.0,0.28205128205128205,0.12790697674418605,0.14285714285714285,0.18421052631578946,0.14130434782608695,0.5120971423354332,0.5343511450381679,0.625,0.0,1.0,0.3409090909090909,0.3333333333333333,0.5405405405405406,0.39285714285714285
MS,2018,0.7732959284252028,0.27878648586531835,0.19505494505494506,0.2830188679245283,,0.4,0.14673913043478262,0.16666666666666666,0.2358490566037736,0.21705426356589147,0.5578761061946903,0.5047923322683706,0.5714285714285714,,0.0,0.3541666666666667,0.0,0.5,0.42424242424242425
MO,2018,0.7740020212228398,0.2524410234480792,0.21604375569735643,0.32038834951456313,0.0,0.21428571428571427,0.23049001814882034,0.05405405405405406,0.26666666666666666,0.14682539682539683,0.5391011235955057,0.5470085470085471,0.5384615384615384,0.0,0.3333333333333333,0.4369369369369369,0.2222222222222222,0.32142857142857145,0.4752475247524752
MT,2018,0.7574592714625663,0.2598205383848455,0.14285714285714285,0.35856573705179284,,0.4,0.1,0.0,0.2857142857142857,0.19327731092436976,0.5318725099601593,1.0,0.625,,0.0,0.3333333333333333,0.0,0.5,0.5
NE,2018,0.7596662030598053,0.27244142407952127,0.17293233082706766,0.22916666666666666,,0.5,0.14432989690721648,0.0,0.20238095238095238,0.1276595744680851,0.548073911681804,0.4166666666666667,0.25,,0.4,0.3137254901960784,0.0,0.2857142857142857,0.3611111111111111
NV,2018,0.7497129735935706,0.24942563180501448,0.195357833655706,0.22007722007722008,,0.3888888888888889,0.11844938980617373,0.0851063829787234,0.18891320204230488,0.15270935960591134,0.4908997692899257,0.45491803278688525,0.39655172413793105,,0.3333333333333333,0.26292134831460673,0.3076923076923077,0.30625,0.41935483870967744
NH,2018,0.7534521717298519,0.29692287198614625,0.17204301075268819,0.0,0.0,0.2,0.2138728323699422,0.16666666666666666,0.2857142857142857,0.192,0.56071076011846,0.5625,0.0,0.0,0.0,0.3950617283950617,0.3333333333333333,0.6153846153846154,0.5625
NJ,2018,0.705154768631883,0.3242717891547323,0.21713665943600868,0.3625,,0.275,0.2635957792207792,0.10526315789473684,0.22021325915623552,0.22510373443983403,0.5317308218803044,0.43361674296926095,0.5925925925925926,,0.18181818181818182,0.4038598999285204,0.25,0.39485981308411217,0.4540540540540541
NM,2018,0.7751004016064257,0.2839410395655547,0.21875,0.24267782426778242,1.0,0.4,0.13333333333333333,0.5,0.27956989247311825,0.26,0.5947712418300654,0.8,0.5384615384615384,0.0,0.5,0.3333333333333333,0.5,0.5185185185185185,0.375
NY,2018,0.7243377563797673,0.2909930088916039,0.19369794796943418,0.2834008097165992,0.0,0.24752475247524752,0.15212101978207976,0.10526315789473684,0.2151759530791789,0.17627540439651596,0.5169647991767305,0.4019659936238045,0.4461538461538462,0.0,0.2,0.30039011703511054,0.25,0.4190231362467866,0.37317073170731707
NC,2018,0.7678760059154551,0.2995151732806608,0.20466472303206998,0.29219600725952816,0.0,0.27906976744186046,0.21532615579480685,0.13043478260869565,0.2253061224489796,0.1784313725490196,0.5863473558536414,0.5106649937264742,0.5730337078651685,0.0,0.4666666666666667,0.38880706921944036,0.3333333333333333,0.4728682170542636,0.4818181818181818
ND,2018,0.7387205387205387,0.27012345679012345,0.20634920634920634,0.3151515151515151,,0.39285714285714285,0.1320754716981132,0.0,0.23076923076923078,0.13432835820895522,0.5068049254698639,0.7272727272727273,0.5789473684210527,,0.5,0.2727272727272727,0.0,0.75,0.47058823529411764
OH,2018,0.7741369598454977,0.2629330275399042,0.18717504332755633,0.32051282051282054,,0.34285714285714286,0.21941896024464833,0.29411764705882354,0.2665036674816626,0.1264591439688716,0.5478841870824054,0.49743589743589745,0.5,,0.4,0.43410852713178294,0.4,0.46987951807228917,0.3853658536585366
